gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-122.69,-78.82,0.0214,0.0443,687.2,797.3,-110.1,57.93,121.08,121.08,H16_headline_s42,48,42,1,success,1867,303,,64.1706,59.233,0,0,0,188.0,186.67,1,67,136,100,59.23
133.58,11.65,0.0267,0.0421,723.4,580.7,142.6,76.51,229.58,229.58,H16_headline_s42,49,42,1,success,1902,344,,35.0604,38.713,0,0,0,300.0,298.84,1,68,138,138,38.71
-125.07,-57.29,0.0116,0.0218,605.1,661.1,-56.0,30.18,76.96,76.96,H16_headline_s42,50,42,1,success,1880,330,,24.7658,30.057,0,0,0,136.0,142.56,1,54,136,140,30.06
-19.22,1.43,0.0029,0.0124,370.2,306.2,64.0,36.75,37.47,37.47,H16_headline_s42,51,42,1,success,1596,327,,70.0046,60.255,0,0,0,48.0,56.16,1,18,163,146,60.26
30.72,-29.63,0.0027,0.0216,563.7,662.6,-98.9,53.48,76.7,76.7,H16_headline_s42,52,42,1,success,1670,324,,142.5682,138.563,0,0,0,94.0,92.82,1,31,156,137,138.56
113.26,114.62,0.0168,0.0165,794.4,655.1,139.3,73.59,1.79,73.59,H16_headline_s42,53,42,1,success,1875,247,,23.0986,30.615,0,0,0,60.0,74.68,1,40,143,64,30.62
-89.73,170.23,0.0155,0.0455,563.3,692.1,-128.8,69.44,189.84,189.84,H16_headline_s42,54,42,1,success,1838,288,,69.8495,69.274,0,0,0,242.0,237.12,1,51,137,100,69.27
94.95,-100.66,0.0201,0.0304,425.4,756.4,-331.0,179.92,186.98,186.98,H16_headline_s42,55,42,1,success,1941,434,,54.4654,55.746,0,0,0,337.0,274.61,1,95,167,172,55.75
53.71,163.11,0.017,0.0238,798.4,361.6,436.9,238.05,129.0,238.05,H16_headline_s42,56,42,1,success,1628,237,,117.6801,101.05,0,0,0,237.0,249.64,1,41,128,68,101.05
-156.77,26.9,0.0041,0.0042,448.0,550.8,-102.8,56.99,31.43,56.99,H16_headline_s42,57,42,1,success,1892,251,,85.9834,81.066,0,0,0,103.0,112.36,1,58,123,70,81.07
-59.42,-122.0,0.0058,0.0153,576.1,520.3,55.8,30.61,51.74,51.74,H16_headline_s42,58,42,1,success,1742,291,,60.5517,59.029,0,0,0,82.0,91.88,1,34,130,127,59.03
46.54,-139.29,0.0271,0.0216,518.2,609.6,-91.4,49.97,183.79,183.79,H16_headline_s42,59,42,1,success,1683,290,,27.5252,31.462,0,0,0,217.0,208.02,1,43,149,98,31.46
135.76,8.39,0.0097,0.0263,551.9,466.3,85.6,47.34,126.23,126.23,H16_headline_s42,60,42,1,success,1878,383,,202.9385,183.02,0,0,0,184.0,195.46,1,60,159,164,183.02
-19.2,-72.85,0.0215,0.0157,704.0,761.3,-57.3,30.23,65.72,65.72,H16_headline_s42,61,42,1,success,1268,210,,62.6491,62.564,0,0,0,73.0,75.93,1,23,157,30,62.56
-9.47,52.43,0.0058,0.033,512.2,434.3,77.9,43.43,117.54,117.54,H16_headline_s42,62,42,1,success,1384,242,,60.0999,54.032,0,0,0,128.0,122.35,1,24,124,94,54.03
171.4,117.56,0.0309,0.0103,774.9,563.0,211.9,113.25,99.39,113.25,H16_headline_s42,63,42,1,success,1930,389,,126.5787,116.672,0,0,0,184.0,188.04,1,70,178,141,116.67
-158.0,-53.35,0.0094,0.0369,321.3,459.5,-138.2,78.47,153.86,153.86,H16_headline_s42,64,42,1,success,1944,343,,70.8804,64.749,0,0,0,280.0,283.1,1,79,139,125,64.75
139.21,-177.46,0.0321,0.0039,472.6,349.8,122.8,69.41,113.06,113.06,H16_headline_s42,65,42,1,success,1878,354,,212.1973,189.532,0,0,0,173.0,182.84,1,61,141,152,189.53
-171.23,173.27,0.0439,0.0427,515.9,674.5,-158.6,86.11,44.14,86.11,H16_headline_s42,66,42,1,success,1901,424,,115.7072,112.548,0,0,0,125.0,134.13,1,57,153,214,112.55
-118.2,-123.84,0.007,0.009,792.8,355.9,436.9,238.35,8.12,238.35,H16_headline_s42,67,42,1,success,1951,356,,52.9233,46.929,0,0,0,235.0,249.96,1,85,127,144,46.93
121.9,166.37,0.0232,0.0299,421.5,545.6,-124.1,69.05,79.87,79.87,H16_headline_s42,68,42,1,success,1885,306,,177.6602,160.966,0,0,0,181.0,193.89,1,51,143,112,160.97
9.95,92.14,0.002,0.0011,579.7,724.6,-144.9,77.73,8.21,77.73,H16_headline_s42,69,42,1,success,1631,242,,73.4767,69.975,0,0,0,87.0,87.07,1,27,200,15,69.97
-130.1,164.84,0.0147,0.0109,304.0,741.7,-437.7,241.48,52.93,241.48,H16_headline_s42,70,42,1,success,1861,305,,54.1416,51.986,0,0,0,232.0,230.33,1,66,135,104,51.99
164.57,163.69,0.0007,0.0047,647.2,533.6,113.6,61.74,15.27,61.74,H16_headline_s42,71,42,1,success,1916,374,,33.7167,38.709,0,0,0,93.0,107.0,1,54,159,161,38.71
179.73,-86.26,0.0306,0.0227,579.2,361.7,217.5,121.32,151.48,151.48,H16_headline_s42,72,42,1,success,1918,446,,80.0294,75.137,0,0,0,234.0,241.73,1,78,151,217,75.14
155.07,-88.99,0.0251,0.0051,565.1,640.5,-75.4,40.87,104.62,104.62,H16_headline_s42,73,42,1,success,1925,457,,49.8874,52.887,0,0,0,212.0,202.73,1,82,151,224,52.89
40.86,73.73,0.0342,0.0022,484.4,633.5,-149.1,81.57,122.2,122.2,H16_headline_s42,74,42,1,success,1678,251,,33.8582,34.936,0,0,0,144.0,143.55,1,29,157,65,34.94
-138.06,-152.64,0.0277,0.0253,747.1,592.0,155.1,82.87,27.04,82.87,H16_headline_s42,75,42,1,success,1946,331,,41.4805,41.153,0,0,0,135.0,146.27,1,67,152,112,41.15
-10.15,160.06,0.005,0.0213,536.2,363.9,172.3,96.54,100.96,100.96,H16_headline_s42,76,42,1,success,1426,317,,45.6121,42.373,0,0,0,114.0,108.59,1,26,156,135,42.37
-154.42,93.79,0.0147,0.027,720.8,407.8,313.0,171.08,134.92,171.08,H16_headline_s42,77,42,1,success,1932,447,,72.9983,69.351,0,0,0,230.0,238.86,1,82,160,205,69.35
-21.92,-33.81,0.0112,0.0151,722.1,355.9,366.2,201.29,18.01,201.29,H16_headline_s42,78,42,1,success,1972,454,,60.6493,54.494,0,0,0,193.0,209.51,1,73,157,224,54.49
-47.8,83.64,0.039,0.0457,477.7,679.2,-201.6,109.85,290.33,290.33,H16_headline_s42,79,42,1,success,1731,357,,33.7293,35.564,0,0,0,310.0,315.47,1,40,150,167,35.56
-21.66,40.99,0.0342,0.0205,669.4,595.1,74.3,40.0,116.34,116.34,H16_headline_s42,80,42,1,success,1679,380,,71.6273,67.383,0,0,0,126.0,127.59,1,27,145,208,67.38
-155.41,96.39,0.0125,0.0456,309.6,531.4,-221.9,125.16,193.39,193.39,H16_headline_s42,81,42,1,success,1938,414,,65.8501,64.736,0,0,0,331.0,332.8,1,81,151,182,64.74
-71.95,179.8,0.0016,0.013,521.3,689.5,-168.2,91.14,51.15,91.14,H16_headline_s42,82,42,1,success,1796,331,,34.5786,37.969,0,0,0,83.0,89.51,1,41,155,135,37.97
-121.7,-170.17,0.0274,0.0317,679.0,509.9,169.1,91.81,93.51,93.51,H16_headline_s42,83,42,1,success,1940,436,,55.7893,51.904,0,0,0,175.0,198.21,1,42,154,240,51.9
-82.2,60.04,0.0098,0.0051,600.2,433.9,166.3,91.85,54.51,91.85,H16_headline_s42,84,42,1,success,1823,301,,28.8967,32.058,0,0,0,170.0,176.98,1,45,140,116,32.06
114.67,91.42,0.0016,0.0112,537.3,784.9,-247.7,132.6,36.65,132.6,H16_headline_s42,85,42,1,success,1937,463,,63.6765,62.27,0,0,0,163.0,167.6,1,89,164,210,62.27
