gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
143.26,106.02,0.0398,0.0201,684.1,459.1,225.0,122.78,102.18,122.78,A_tight1_s7,42,7,1,success,1961,430,1.996,1.996,4.124,1,0,0,173.0,175.16,1,64,171,195,4.12
80.5,-128.72,0.0378,0.0017,621.4,513.8,107.6,58.79,149.23,149.23,A_tight1_s7,43,7,0,safety_cap,2000,450,1.2972,1.2972,2.489,6,0,0,199.0,190.56,1,58,213,179,2.49
145.6,-64.15,0.0127,0.023,706.7,459.0,247.8,134.9,131.9,134.9,A_tight1_s7,44,7,1,success,1963,404,1.6704,1.6704,3.423,2,0,0,214.0,206.08,1,75,178,151,3.42
133.87,77.26,0.038,0.041,549.2,733.4,-184.1,98.99,140.67,140.67,A_tight1_s7,45,7,0,safety_cap,2000,406,,4.7004,9.354,0,0,0,238.0,238.93,1,67,193,146,9.35
27.15,-27.92,0.0116,0.0414,533.5,697.9,-164.4,88.87,135.46,135.46,A_tight1_s7,46,7,0,safety_cap,2000,425,3.9738,3.9723,4.51,2,2,0,173.0,149.77,1,48,225,152,4.75
137.62,14.5,0.0407,0.0427,706.0,613.6,92.4,49.46,276.83,276.83,A_tight1_s7,47,7,1,success,1953,383,3.3798,3.3798,4.679,1,0,0,352.0,348.52,1,78,180,125,4.68
-79.65,-73.2,0.0192,0.0376,493.0,569.1,-76.1,41.88,70.52,70.52,A_tight1_s7,48,7,0,safety_cap,2000,368,1.4199,1.4199,2.645,5,1,0,121.0,111.75,1,56,208,104,2.65
-177.14,66.14,0.0276,0.0127,685.8,448.7,237.1,129.54,134.53,134.53,A_tight1_s7,49,7,0,safety_cap,2000,432,,4.1703,7.81,0,0,0,227.0,227.54,1,83,174,175,7.81
133.76,-51.88,0.0167,0.0104,600.1,380.7,219.4,121.86,104.03,121.86,A_tight1_s7,50,7,0,safety_cap,2000,486,,4.0691,7.406,0,0,0,179.0,171.39,1,64,191,231,7.41
67.87,-48.32,0.0238,0.0077,494.6,362.8,131.8,74.22,108.07,108.07,A_tight1_s7,51,7,0,safety_cap,2000,429,1.6378,1.6378,2.914,4,0,0,151.0,142.16,1,52,218,159,2.91
-72.05,-168.2,0.0368,0.006,733.5,642.2,91.3,48.59,143.0,143.0,A_tight1_s7,52,7,0,safety_cap,2000,370,,4.6172,8.792,0,0,0,197.0,180.69,1,62,195,113,8.96
-169.35,-80.43,0.0154,0.0019,445.3,797.4,-352.1,190.15,57.66,190.15,A_tight1_s7,53,7,1,success,1963,367,3.2984,3.2984,4.903,1,0,0,193.0,183.14,1,79,174,114,4.9
-16.66,-29.38,0.0093,0.0267,573.3,419.6,153.7,85.28,68.18,85.28,A_tight1_s7,54,7,1,success,1790,455,5.2231,5.2231,4.484,1,0,0,115.0,103.61,1,37,256,162,4.48
-108.86,-65.43,0.0257,0.0014,775.5,453.3,322.2,174.24,94.48,174.24,A_tight1_s7,55,7,1,success,1994,470,1.1378,1.1378,4.15,5,5,0,221.0,222.31,1,94,181,195,4.15
-47.1,-87.96,0.0326,0.0011,615.0,519.7,95.3,52.07,120.91,120.91,A_tight1_s7,56,7,0,safety_cap,2000,343,6.4973,5.4521,4.735,1,0,0,153.0,145.12,1,44,190,109,4.73
-107.55,162.98,0.0121,0.0311,769.1,585.5,183.6,97.97,125.97,125.97,A_tight1_s7,57,7,0,safety_cap,2000,491,,3.9579,7.932,0,0,0,262.0,211.52,1,92,178,221,7.93
-103.64,65.74,0.0153,0.042,583.8,690.4,-106.6,57.37,214.61,214.61,A_tight1_s7,58,7,0,safety_cap,2000,299,2.0554,2.0554,3.891,4,3,0,290.0,269.19,1,72,169,58,4.74
50.4,24.5,0.0318,0.0185,445.0,336.6,108.4,61.53,66.12,66.12,A_tight1_s7,59,7,1,success,1947,415,1.7109,1.7109,1.667,4,0,0,97.0,91.33,1,46,227,142,1.67
-138.93,34.38,0.0416,0.0473,611.5,748.9,-137.4,73.28,331.96,331.96,A_tight1_s7,60,7,0,safety_cap,2000,392,,11766.2681,11490.512,0,0,0,472.0,405.74,1,57,152,183,11490.51
-29.91,-59.9,0.042,0.0143,614.1,326.3,287.8,160.58,117.57,160.58,A_tight1_s7,61,7,0,safety_cap,2000,504,,13.7611,13.685,0,0,0,277.0,195.63,1,100,162,242,13.69
-3.79,8.4,0.0091,0.0477,755.6,684.2,71.5,37.78,146.1,146.1,A_tight1_s7,62,7,1,success,1787,546,2.3302,2.3302,1.995,1,0,0,167.0,148.1,1,31,294,221,1.99
126.43,-47.31,0.0203,0.0044,608.4,674.7,-66.3,35.64,92.66,92.66,A_tight1_s7,63,7,0,safety_cap,2000,467,,4.117,8.121,0,0,0,173.0,168.27,1,72,209,186,8.12
-175.58,-18.57,0.0232,0.0348,379.8,471.9,-92.1,51.91,217.25,217.25,A_tight1_s7,64,7,0,safety_cap,2000,452,,4.2073,7.917,0,0,0,316.0,311.38,1,85,175,192,7.92
39.87,-14.86,0.0419,0.0086,630.4,351.1,279.3,155.17,144.8,155.17,A_tight1_s7,65,7,0,safety_cap,2000,467,2.2536,2.2536,3.112,11,6,0,169.0,164.79,1,36,252,179,3.11
-1.42,-63.27,0.0341,0.0445,756.4,660.0,96.4,51.08,155.73,155.73,A_tight1_s7,66,7,0,safety_cap,2000,608,2.3338,2.3338,3.532,4,0,0,184.0,156.47,1,45,348,215,3.53
-106.15,100.23,0.0029,0.0061,532.9,300.5,232.4,131.2,34.12,131.2,A_tight1_s7,67,7,0,safety_cap,2000,374,,3.6094,6.726,0,0,0,158.0,160.44,1,82,144,148,6.73
51.13,-130.61,0.0358,0.0122,480.7,627.2,-146.6,80.29,181.21,181.21,A_tight1_s7,68,7,0,safety_cap,2000,447,1.8564,1.8564,2.882,3,0,0,237.0,207.9,1,60,245,142,2.88
-141.81,-127.0,0.0203,0.0202,390.1,573.4,-183.3,102.0,19.81,102.0,A_tight1_s7,69,7,0,safety_cap,2000,433,1.8593,1.8593,4.833,1,0,0,104.0,99.98,1,64,186,183,4.83
-68.12,-76.83,0.0119,0.037,504.0,786.6,-282.6,151.82,94.15,151.82,A_tight1_s7,70,7,0,safety_cap,2000,480,,5.4262,9.507,0,0,0,150.0,147.32,1,47,230,203,9.51
35.11,-69.08,0.0221,0.0091,583.9,747.2,-163.3,87.36,96.83,96.83,A_tight1_s7,71,7,1,success,1987,450,3.054,3.054,2.448,1,0,0,139.0,123.14,1,46,257,147,2.45
-55.34,-153.89,0.028,0.0148,605.9,302.9,303.0,169.68,129.86,169.68,A_tight1_s7,72,7,0,safety_cap,2000,496,,9.768,8.126,0,0,0,275.0,281.51,1,90,164,242,8.13
-32.53,70.79,0.0044,0.0182,327.7,677.1,-349.4,193.58,73.95,193.58,A_tight1_s7,73,7,1,success,1904,384,1.4497,1.4497,2.143,1,0,0,202.0,186.39,1,45,268,71,2.14
177.09,80.38,0.0059,0.0317,521.4,585.9,-64.4,35.3,124.59,124.59,A_tight1_s7,74,7,0,safety_cap,2000,489,,5.0273,9.105,0,0,0,228.0,217.42,1,75,184,230,9.1
60.2,100.86,0.0195,0.0218,650.5,441.8,208.7,114.5,55.55,114.5,A_tight1_s7,75,7,0,safety_cap,2000,341,2.0122,2.0122,2.971,14,6,0,122.0,117.13,1,52,221,68,2.97
100.66,62.34,0.0122,0.047,639.8,589.6,50.3,27.19,144.53,144.53,A_tight1_s7,76,7,1,success,1935,422,1.9488,1.9488,3.92,2,0,0,201.0,196.79,1,61,179,182,3.92
-4.6,-51.26,0.0074,0.0223,373.7,492.8,-119.1,66.98,68.76,68.76,A_tight1_s7,77,7,1,success,1597,489,2.7194,2.7194,1.582,1,0,0,75.0,71.11,1,19,266,204,1.58
-129.74,-59.81,0.0002,0.0426,639.2,706.5,-67.4,35.97,159.68,159.68,A_tight1_s7,78,7,0,safety_cap,2000,439,,4.8473,9.421,0,0,0,243.0,228.17,1,72,184,183,9.42
54.56,179.24,0.0268,0.0384,668.4,500.7,167.7,91.26,221.07,221.07,A_tight1_s7,79,7,0,safety_cap,2000,393,3.7393,3.7393,3.4,2,1,0,260.0,249.03,1,53,233,107,4.25
-176.78,171.59,0.0093,0.0078,557.3,493.6,63.7,35.13,8.71,35.13,A_tight1_s7,80,7,0,safety_cap,2000,378,,4.0322,7.29,0,0,0,150.0,152.24,1,77,181,120,7.29
-0.6,40.84,0.0334,0.0404,685.1,581.1,103.9,55.97,101.87,101.87,A_tight1_s7,81,7,0,safety_cap,2000,580,1.5105,1.5105,3.123,5,0,0,113.0,102.18,1,16,355,209,3.12
-2.68,-27.87,0.0041,0.0187,753.2,487.1,266.1,143.73,57.51,143.73,A_tight1_s7,82,7,0,safety_cap,2000,512,1.7502,1.7502,2.971,5,0,0,167.0,150.65,1,42,372,98,2.97
-141.44,-114.9,0.0346,0.0003,638.1,400.5,237.6,131.18,131.53,131.53,A_tight1_s7,83,7,0,safety_cap,2000,532,1.1465,1.1465,3.57,11,10,0,250.0,241.92,1,96,167,269,3.57
-103.23,-9.17,0.0034,0.0277,772.5,668.3,104.1,55.05,105.81,105.81,A_tight1_s7,84,7,0,safety_cap,2000,465,1.3968,1.3968,4.811,1,0,0,173.0,164.06,1,63,215,187,4.81
-148.34,165.36,0.017,0.0252,557.1,620.8,-63.6,34.59,68.76,68.76,A_tight1_s7,85,7,1,success,1948,426,1.9379,1.9379,4.647,1,0,0,150.0,146.12,1,71,175,180,4.65
-51.68,-62.53,0.0108,0.0101,634.0,790.3,-156.3,82.76,7.75,82.76,A_tight1_s7,86,7,1,success,1965,397,1.3154,1.3154,2.967,7,2,0,85.0,81.41,1,42,224,131,2.97
-2.57,57.28,0.0418,0.0424,607.9,505.6,102.3,55.99,159.97,159.97,A_tight1_s7,87,7,0,safety_cap,2000,580,1.8,1.8,3.429,4,0,0,177.0,161.29,1,35,355,190,3.43
