gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-79.65,-73.2,0.0192,0.0376,493.0,569.1,-76.1,41.88,70.52,70.52,C_tight5_s7,48,7,1,success,1944,343,5.4559,5.4559,4.858,1,0,0,118.0,111.75,1,55,201,87,4.86
-177.14,66.14,0.0276,0.0127,685.8,448.7,237.1,129.54,134.53,134.53,C_tight5_s7,49,7,0,safety_cap,2000,426,,11.0072,9.373,0,0,0,227.0,227.54,1,83,175,168,9.37
133.76,-51.88,0.0167,0.0104,600.1,380.7,219.4,121.86,104.03,121.86,C_tight5_s7,50,7,1,success,1989,489,5.8215,5.8215,4.854,1,0,0,178.0,171.39,1,65,188,236,4.85
67.87,-48.32,0.0238,0.0077,494.6,362.8,131.8,74.22,108.07,108.07,C_tight5_s7,51,7,1,success,1927,405,5.9388,5.9388,4.929,1,0,0,147.0,142.16,1,49,206,150,4.93
-72.05,-168.2,0.0368,0.006,733.5,642.2,91.3,48.59,143.0,143.0,C_tight5_s7,52,7,1,success,1937,345,,6.3537,5.608,0,0,0,193.0,180.69,1,59,186,100,5.61
-169.35,-80.43,0.0154,0.0019,445.3,797.4,-352.1,190.15,57.66,190.15,C_tight5_s7,53,7,1,success,1997,382,,4.8727,5.622,0,0,0,195.0,183.14,1,82,179,121,5.62
-16.66,-29.38,0.0093,0.0267,573.3,419.6,153.7,85.28,68.18,85.28,C_tight5_s7,54,7,1,success,1863,479,,3.666,5.094,0,0,0,111.0,103.61,1,33,271,175,5.09
-108.86,-65.43,0.0257,0.0014,775.5,453.3,322.2,174.24,94.48,174.24,C_tight5_s7,55,7,0,safety_cap,2000,469,,15.3223,13.385,0,0,0,223.0,222.31,1,96,183,190,13.39
-47.1,-87.96,0.0326,0.0011,615.0,519.7,95.3,52.07,120.91,120.91,C_tight5_s7,56,7,1,success,1938,319,,14.8162,12.506,0,0,0,150.0,145.12,1,44,174,101,12.51
-107.55,162.98,0.0121,0.0311,769.1,585.5,183.6,97.97,125.97,125.97,C_tight5_s7,57,7,0,safety_cap,2000,487,,12.9797,11.937,0,0,0,261.0,211.52,1,91,179,217,11.94
-103.64,65.74,0.0153,0.042,583.8,690.4,-106.6,57.37,214.61,214.61,C_tight5_s7,58,7,1,success,1960,277,,15.2401,11.816,0,0,0,286.0,269.19,1,70,159,48,11.82
50.4,24.5,0.0318,0.0185,445.0,336.6,108.4,61.53,66.12,66.12,C_tight5_s7,59,7,1,success,1891,410,,6.9509,5.118,0,0,0,94.0,91.33,1,44,214,152,5.12
-138.93,34.38,0.0416,0.0473,611.5,748.9,-137.4,73.28,331.96,331.96,C_tight5_s7,60,7,0,safety_cap,2000,434,,12151.9325,11853.256,0,0,0,472.0,405.74,1,57,142,235,11853.26
