   sep_km  orbits     dv |   sigLOS_m    sig/rho  sigLOS_RB_m    BO/RB  gain_vs_dv0
  13000.0    0.25    5.0 |  113071.26   1.02e-02        34.30   3296.7         1.00
  13000.0    0.25   25.0 |  113189.98   1.02e-02        34.33   3297.3         1.00

  13000.0    0.50    0.0 |   21673.63   1.95e-03        26.03    832.5         1.00
  13000.0    0.50    1.0 |   21675.43   1.95e-03        26.04    832.5         1.00
  13000.0    0.50    5.0 |   21682.62   1.95e-03        26.04    832.6         1.00
  13000.0    0.50   25.0 |   21718.48   1.96e-03        26.07    833.1         1.00

  13000.0    1.00    0.0 |    4722.41   4.26e-04        16.49    286.5         1.00
  13000.0    1.00    1.0 |    4723.90   4.26e-04        16.49    286.5         1.00
  13000.0    1.00    5.0 |    4729.84   4.26e-04        16.51    286.6         1.00
  13000.0    1.00   25.0 |    4759.28   4.29e-04        16.59    286.9         0.99

  13000.0    2.00    0.0 |    1958.25   1.77e-04         9.32    210.1         1.00
  13000.0    2.00    1.0 |    1958.53   1.77e-04         9.32    210.1         1.00
  13000.0    2.00    5.0 |    1959.66   1.77e-04         9.33    210.1         1.00
  13000.0    2.00   25.0 |    1965.17   1.77e-04         9.37    209.8         1.00

  13000.0    3.00    0.0 |    1436.57   1.29e-04         7.45    192.9         1.00
  13000.0    3.00    1.0 |    1436.77   1.30e-04         7.45    192.9         1.00
  13000.0    3.00    5.0 |    1437.54   1.30e-04         7.46    192.8         1.00
  13000.0    3.00   25.0 |    1441.22   1.30e-04         7.51    191.9         1.00

wide-envelope spot checks (a = 12 000 km)
  e=0.00 sep=    10.0 km dv=  0.0 -> sigLOS        inf m (inf rel), RB     4.17 m
  e=0.00 sep=    10.0 km dv= 25.0 -> sigLOS       5.43 m (5.43e-04 rel), RB     4.17 m
  e=0.00 sep=  1000.0 km dv=  0.0 -> sigLOS   10229.75 m (1.02e-02 rel), RB     6.51 m
  e=0.00 sep=  1000.0 km dv= 25.0 -> sigLOS    2291.57 m (2.29e-03 rel), RB     6.53 m
  e=0.00 sep= 12000.0 km dv=  0.0 -> sigLOS    3298.13 m (2.87e-04 rel), RB     6.51 m
  e=0.00 sep= 12000.0 km dv= 25.0 -> sigLOS    3359.49 m (2.92e-04 rel), RB     6.56 m
  e=0.30 sep=    10.0 km dv=  0.0 -> sigLOS        inf m (inf rel), RB     4.50 m
  e=0.30 sep=    10.0 km dv= 25.0 -> sigLOS       4.59 m (6.56e-04 rel), RB     3.95 m
  e=0.30 sep=  1000.0 km dv=  0.0 -> sigLOS    9697.46 m (1.39e-02 rel), RB     8.14 m
  e=0.30 sep=  1000.0 km dv= 25.0 -> sigLOS    1059.25 m (1.51e-03 rel), RB     8.14 m
  e=0.30 sep= 12000.0 km dv=  0.0 -> sigLOS    4499.95 m (5.25e-04 rel), RB     7.96 m
  e=0.30 sep= 12000.0 km dv= 25.0 -> sigLOS    4618.32 m (5.38e-04 rel), RB     7.98 m
  e=0.50 sep=    10.0 km dv=  0.0 -> sigLOS        inf m (inf rel), RB     5.04 m
  e=0.50 sep=    10.0 km dv= 25.0 -> sigLOS       6.70 m (1.34e-03 rel), RB     4.07 m
  e=0.50 sep=  1000.0 km dv=  0.0 -> sigLOS    4647.84 m (9.29e-03 rel), RB     9.88 m
  e=0.50 sep=  1000.0 km dv= 25.0 -> sigLOS     421.94 m (8.44e-04 rel), RB     9.89 m
  e=0.50 sep= 12000.0 km dv=  0.0 -> sigLOS    5028.00 m (7.92e-04 rel), RB     9.66 m
  e=0.50 sep= 12000.0 km dv= 25.0 -> sigLOS    5072.80 m (7.99e-04 rel), RB     9.66 m

wrote /Users/pete/space_training/web_data/results/ext_bo_observability.csv (158 rows)
