geom,rho0_km,rho_over_r,arc_min,n_obs,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,beta_floor_mrad
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,radial,33742.63420111532,0.33206567568387624,15396967.621359522,20.391832212106497,0.00020067868743103512,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,1.0,prograde,121086.36885059012,1.1916267902744009,198197643.21973753,20.383446217809617,0.0002005961597645264,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,30.0,31,10.0,prograde,7056.211293191405,0.06944109807420884,576213.7394934582,20.323483196916488,0.00020000605583457703,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,91,0.0,none,1724.9365521372733,0.016975326178841916,103095.58651408993,15.84916159808586,0.0001559736718752493,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,91,0.1,radial,1710.9142911402594,0.016837331274684873,101234.51935759661,15.849688836151753,0.00015597886049400244,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,91,1.0,radial,1590.0646373145441,0.015648034027925393,85997.44868166998,15.854427292647076,0.00015602549226401897,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,91,1.0,prograde,1677.3073558889048,0.01650660103011089,88530.01718081396,15.856038027009276,0.00015604134371151248,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,91,10.0,prograde,1237.7039912107246,0.012180406831557763,26304.259597109758,15.893648213697508,0.00015641147047698034,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,361,0.0,none,218.93864503537415,0.002154603836311653,2984.6160459070543,6.29395398974063,6.193962427086882e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,361,0.1,radial,218.83028753787613,0.0021535374760089086,2977.5425475108223,6.294100395076476,6.194106506492426e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,361,1.0,radial,217.84493322811494,0.002143840475392162,2915.515058822112,6.295421883423298,6.195407000455583e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,361,1.0,prograde,207.30230179385651,0.002040089060791953,2444.4099240098494,6.293702541867698,6.193714973946956e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,361,10.0,prograde,148.29409098706347,0.0014593815417623137,789.6563855999324,6.297696372447518,6.19764535484772e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,1440.0,1441,0.0,none,137.15905069718337,0.0013498001541448646,19835.759842166935,3.181205274444065,3.130665711073804e-05,1.1368683772161603e-10
A3_leo_100km,101.61433918643861,0.015038272507132407,1440.0,1441,0.1,radial,137.1531143698811,0.0013497417339715918,19838.882601784357,3.181259724324469,3.1307192959131485e-05,1.1368683772161603e-10
