episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000015.npz,1,1,1498,15.67655393582219,6758.3595,6923.6375,92.21434069108818,235.0,574.0705250244266,574.0705250244266,211.9638515700821,0.40935736944515794,0.40935736944515794,1.1086796086185544,17200.20873872356,2,0.0,17200.20873872356,2,1061.7635569852941,76345.50241527511,13,33,8.493197467405539,34.510437693670795,0.0010983515803369853
ep_0000016.npz,1,1,846,8.436793135537334,6878.1445,7149.7165,145.96298804500657,250.0,1034.8384844993282,1034.8384844993282,231.12311991670913,0.2415835937150657,0.2415835937150657,1.0816745641461296,14728.829982697667,2,0.0,14728.829982697667,2,37110.46037946429,8258.116517854685,1,25,8.916169540337714,16.516075381078252,0.0005887981763385968
ep_0000017.npz,1,1,1311,13.270770421191783,6782.0495,7078.88,162.43461449135157,250.0,699.389657671252,699.389657671252,180.43630377205088,0.3574545280415234,0.3574545280415234,1.3855304878991008,13092.340192706974,1,0.0,13092.340192706974,1,24356.933183429624,41734.58408461751,7,26,-13.437972536320956,22.431191230611926,0.0009955465704754682
ep_0000018.npz,1,1,600,6.082521086192538,6747.034,7071.9405,178.61528295511107,280.0,964.8075897264112,954.575066032173,179.39419118060266,0.29021330572181664,0.29332423395873913,1.560808620152666,17047.66630638856,3,3171.4754070521635,9407.949916994066,1,23525.21829044118,7416.062544898754,1,33,7.02814890655228,26.027371549239703,0.0004233460175750056
ep_0000019.npz,1,1,1928,20.072151101538218,7094.095,6947.6125,78.6063209656586,265.0,331.7816747203293,331.7816747203293,187.82451282093544,0.7987180130529452,0.7987180130529452,1.410891454049135,16064.81440535558,2,0.0,16064.81440535558,2,0.0,107902.70883254417,18,43,-76.10866463240285,80.75297848854923,0.0014015367988723685
ep_0000020.npz,1,1,127,1.2769684718821346,6989.1675,7110.6485,64.78644742298002,415.0,494.1756832849416,494.1756832849416,1129.0618186751365,0.8397823163644236,0.8397823163644236,0.36756180497447805,17325.905615101,2,0.0,17325.905615101,2,0.0,6076.4147330172755,0,51,-64.78389008866576,66.02368936421412,5.472412378973203e-05
ep_0000021.npz,1,1,582,5.7892364083895504,6892.0085,7161.8955,144.65400045560818,280.0,499.7982830918904,499.7982830918904,239.67163888402717,0.5602260141188212,0.5602260141188212,1.1682650534028642,14726.751770949777,2,0.0,14726.751770949777,2,17791.129037552524,8463.509115218585,1,29,11.794400019264517,49.44632618027176,0.0004271563106842909
ep_0000022.npz,1,1,231,2.4252879631038686,6744.317,6908.641,91.97469282766178,90.0,168.10836365771198,123.93571121511599,227.8531418508633,0.5353689610782862,0.726182946929529,0.3949912617790792,15221.278116854206,2,6857.7423600925595,8812.449976763104,1,9945.723805147058,3914.275237424228,0,11,3.001255705117871,11.81455017098436,0.00016880107157800811
ep_0000023.npz,1,1,1789,18.877677790289297,6792.2125,6885.4875,52.063949096684155,200.0,970.0519870485197,970.0519870485197,141.2737296760045,0.2061745171086346,0.2061745171086346,1.4156913706368313,14168.744803129617,2,0.0,14168.744803129617,2,24805.46218487395,73554.54258391958,13,24,-3.8451946788542006,28.87310955253045,0.0013166150910957615
ep_0000024.npz,1,1,1816,18.6940289932337,6778.6235,7000.066,122.25737358965944,155.0,743.5719019295368,689.3150403370929,122.27384418621978,0.2084532774810099,0.22486089948683113,1.2676464131113696,17113.110021049153,2,2509.9104035174223,11657.19813951696,1,97877.6549369748,9489.718203291442,1,16,-5.659441826304399,13.158092688934335,0.0013598289363432362
ep_0000025.npz,1,1,70,0.7634144669836228,6862.8285,6735.7395,71.55933690569236,345.0,408.77800929971016,408.77800929971016,2530.1646670449745,0.8439788642031645,0.8439788642031645,0.13635476160645774,16504.795946276325,2,0.0,16504.795946276325,2,0.0,4200.0,0,49,-64.11337338957152,65.59804021402151,1.5071519029654937e-05
ep_0000026.npz,1,1,168,1.6700965537426788,7055.185,7164.8205,57.729144541846836,275.0,397.704856340877,309.91356195013384,504.20158944473326,0.6914675433691326,0.8873441945217242,0.5454167653514377,17720.715653683037,2,3699.750433150844,12071.158373940436,1,3652.589613970588,6427.41027053206,0,38,-37.45314628346468,52.28353792479263,9.204457950162801e-05
ep_0000027.npz,1,1,78,0.809241526275644,6871.9755,6963.664,50.304524669198145,140.0,275.0509399616892,240.6290157803157,675.997556800382,0.5089966244779969,0.5818084720415188,0.20710134022176824,16619.5181912684,2,739.6609332760211,11566.386172836852,1,0.0,4680.0,0,18,-26.50638128164315,27.410422550257195,4.4202466295444756e-05
ep_0000028.npz,1,1,209,2.137253994753334,6840.1175,7031.0515,104.35864276097072,255.0,412.2740769898518,337.09059411213235,312.31824918213806,0.6185205770438894,0.7564731987602563,0.8164748639176984,16924.677184094537,2,2417.110929427844,9649.020960735092,1,8372.906422334558,3656.608193579312,0,27,15.785463825790423,26.596080750313124,0.00013725956448969745
ep_0000029.npz,1,1,1760,17.937194887650143,6891.1685,7046.9135,84.51111116445645,300.0,1118.5618328772043,956.3409108746961,253.89297982268903,0.26820153449034584,0.31369566708759916,1.181600216790203,17661.62446158839,2,1512.686633711699,11774.416307725594,1,56249.487920168074,35764.56238863717,6,33,18.00163293518276,73.28851527131529,0.0012952394701510681
ep_0000030.npz,1,1,682,6.822692838673691,6830.128,7134.7575,164.84557356321056,325.0,905.4638985940246,905.4638985940246,261.08810813601144,0.35893203528561396,0.35893203528561396,1.2447905127517116,14821.53178831001,2,0.0,14821.53178831001,2,18985.72684151786,14317.47397062509,2,33,15.498787442494354,51.490376769311865,0.00046265090178253346
ep_0000031.npz,1,1,1206,12.16450736407273,6849.2545,7095.702,133.639065815677,290.0,1215.5037581176814,1215.5037581176814,245.58850237739648,0.23858420680581974,0.23858420680581974,1.1808370391638134,14935.722729580668,3,0.0,14935.722729580668,3,15823.999474789915,35619.15331991609,6,31,14.947844308343694,25.959648737352516,0.0009027811028359575
ep_0000032.npz,1,1,651,6.914740826055395,7059.047,6855.3595,110.81183231635441,220.0,828.7179297035332,828.7179297035332,254.31441334488665,0.2654703031207532,0.2654703031207532,0.8650709061528833,13928.643044133316,2,0.0,13928.643044133316,2,2297.6470588235297,34789.00110357698,5,31,-26.325480721209786,26.3259887269742,0.0004486721874748831
ep_0000033.npz,1,1,263,2.8242213634288373,7057.0675,6805.5755,137.59181872554382,235.0,371.45590151729584,315.63056528043614,309.85544025826226,0.6326457569797362,0.7445413272672237,0.7584181830215058,16031.134452332672,2,4338.373813658818,11174.76144351644,1,4018.5867335215335,11422.424267320532,1,25,-37.868583115071154,38.305268893985605,0.00016976360693781386
ep_0000034.npz,1,1,1465,15.732529622366506,6964.487,6805.388,87.91805706415107,200.0,1103.3524831740938,709.9832986590934,199.182077214053,0.18126573606346139,0.28169676720245257,1.0041064075512578,14763.952174972781,2,2394.4074796001614,9474.442026088725,1,8882.800805869223,62961.47887022645,11,25,-31.72046814646564,31.72167596152493,0.0011010551965187452
ep_0000035.npz,1,1,346,3.580615192659892,6779.3855,6975.454,108.52792921566106,285.0,289.013097582324,288.3252143716149,237.7470541147222,0.9861144784928617,0.9884671398619715,1.1987530237177046,8582.735773701112,1,189.5380672701012,8421.125475495639,1,14030.453896402312,2883.2988354431764,0,29,-1.60505256580712,22.317145289601687,0.0002549720330169571
ep_0000036.npz,1,1,1013,10.209458358129773,6787.465,7099.5585,170.30881624468748,235.0,1168.0075080150395,1168.0075080150395,168.80231956682042,0.20119733682137778,0.20119733682137778,1.3921609643934734,13175.942059909856,1,0.0,13175.942059909856,1,55943.651564141284,1676.3847122240581,0,24,1.1922719496568868,23.281983162624897,0.0007485040182317459
ep_0000037.npz,1,1,1919,20.984163407698567,6924.2605,6723.8145,112.25593515402215,230.0,662.6138935308603,382.04769281652966,159.041579229358,0.3471101379634565,0.6020190785720898,1.4461627023227115,14861.204945488427,2,2665.234630580575,10081.30146409439,1,3870.252100840336,108099.29056780427,18,24,-15.997629073919104,19.670613297218793,0.0014166202168150867
ep_0000038.npz,1,1,1735,17.810786929388755,6934.72,7013.0095,42.43627568734428,250.0,901.9330302388871,901.9330302388871,146.67247995073302,0.27718244217509663,0.27718244217509663,1.7044778958123192,13029.98339423737,1,0.0,13029.98339423737,1,6224.548852744222,96832.05000456783,16,33,-29.977960556565485,44.57153475130713,0.001289655674230628
ep_0000039.npz,1,1,219,2.205434424765542,6794.843,7103.3,168.12163063024127,170.0,267.8186776397903,185.67460336258068,251.39466598021534,0.6347578200973941,0.9155802512637029,0.6762275537436381,14322.057060100813,2,5395.933438263839,8615.28555682216,1,10061.849108784138,3078.150390975754,0,19,16.873107455474273,31.385068677702943,0.00015293033055466506
ep_0000040.npz,1,1,548,5.893771824126241,7099.222,6798.582,163.86552860775828,235.0,1061.2193293519676,1061.2193293519676,461.74021322813155,0.22144338451081783,0.22144338451081783,0.508944192573268,14114.14702565825,2,0.0,14114.14702565825,2,2206.1029411764703,28631.936967425805,4,28,-36.77758094165301,49.785560271817054,0.00037823591895999977
ep_0000041.npz,1,1,73,0.7385924482614813,6993.5685,7081.178,46.846864165468105,95.0,206.02154000047022,145.02393634162897,237.11455407403406,0.4611168327340101,0.6550642769495034,0.4006502273594654,16340.952734695891,2,2634.2027558723316,10969.091637984639,1,0.0,4380.0,0,11,-8.26815113655616,9.930912010065907,5.099905165847041e-05
ep_0000042.npz,1,1,1080,11.058204325873005,6932.876,7025.107,49.93831869654241,255.0,730.4888980571657,730.4888980571657,213.7352828638516,0.34908128060290455,0.34908128060290455,1.1930646011423103,14657.668796145283,2,0.0,14657.668796145283,2,24079.180344012602,36533.02141886903,6,32,14.701614877829654,38.45035636609781,0.000780206787024849
ep_0000043.npz,1,1,1335,14.547043957131155,7094.161,6739.5545,194.63877598584895,245.0,658.9431089426141,658.9431089426141,194.93833656058897,0.3718075152089291,0.3718075152089291,1.256807687613828,14945.990382985217,2,0.0,14945.990382985217,2,66004.47454372373,8635.68074622726,1,30,18.764307990687275,31.546132818782095,0.0009427544277583375
ep_0000044.npz,4,0,2000,21.94766426583806,7113.8535,6707.9215,223.11664967043816,0.0,480.14535547695493,452.8793172019441,222.66274667720498,0.0,0.0,0.0,16023.248413096448,2,5942.094464357927,10014.330521846232,1,402.6473870798319,118972.38750676034,20,0,0.00016729518267330663,0.0015006698718651322,0.0015006698718651322
ep_0000045.npz,1,1,1778,17.806828208598102,6738.8045,7129.4655,213.63863490504082,295.0,805.330682073155,805.330682073155,211.12682124264416,0.36630915295637856,0.36630915295637856,1.3972644416455355,14618.31104532643,2,0.0,14618.31104532643,2,26699.546760110297,31663.860573919206,5,33,-9.871100145638968,69.57199029596416,0.001339627937268951
ep_0000046.npz,1,1,1597,16.80940328792114,6765.26,6897.027,73.67507511393615,160.0,1132.7532900158417,1132.7532900158417,151.97535471093656,0.14124876211815052,0.14124876211815052,1.0528022803718844,12086.120361138555,1,0.0,12086.120361138555,1,12522.039046087186,83168.81244943786,15,27,26.41704827142998,49.440608138807896,0.0011809158407044748
ep_0000047.npz,1,1,1620,16.363145519146528,6926.3055,7089.12,87.61722905555325,285.0,961.9368564388503,961.9368564388503,186.19383273185238,0.29627724324347815,0.29627724324347815,1.530662943119301,14923.569369522815,3,0.0,14923.569369522815,3,87217.0504529937,2604.932793060462,0,30,-0.024657106244028133,41.90639654804431,0.0011196032281709717
ep_0000048.npz,1,1,1852,18.757099551742392,6967.359,7076.3675,58.483117811059856,355.0,748.3045629851777,748.3045629851777,130.1984466950816,0.47440576679609503,0.47440576679609503,2.7266070295860954,13271.8250945434,1,0.0,13271.8250945434,1,2801.3445378151264,106560.61720304762,18,47,-12.191986323098092,56.77845335415076,0.0013425952612797932
ep_0000049.npz,1,1,849,8.433721355710732,7058.249,7168.349,57.933446974459,170.0,710.9657774184734,710.9657774184734,164.52444325808287,0.2391113685067548,0.2391113685067548,1.0332811139395734,15458.676353551304,2,0.0,15458.676353551304,2,1204.5661272321431,44738.23368915412,7,26,50.03317638882381,59.35126565835188,0.000605157862735455
ep_0000050.npz,1,1,925,9.621535622362746,7094.352,6951.7115,76.50883576331216,335.0,933.4825074518524,933.4825074518524,234.00495886251417,0.3588712132533226,0.3588712132533226,1.4315935936931312,13322.592366325787,1,0.0,13322.592366325787,1,3546.177455357143,34213.03518219823,5,40,-27.882893093598085,46.86651593049923,0.0006664455348094789
ep_0000051.npz,1,1,736,7.52465495640473,6976.1025,7032.1425,30.17929050022485,205.0,821.1128595139895,821.1128595139895,221.4954141580619,0.249661173399888,0.249661173399888,0.9255270623964676,16298.363268448993,3,0.0,16298.363268448993,3,1000.5724789915967,39679.774088997845,7,36,39.689720686317706,47.631760775303206,0.000514041210189366
ep_0000052.npz,1,1,157,1.7347859900961144,6741.209,6677.225,36.75413650220253,235.0,169.79861994291264,169.79861994291264,319.54705949203816,1.3839924027592714,1.3839924027592714,0.7354159364619509,15626.749094762421,2,0.0,15626.749094762421,2,0.0,9420.0,1,27,27.95629319153083,32.08154764283033,0.00010549909570200711
ep_0000053.npz,1,1,150,1.5330905543945277,6934.6915,7033.57,53.47864327650041,255.0,258.7521401084098,258.7521401084098,432.0925922397406,0.9854990953626983,0.9854990953626983,0.5901512883574657,17611.484150499684,2,0.0,17611.484150499684,2,0.0,6414.470143100151,1,33,-38.85701217006382,38.85711450307939,8.896673775482543e-05
ep_0000054.npz,1,1,380,3.890049772154612,7165.3985,7026.07,73.58656650518515,255.0,821.9875597068135,821.9875597068135,586.219805678475,0.31022367308205173,0.31022367308205173,0.43499042087953654,12923.087532221894,1,0.0,12923.087532221894,1,4302.691701680673,18497.307055685156,2,43,-78.05131395514469,82.52789855609936,0.0002646562853479388
