v_tol_ms,di_deg,dv_ms,dv_axis,sep_m,orbits,component,sigma_k,proj_m,floor,crlb,model,ratio
0.1,0.0,1.0,nor,5000.0,1.0,pos_plane,0.0025461094999966872,4.759970027990409e-13,0.7697518102675025,1.7779908480412916,0.7697518102675025,0.43293350531893515
0.1,0.0,1.0,nor,5000.0,1.0,vel_range,0.0025461094999966872,0.09999210396821492,0.000853276301649449,0.0009168629372500117,0.0008904476097677703,0.9711894478345148
0.1,0.0,1.0,nor,5000.0,1.0,vel_inplane,0.0025461094999966872,5.541727654028854,0.000853276301649449,0.014006408380037706,0.014135622320984724,1.0092253443881571
0.1,0.0,1.0,nor,5000.0,1.0,vel_plane,0.0025461094999966872,2.605469861691593e-13,0.000853276301649449,0.0012918902751777271,0.000853276301649449,0.660486666742702
0.1,0.0,1.0,nor,5000.0,3.0,pos_range,0.0016122090063152878,5000.383449656096,0.48780994877167144,8.061663232565465,8.076408398627356,1.0018290476340326
0.1,0.0,1.0,nor,5000.0,3.0,pos_inplane,0.0016122090063152878,3.018384286439622e-13,0.48780994877167144,0.5827137044612541,0.48780994877167144,0.8371348486177691
0.1,0.0,1.0,nor,5000.0,3.0,pos_plane,0.0016122090063152878,4.759970027990409e-13,0.48780994877167144,0.7196830466859241,0.48780994877167144,0.6778121994369501
0.1,0.0,1.0,nor,5000.0,3.0,vel_range,0.0016122090063152878,0.09999210396821492,0.0005407413966990859,0.0005553666437616336,0.000564259986500172,1.0160134621667258
0.1,0.0,1.0,nor,5000.0,3.0,vel_inplane,0.0016122090063152878,5.541727654028854,0.0005407413966990859,0.008915881968293437,0.008950772021953577,1.0039132475939245
0.1,0.0,1.0,nor,5000.0,3.0,vel_plane,0.0016122090063152878,2.605469861691593e-13,0.0005407413966990859,0.0009879539025465756,0.0005407413966990859,0.5473346431501073
0.1,0.0,1.0,nor,50000.0,1.0,pos_range,0.024231496519237943,50000.14466852172,7.296120807358974,1211.5783314966775,1211.6002999055047,1.0000181320582056
