geometry,di_deg,rho_med_m,zsep_med_m,tilt_rad,range_rel_err,amplification,amp_pred_r_over_z,tilt_for_1pct_rad
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,1e-05,0.000785242110237324,78.64832249730446,335.2981077924732,0.00012714829359955813
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,0.0001,0.007742446936725327,78.64832249730446,335.2981077924732,0.00012714829359955813
G3_180deg_di0p75,0.7507507936978107,13571738.730420072,60656.95989406297,0.001,0.07139434968154712,78.64832249730446,335.2981077924732,0.00012714829359955813
G1_10km_coplanar,0.0,14604.452820073993,0.0,1e-09,3572.229902659399,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
G1_10km_coplanar,0.0,14604.452820073993,0.0,1e-08,3572.229902659399,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
G1_10km_coplanar,0.0,14604.452820073993,0.0,1e-07,3572.229902659399,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
G1_10km_coplanar,0.0,14604.452820073993,0.0,1e-06,3572.2299026593987,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
G1_10km_coplanar,0.0,14604.452820073993,0.0,1e-05,3572.229902659399,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
G1_10km_coplanar,0.0,14604.452820073993,0.0,0.0001,3572.229902659399,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
G1_10km_coplanar,0.0,14604.452820073993,0.0,0.001,3572.2299026593996,3572229902659.399,6785103631346866.0,2.7993718972441705e-15
