scenario,design,gamma_form,decisions,total,worst_step,best_step,open_leg,drift_leg,close_leg,xfer_leg,terminal
coast,S_R,gamma^tau,2000,9.9950000000001,0.0,0.0050000000000002265,0,0,0,0,0.0
coast,S_R,gamma^1/decision,2000,9.9950000000001,0.0,0.0050000000000002265,0,0,0,0,0.0
coast,S_R,gamma_shape=1,2000,0.0,-2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0.0
coast,S_R3,gamma^tau,2000,9.995000000000164,0.0,0.0050000000000003375,0,0,0,0,0.0
coast,S_R3,gamma^1/decision,2000,9.995000000000164,0.0,0.0050000000000003375,0,0,0,0,0.0
coast,S_R3,gamma_shape=1,2000,0.0,-3.3306690738754696e-16,3.3306690738754696e-16,0,0,0,0,0.0
warp60,legacy,gamma^tau,34,0.17141998546487489,0.0,0.005194545014087122,0,0,0,0,0.0
warp60,legacy,gamma^1/decision,34,0.0032998501870332916,0.0,9.999546021313005e-05,0,0,0,0,0.0
warp60,legacy,gamma_shape=1,34,0.0,0.0,0.0,0,0,0,0,0.0
warp60,S_A,gamma^tau,34,0.17142776792017508,0.0,0.00519478084606591,0,0,0,0,0.0
warp60,S_A,gamma^1/decision,34,0.00329999999999998,0.0,9.99999999999994e-05,0,0,0,0,0.0
warp60,S_A,gamma_shape=1,34,0.0,0.0,0.0,0,0,0,0,0.0
warp60,S_B,gamma^tau,34,8.57138839600875,0.0,0.2597390423032955,0,0,0,0,0.0
warp60,S_B,gamma^1/decision,34,0.16500000000000015,0.0,0.0050000000000000044,0,0,0,0,0.0
warp60,S_B,gamma_shape=1,34,0.0,0.0,0.0,0,0,0,0,0.0
warp60,S_C,gamma^tau,34,2.7428442867228013,0.0,0.08311649353705455,0,0,0,0,0.0
warp60,S_C,gamma^1/decision,34,0.05279999999999968,0.0,0.0015999999999999903,0,0,0,0,0.0
warp60,S_C,gamma_shape=1,34,0.0,0.0,0.0,0,0,0,0,0.0
warp60,S_R,gamma^tau,34,8.571388396008754,0.0,0.2597390423032957,0,0,0,0,0.0
warp60,S_R,gamma^1/decision,34,0.16500000000000037,0.0,0.0050000000000002265,0,0,0,0,0.0
warp60,S_R,gamma_shape=1,34,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0.0
warp60,S_R3,gamma^tau,34,8.571388396008754,0.0,0.2597390423032955,0,0,0,0,0.0
warp60,S_R3,gamma^1/decision,34,0.16500000000000015,0.0,0.0050000000000000044,0,0,0,0,0.0
warp60,S_R3,gamma_shape=1,34,0.0,0.0,0.0,0,0,0,0,0.0
parkfarm,legacy,gamma^tau,40,2.3093942127867657,-0.050930016425624475,0.0783599156059685,0,0,0,0,0.0
parkfarm,legacy,gamma^1/decision,40,-0.226704632503697,-0.050930016425624475,0.0015084354456514348,0,0,0,0,0.0
parkfarm,legacy,gamma_shape=1,40,-0.28168799708765646,-0.05243845187127591,0.0,0,0,0,0,0.0
parkfarm,S_A,gamma^tau,40,0.6462655005388269,-0.19785585720036386,0.26032444960613627,0,0,0,0,0.0
parkfarm,S_A,gamma^1/decision,40,0.0224039327286606,-0.2746317666192881,0.25892174620764896,0,0,0,0,0.0
parkfarm,S_A,gamma_shape=1,40,0.009563107977932497,-0.2761387187677443,0.25889421404403157,0,0,0,0,0.0
parkfarm,S_B,gamma^tau,40,4.33906535880891,-0.570338168718751,0.247560594001063,0,0,0,0,0.0
parkfarm,S_B,gamma^1/decision,40,0.8198867773638754,-0.7809944977440764,0.21033459297479773,0,0,0,0,0.0
parkfarm,S_B,gamma_shape=1,40,0.728965742200171,-0.785129245349324,0.20721795029263979,0,0,0,0,0.0
parkfarm,S_C,gamma^tau,40,2.5508549948873003,-0.01998464360847827,0.5993316276636133,0,0,0,0,0.0
parkfarm,S_C,gamma^1/decision,40,0.212136088358595,-0.03808801615711793,0.5933022858598377,0,0,0,0,0.0
parkfarm,S_C,gamma_shape=1,40,0.1620493586579026,-0.04036250914731587,0.5931839423631114,0,0,0,0,0.0
parkfarm,S_R,gamma^tau,40,5.301010598127319,-0.07040571576011283,0.3506007986217071,0,0,0,0,0.0
parkfarm,S_R,gamma^1/decision,40,0.4903987263706914,-0.13781054787275476,0.14285469090577907,0,0,0,0,0.0
parkfarm,S_R,gamma_shape=1,40,0.365863206773383,-0.1402781484929685,0.13971859943742115,0,0,0,0,0.0
parkfarm,S_R3,gamma^tau,40,7.0046241184259115,-0.036049362525084394,0.37825347378162155,0,0,0,0,0.0
parkfarm,S_R3,gamma^1/decision,40,0.30003020307601336,-0.07054197937282247,0.07814569706086916,0,0,0,0,0.0
parkfarm,S_R3,gamma_shape=1,40,0.13406755485100408,-0.07225521215031772,0.07225521103157395,0,0,0,0,0.0
