file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000087.npz,1,1,41.49,192.0,0.3442,0.3923,1224,205.0,52.0,147.4,10,0.403,29.75,6.88
ep_0000088.npz,1,1,160.86,625.2,0.3183,0.366,3629,330.0,88.4,223.4,16,0.033,29.79,5.74
ep_0000089.npz,1,1,-62.29,-689.6,0.1735,0.13,421,275.0,272.4,272.4,13,0.969,29.65,45.41
ep_0000090.npz,1,1,159.17,984.1,0.2052,0.1581,3511,255.0,106.5,200.2,12,0.034,29.58,16.96
ep_0000091.npz,1,1,20.01,632.0,0.4341,0.4371,3437,255.0,49.8,162.2,15,0.315,29.84,7.58
ep_0000092.npz,1,1,-121.42,402.0,0.0622,0.0461,4702,285.0,30.9,45.1,15,0.269,29.85,4.76
ep_0000093.npz,1,1,173.12,747.6,0.0024,0.0813,6294,235.0,56.5,156.9,13,0.14,29.91,6.9
ep_0000094.npz,1,1,-30.73,-815.4,0.2153,0.2824,2347,265.0,70.5,153.7,16,0.149,30.0,9.57
ep_0000095.npz,1,1,-121.37,687.4,0.1382,0.1395,3670,310.0,70.1,70.1,16,0.113,29.37,10.9
ep_0000096.npz,1,1,9.65,-366.4,0.3481,0.3303,3229,270.0,46.7,47.5,19,0.075,29.92,5.08
ep_0000097.npz,1,1,-55.45,773.3,0.3699,0.3039,4903,465.0,127.8,255.3,25,0.245,28.61,38.14
ep_0000098.npz,1,1,-71.93,351.0,0.2344,0.1865,4619,345.0,101.7,186.6,19,0.097,28.81,24.05
ep_0000099.npz,1,1,-123.16,694.1,0.019,0.0604,4713,270.0,65.3,114.2,12,0.157,29.92,7.74
ep_0000100.npz,1,1,-26.1,131.6,0.2171,0.1633,1831,295.0,29.4,206.7,15,0.213,28.88,24.23
ep_0000101.npz,1,1,38.52,350.3,0.0064,0.071,1200,360.0,183.1,272.4,18,0.985,14.43,48.24
ep_0000102.npz,1,1,-72.09,865.1,0.1557,0.2039,3651,330.0,65.1,182.8,21,0.353,30.0,9.71
ep_0000103.npz,1,1,10.01,846.6,0.3437,0.3447,3131,345.0,89.3,219.2,21,0.172,29.99,10.05
ep_0000104.npz,1,1,118.34,-77.4,0.15,0.1629,5137,280.0,7.2,209.2,16,0.156,29.93,7.79
ep_0000105.npz,1,1,48.33,-456.3,0.2091,0.2225,5309,400.0,34.0,193.4,28,0.351,29.7,6.71
ep_0000106.npz,1,1,-148.93,87.8,0.2857,0.2512,3357,210.0,19.9,125.2,9,0.054,29.47,19.23
ep_0000107.npz,1,1,-135.22,-280.9,0.1387,0.1865,4950,195.0,22.8,102.9,9,0.053,29.26,15.97
ep_0000108.npz,1,1,-41.38,216.0,0.4781,0.4643,4233,280.0,17.9,82.9,18,0.23,29.63,11.82
ep_0000109.npz,1,1,-8.26,915.5,0.1465,0.1566,853,300.0,215.5,271.1,14,0.493,28.5,29.66
ep_0000110.npz,1,1,100.93,-69.5,0.3132,0.345,6921,330.0,15.7,230.2,15,0.069,29.98,15.27
ep_0000111.npz,1,1,127.29,85.7,0.3451,0.2882,6157,310.0,6.3,185.6,16,0.091,29.9,13.5
ep_0000112.npz,1,1,-176.84,159.5,0.0845,0.143,2734,315.0,71.7,223.5,19,0.186,29.21,49.58
ep_0000113.npz,1,1,27.57,247.0,0.2679,0.1798,3835,295.0,29.7,204.8,19,0.118,29.94,6.36
ep_0000114.npz,1,1,-38.3,740.2,0.0219,0.0458,2326,370.0,350.3,350.3,25,0.293,28.69,33.73
ep_0000115.npz,1,1,-137.95,664.2,0.0419,0.0485,1781,290.0,224.8,224.8,14,0.168,28.85,34.97
ep_0000116.npz,1,1,43.64,-938.3,0.1106,0.1604,4092,355.0,105.0,172.9,22,0.159,29.63,6.51
ep_0000117.npz,1,1,176.15,244.7,0.2214,0.1982,3300,280.0,32.3,127.9,15,0.091,29.89,16.37
ep_0000118.npz,1,1,-39.44,690.7,0.2552,0.257,5041,315.0,52.0,52.0,21,0.282,29.9,3.97
ep_0000119.npz,1,1,-110.22,139.7,0.3707,0.3478,5440,190.0,34.8,144.6,9,0.044,29.74,6.13
ep_0000120.npz,1,1,-56.93,-725.0,0.4361,0.447,2295,235.0,98.5,201.3,10,0.222,29.68,10.99
ep_0000121.npz,1,1,-105.44,848.1,0.1376,0.2127,4339,265.0,116.2,181.9,16,0.014,29.93,4.16
ep_0000122.npz,1,1,155.53,-854.3,0.4002,0.3972,3085,250.0,168.9,201.9,10,0.122,29.19,32.18
ep_0000123.npz,1,1,-25.63,-574.1,0.0278,0.08,2037,435.0,258.3,258.3,25,0.988,29.79,36.72
ep_0000124.npz,1,1,82.18,-248.9,0.0008,0.0524,3702,275.0,20.1,104.1,16,0.267,29.92,8.66
ep_0000125.npz,1,1,51.49,462.3,0.1866,0.2414,1944,335.0,186.0,192.1,17,0.247,20.58,49.65
ep_0000126.npz,1,1,-134.04,-351.0,0.1558,0.2233,5483,275.0,49.8,217.5,16,0.077,28.9,29.58
ep_0000127.npz,1,1,-60.26,-659.8,0.4145,0.377,4473,200.0,57.2,119.1,13,0.152,29.87,5.12
ep_0000128.npz,1,1,15.66,999.6,0.0436,0.0312,445,295.0,272.1,272.1,13,0.807,29.39,23.86
ep_0000129.npz,1,1,-112.59,624.9,0.2336,0.268,6285,160.0,63.6,137.0,7,0.01,29.97,5.29
ep_0000130.npz,1,1,1.56,517.5,0.4373,0.4013,2426,270.0,40.9,110.2,23,0.397,29.87,8.73
ep_0000131.npz,1,1,-86.63,-350.7,0.265,0.2622,3021,210.0,30.7,152.3,12,0.162,29.72,6.7
ep_0000132.npz,1,1,66.22,-893.1,0.1573,0.1717,3583,320.0,126.1,159.2,16,0.117,29.3,16.1
ep_0000133.npz,1,1,-28.05,993.7,0.0355,0.0967,4873,475.0,389.1,389.1,25,0.339,13.99,49.49
ep_0000134.npz,1,1,-22.54,888.3,0.1825,0.0974,3160,380.0,161.8,264.4,20,0.142,29.92,15.35
ep_0000135.npz,1,1,-122.94,354.6,0.4568,0.3758,8412,395.0,44.1,222.6,27,0.064,29.31,15.5
ep_0000136.npz,1,1,130.27,-254.8,0.1504,0.1902,4284,280.0,34.4,173.3,16,0.07,29.86,9.79
ep_0000137.npz,1,1,84.75,-929.2,0.4059,0.3407,6458,275.0,103.8,144.1,17,0.028,29.63,12.36
ep_0000138.npz,1,1,-150.6,-106.3,0.003,0.0629,3886,200.0,18.6,156.0,11,0.054,29.83,5.61
ep_0000139.npz,1,1,93.51,-50.3,0.1496,0.1774,4239,170.0,4.7,123.4,8,0.0,29.55,13.98
ep_0000140.npz,1,1,5.04,-955.4,0.1765,0.1009,3638,260.0,262.3,262.3,13,0.083,29.83,25.94
ep_0000141.npz,1,1,37.48,-97.4,0.3321,0.3435,1554,255.0,15.2,194.6,13,0.27,29.96,6.99
ep_0000142.npz,1,1,141.61,362.2,0.1706,0.1257,4212,335.0,35.8,197.8,21,0.14,29.85,8.17
ep_0000143.npz,1,1,104.98,430.8,0.1305,0.07,3479,210.0,40.2,193.8,10,0.118,29.87,3.26
ep_0000144.npz,1,1,128.25,-948.5,0.0473,0.0459,3448,150.0,128.4,128.4,8,0.07,28.34,34.25
ep_0000145.npz,1,1,15.86,538.2,0.5,0.5321,1835,190.0,40.9,92.3,10,0.308,29.94,6.5
