band,alt_lo_km,alt_hi_km,e_max,de_max,da_max_km,same_orbit,horizon,di_max_deg,n,budget_ms,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,dv_seq_p50,dv_seq_p90,dv_seq_p99,dv_comb_p90,dv_plane_p50,dv_plane_p90,theta_p50,theta_p90,steps_p50,steps_p90
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.75,4000,478.12987798780637,0.9585,0.9925,1.0,0.9585,0.9925,296.73555755492146,428.06078274640737,523.1028859049011,374.930315945451,67.7140103610457,91.88491739193377,0.5227808238090774,0.7123703672828012,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,0.9,4000,478.12987798780637,0.94725,0.991,1.0,0.94725,0.991,309.2484810930444,443.11958835509563,538.5811529284802,379.6623370502908,81.25668538889295,110.26157515645433,0.6273369885708928,0.8548444407393614,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,1.0,4000,478.12987798780637,0.9375,0.9905,1.0,0.9375,0.9905,318.1261797525992,452.8024896336597,549.614668315103,383.01513515009367,90.28509762218755,122.51258345986456,0.6970410984121032,0.9498271563770684,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,1.2,4000,478.12987798780637,0.911,0.989,1.0,0.911,0.989,335.8929538455683,470.8579933872617,570.822029557207,391.0709079762882,108.34181600504353,147.0143280922915,0.8364493180945237,1.139792587652482,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,1.5,4000,478.12987798780637,0.856,0.981,1.0,0.856,0.981,362.5145342946555,502.1352773590091,602.6205465390401,407.8927498993335,135.42657704010327,183.7661335090218,1.0455616476181548,1.4247407345656025,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,1.75,4000,478.12987798780637,0.80475,0.9725,1.0,0.80475,0.9725,384.99118728763966,527.9259974796328,631.3165390148482,424.12035379625087,157.99686226013222,214.39174333462879,1.2198219222211806,1.6621975236598694,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,2.0,4000,478.12987798780637,0.73625,0.95275,1.0,0.73625,0.95275,407.8485826945557,553.0496652800018,659.4278668454469,441.2827200194478,180.56677319756164,245.01639359623616,1.3940821968242063,1.8996543127541368,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,2.5,4000,478.12987798780637,0.58725,0.89375,1.0,0.58725,0.89375,453.1435177510549,606.1231507682512,715.768535004654,482.09773451467106,225.70525836000428,306.26226715917073,1.7426027460302578,2.3745678909426706,1285.0148423820888,2691.783977167629
L2 headline 300-800 e<=0.05,300,800,0.05,-1,-1,0,3000,3.0,4000,478.12987798780637,0.441,0.77625,1.0,0.441,0.77625,498.5499198035621,660.3271944861644,771.3815497962943,525.6866826636555,270.84160480909577,367.50265771403883,2.0911232952363097,2.849481469131205,1285.0148423820888,2691.783977167629
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.0,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,248.11826875488836,338.2500726707415,398.74695702888295,338.2500726707415,0.0,0.0,0.0,0.0,1393.8794652738584,2726.5944202229384
WL3 300-2000 e<=0.15,300,2000,0.15,0.06,400,0,3000,0.1,4000,478.12987798780637,1.0,1.0,1.0,1.0,1.0,256.59685783010013,343.39350851638915,405.9328884090543,335.7574108477965,8.370556180239701,11.426421220451735,0.07072447350652153,0.09497290429623519,1399.7929829593031,2723.18073004329
