cls,nav_seed,component,block,z,rho
X3-loose,20260955,range,vel,-1.665720756151307,3879405.279508768
X3-loose,20260955,range,pos,-0.28328901352915176,191445.33154285117
X3-loose,20260955,range,vel,-0.5488145106378454,191445.33154285117
X3-loose,20260955,range,pos,-0.6448500573274828,13843004.17636228
X3-loose,20260955,range,vel,0.7242906213038717,13843004.17636228
X3-loose,20260955,inplane,pos,1.0593700832637591,2744627.475690526
X3-loose,20260955,inplane,vel,-1.2831216352687116,2744627.475690526
X3-loose,20260955,inplane,pos,0.6656065100164922,83081.09747841649
X3-loose,20260955,inplane,vel,1.4460546962494571,83081.09747841649
X3-loose,20260955,inplane,pos,0.0701058773335587,241242.13171449004
X3-loose,20260955,inplane,vel,-1.9126623291743523,241242.13171449004
X3-loose,20260955,inplane,pos,2.102263085246138,4704364.106641432
X3-loose,20260955,inplane,vel,2.2315993996377514,4704364.106641432
X3-loose,20260955,inplane,pos,-1.5255193204781645,175770.00454120061
X3-loose,20260955,inplane,vel,-0.048240799952379274,175770.00454120061
X3-loose,20260955,inplane,pos,0.4554401217574621,3879405.279508768
X3-loose,20260955,inplane,vel,1.3954536221748934,3879405.279508768
X3-loose,20260955,inplane,pos,-1.2658761098740798,191445.33154285117
X3-loose,20260955,inplane,vel,-0.6994523775674893,191445.33154285117
X3-loose,20260955,inplane,pos,-0.9671018435907022,13843004.17636228
X3-loose,20260955,inplane,vel,1.6264384126378517,13843004.17636228
X3-loose,20260955,plane,pos,1.4766915987633753,2744627.475690526
X3-loose,20260955,plane,vel,0.0823480762830725,2744627.475690526
X3-loose,20260955,plane,pos,0.2724764161649184,83081.09747841649
X3-loose,20260955,plane,vel,0.2159311710680547,83081.09747841649
X3-loose,20260955,plane,pos,-0.7026685013017253,241242.13171449004
X3-loose,20260955,plane,vel,1.262422297462425,241242.13171449004
X3-loose,20260955,plane,pos,-0.7087510114354058,4704364.106641432
X3-loose,20260955,plane,vel,0.2869382755793435,4704364.106641432
X3-loose,20260955,plane,pos,-1.2653944299126751,175770.00454120061
X3-loose,20260955,plane,vel,-0.8571260877809019,175770.00454120061
X3-loose,20260955,plane,pos,0.12030979374795817,3879405.279508768
X3-loose,20260955,plane,vel,-1.193358167738262,3879405.279508768
X3-loose,20260955,plane,pos,-0.9492340574906858,191445.33154285117
X3-loose,20260955,plane,vel,-0.21689324209083757,191445.33154285117
X3-loose,20260955,plane,pos,-0.14217436877181638,13843004.17636228
X3-loose,20260955,plane,vel,1.8918929901520196,13843004.17636228
X3-loose,20260955,range,pos,-0.3878008025142868,114679.8566489774
X3-loose,20260955,range,vel,0.4503116547587189,114679.8566489774
X3-loose,20260955,range,pos,0.4798394758021998,10289433.383355541
X3-loose,20260955,range,vel,0.2260075547644448,10289433.383355541
X3-loose,20260955,range,pos,-2.3458307486137295,154079.97160471076
X3-loose,20260955,range,vel,0.49518605827491136,154079.97160471076
X3-loose,20260955,range,pos,-1.8040754810593906,1316139.6988900264
X3-loose,20260955,range,vel,0.9544238807998051,1316139.6988900264
X3-loose,20260955,range,pos,-0.153565564068296,48999.63295102776
X3-loose,20260955,range,vel,-0.1867213623047276,48999.63295102776
X3-loose,20260955,range,pos,0.25235788089209965,15293.242479281367
X3-loose,20260955,range,vel,0.6866598161582025,15293.242479281367
X3-loose,20260955,range,pos,0.3493754811093492,4582578.133058519
X3-loose,20260955,range,vel,0.11005051013093861,4582578.133058519
X3-loose,20260955,range,pos,0.7768698994544163,218353.38861300677
X3-loose,20260955,range,vel,0.7463207831298566,218353.38861300677
X3-loose,20260955,inplane,pos,-0.04922566043381405,114679.8566489774
X3-loose,20260955,inplane,vel,-0.38995978927131925,114679.8566489774
X3-loose,20260955,inplane,pos,-0.7181912082462153,10289433.383355541
X3-loose,20260955,inplane,vel,0.39553343244525235,10289433.383355541
X3-loose,20260955,inplane,pos,-0.5894287362655133,154079.97160471076
X3-loose,20260955,inplane,vel,-2.0021661480296244,154079.97160471076
X3-loose,20260955,inplane,pos,-0.38268589891984595,1316139.6988900264
X3-loose,20260955,inplane,vel,-1.65350151299701,1316139.6988900264
X3-loose,20260955,inplane,pos,-0.375424097837466,48999.63295102776
X3-loose,20260955,inplane,vel,-0.2898409301760753,48999.63295102776
X3-loose,20260955,inplane,pos,1.0203627994300999,15293.242479281367
X3-loose,20260955,inplane,vel,0.22070640821633708,15293.242479281367
X3-loose,20260955,inplane,pos,0.48242379970226956,4582578.133058519
X3-loose,20260955,inplane,vel,0.12715823347221664,4582578.133058519
X3-loose,20260955,inplane,pos,0.8460702440180844,218353.38861300677
X3-loose,20260955,inplane,vel,-0.05332001302221648,218353.38861300677
X3-loose,20260955,plane,pos,-0.10024313838851684,114679.8566489774
X3-loose,20260955,plane,vel,2.1312435892433284,114679.8566489774
X3-loose,20260955,plane,pos,-0.7302320170797623,10289433.383355541
X3-loose,20260955,plane,vel,-2.088962810104355,10289433.383355541
X3-loose,20260955,plane,pos,2.3011367376957,154079.97160471076
X3-loose,20260955,plane,vel,2.0297659153803305,154079.97160471076
X3-loose,20260955,plane,pos,-0.8964576851220024,1316139.6988900264
X3-loose,20260955,plane,vel,0.6609070198934549,1316139.6988900264
