block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
leo,6771.0,0.0,51.6,5.0,0.0,0.0,1.0,nor,3.0,278,4.999999886396891,5.026387092205445,882.4692285550198,7.35941960669725,0.5009999904148821,0.462002206132397,7.390906843974347,0.0004997007755827674,0.008292663874152327,0.0008069922359106885,0.0014718839547815685,9.240044332587492e-05,0.06277698933105592,0.922160109723374,51214.53758333898
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,pro,0.25,24,4.999999886396891,4.39083321068693,4.226720169561514e-09,39.03930003312199,3.630444693715747,1.7705880654542074,39.24770130654504,0.021736661958690034,0.023063042276426606,0.00175510318382813,0.007807860184023836,0.000354117621136614,0.04535399107955299,0.4877055608419191,5130.63985953121
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,pro,0.5,47,4.999999886396891,7.069705520428239,5.2085025041300275e-09,11.42184359529688,2.7969219043949396,1.2934193736306183,11.830224720215234,0.0030868360035211026,0.005561334612540986,0.0010467441332489575,0.0022843687709616545,0.00025868388060358224,0.11324085843402756,0.46244386430604495,1173.6531038607664
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,pro,1.0,93,4.999999886396891,20.04401920761206,8.029076458590045e-09,5.214229303763522,2.0245984790286395,0.8406765292367212,5.656317111011441,0.0014392228931327461,0.004080648216950168,0.0011094702671496526,0.0010428458844468113,0.000168135309667483,0.1612273799753951,0.415231236190625,1590.1458815731576
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,pro,2.0,186,4.999999886396891,39.24000486086281,1.1825545221975497e-08,4.507597293952029,1.1290386221685247,0.7824296351111408,4.712256116627365,0.001087403992248408,0.004925789366821136,0.0007697229068616095,0.0009015194792734888,0.0001564859305776858,0.1735801989589773,0.6930051990678069,7836.865489072327
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,pro,3.0,278,4.999999886396891,58.490440783207816,1.3643231968970213e-08,5.105474016711497,0.7352765525992286,0.6374991781856261,5.197393745552263,0.0007415797282784032,0.005903157691576081,0.0007215312066470251,0.0010210948265422088,0.00012749983853400083,0.12486581580846975,0.867019594099722,12201.407357651164
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,nor,0.25,24,4.999999886396891,5.342815852612441,3759.520040301756,14.727906059206193,2.746804176897883,2.901526064228395,15.260242579212917,0.004150548154775003,0.013591619664721668,0.00820801729438679,0.0029455812787666765,0.0005803052260305746,0.19700872972466407,1.0563279641962857,1262.88316834577
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,nor,0.5,47,4.999999886396891,5.6690536646878575,4412.347025196853,6.135092898846032,1.932303582502381,2.0699129607689892,6.7570482962297955,0.001466979750790371,0.006067232606456167,0.0026882276570023038,0.001227018607647832,0.0004139826015597399,0.3373890167430595,1.0712151959519738,2168.256862893588
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,nor,1.0,93,4.999999886396891,5.505675230397504,4412.347025199456,4.541878340966289,0.899430730141677,1.1322397453166897,4.766508296786725,0.0008995059190561327,0.004792150255664936,0.0009824795629379767,0.0009083756888321182,0.00022644795420837625,0.24928887572884761,1.2588404057957203,7028.407673821095
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,nor,2.0,186,4.999999886396891,5.589230555987895,4412.347025193407,3.567402140861572,0.5803860070102168,0.8618639336126965,3.7156446805122996,0.0006008584290971899,0.00401608373795497,0.000729356196543009,0.0007134804443830337,0.00017237279063895628,0.24159427493210667,1.4849839989293965,32073.178000813856
leo,6771.0,0.0,51.6,5.0,0.0,0.0,5.0,nor,3.0,278,4.999999886396891,5.588388536302753,4412.347025187966,3.416279039264009,0.42686119323695815,0.4958926196743613,3.478373534089432,0.00044156364233148375,0.0037596984583196684,0.0008099796872100556,0.0006832558233767989,9.917852618827004e-05,0.1451557715206995,1.1617186746678156,90113.27243980172
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,pro,0.25,24,4.999999886396891,7.5478194007219495,4.758111374331301e-09,16.78050791869769,3.603084507893567,2.1155666070685144,17.29286806893067,0.0211495224380964,0.005223440530838139,0.0028126658329580235,0.0033561016599922546,0.00042311333102710083,0.12607285889786704,0.5871543124880286,2001.2350417717926
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,pro,0.5,47,4.999999886396891,21.0525534058076,4.578562753522656e-09,7.543893776875028,2.8323279895312807,1.6460010501875442,8.224459533262632,0.0036942447023240424,0.003611106241584438,0.0010792106837205,0.0015087787896553978,0.00032920021751714246,0.21818984981378958,0.5811477541695089,818.4030793873167
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,pro,1.0,93,4.999999886396891,83.52360660344091,7.067938718898645e-09,4.537115117510834,2.0858972858592617,0.9100784289808733,5.075886506177683,0.0014203627852546058,0.0034719776013338657,0.0010006738632699595,0.0009074230441193825,0.00018201568993168432,0.20058526297216,0.43630069186555215,2365.6788563424543
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,pro,2.0,186,4.999999886396891,178.67994077719985,9.506805169546331e-09,4.285516695702925,1.1561818394218362,0.8484841985004041,4.51910779137456,0.0011215892361628114,0.0045689006106765856,0.0006788528111833292,0.0008571033586145062,0.00016969684355569862,0.19798877445773966,0.7338674329331273,20318.711896472407
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,pro,3.0,278,4.999999886396891,274.199873742926,1.4950221365381028e-08,4.81568213941851,0.696770420675967,0.5741144077147595,4.89958068003672,0.0007073806386995819,0.00558693048860229,0.0007731818528446621,0.000963136449766761,0.00011482288415179923,0.11921767074603544,0.8239649541348016,35170.6918841326
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,nor,0.25,24,4.999999886396891,9.58817948595758,18797.616215224218,10.346456380760117,2.8418887623477658,2.9861733101680064,11.137446853515845,0.007734578197511169,0.007083359413717612,0.009581076364296061,0.0020692913231676086,0.0005972346756031445,0.2886179770419738,1.0507706528601222,209.9351247312261
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,nor,0.5,47,4.999999886396891,12.67719341048645,22061.845422466147,5.550847807357616,2.2069420387801535,2.184894407887675,6.360524201400447,0.0017292769472825656,0.00521324442466411,0.0034367401904955666,0.0011101695866952666,0.0004369788915059671,0.3936145402854696,0.9900098731615694,367.71390305051835
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,nor,1.0,93,4.999999886396891,11.150406000860999,22061.845422468905,4.753020720465738,1.109920145317779,1.293842955353446,5.049471090250604,0.001124612542548613,0.0051221870208856615,0.0011707329468375902,0.0009506041656914653,0.00025876859695007264,0.2722148779580042,1.165708146492835,5428.5572414583885
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,nor,2.0,186,4.999999886396891,11.9434827057056,22061.845422465176,4.408829042055888,0.7690497971882481,0.8626342118594434,4.557778943312312,0.0007687926183227854,0.005020322610408405,0.0009180546606434358,0.0008817658284454456,0.00017252684629180592,0.19566061728199538,1.1216883679227962,26534.938586299137
leo,6771.0,0.0,51.6,5.0,0.0,0.0,25.0,nor,3.0,278,4.999999886396891,11.979189258653648,22061.84542245793,4.187445006986925,0.5717571040067344,0.6206368753491691,4.271626388574389,0.000599372360066856,0.004630993317006618,0.0008228046811448198,0.0008374890204256562,0.00012412737789008503,0.14821373756875872,1.0854904486536279,70058.57721468779
leo,6771.0,0.0,51.6,5.0,0.0,0.01,0.0,none,0.25,24,4.999999886396868,5.06877634088106,1181.7266691213867,55206.56886308489,2.7635510639508327,2.9624788978865007,55206.569011740175,0.036493322254249165,62.55855641241424,14.774965861699654,11.041314023482549,0.0005924957930391757,5.366171017136746e-05,1.071982687973667,22183772724.625015
