a_km,e,sep_km,orbits,dv_ms,n_obs,rho0_km,sigma_los_bo_m,sigma_los_rb_m,rel_sigma_bo,bo_over_rb,gain_vs_no_burn,fim_cond_bo
6771.0,0.0,10.0,2.0,1.0,186,9.999999091168714,13.189307258010636,6.380782496900197,0.0013189308456696253,2.067036020177469,inf,1050039879.820408
6771.0,0.0,10.0,2.0,5.0,186,9.999999091168714,9.67486727839487,6.142045861177148,0.0009674868157677157,1.5751864276279832,inf,1168135031.998144
6771.0,0.0,10.0,2.0,25.0,186,9.999999091168714,8.663515921983052,5.5010942067482045,0.0008663516709350555,1.574871397649489,inf,4000399670.5966854
6771.0,0.0,10.0,3.0,0.0,278,9.999999091168714,inf,5.581051991567391,inf,inf,nan,2.8363692122114376e+16
6771.0,0.0,10.0,3.0,1.0,278,9.999999091168714,13.667581351323651,5.6737702503240115,0.0013667582593476317,2.408906379412021,inf,879096640.8961643
6771.0,0.0,10.0,3.0,5.0,278,9.999999091168714,10.74658221013492,5.315100625765721,0.0010746583186818021,2.0218962850937015,inf,1304166890.158166
6771.0,0.0,10.0,3.0,25.0,278,9.999999091168714,9.878227442048965,4.3720070269982125,0.0009878228339813262,2.2594262500148092,inf,5380390091.303718
6771.0,0.0,50.0,0.25,0.0,24,49.99988639620264,inf,19.055511872040512,inf,inf,nan,1.9825335040487904e+16
6771.0,0.0,50.0,0.25,1.0,24,49.99988639620264,19436.290439072673,19.041910001307407,0.3887266919980204,1020.7111806398722,inf,3979766151832.6846
6771.0,0.0,50.0,0.25,5.0,24,49.99988639620264,3848.267183950297,18.988522249428875,0.0769655185505094,202.66280510933612,inf,156468015397.12506
6771.0,0.0,50.0,0.25,25.0,24,49.99988639620264,756.7559015714149,18.792386798428584,0.01513515241964407,40.26928083635947,inf,5418932805.803823
6771.0,0.0,50.0,0.5,0.0,47,49.99988639620264,inf,15.675128634740991,inf,inf,nan,8.40512047680252e+16
6771.0,0.0,50.0,0.5,1.0,47,49.99988639620264,3426.8158150915037,15.673256213465445,0.06853647202189966,218.64096193025964,inf,966336511459.9655
6771.0,0.0,50.0,0.5,5.0,47,49.99988639620264,708.4258374743844,15.662761007569149,0.014168548941506945,45.229946184585984,inf,27375592250.66479
6771.0,0.0,50.0,0.5,25.0,47,49.99988639620264,178.77733565483445,15.596849700050548,0.0035755548370288324,11.462400362443388,inf,783978761.2946913
6771.0,0.0,50.0,1.0,0.0,93,49.99988639620264,222551.3389691397,13.696611203956877,4.451036892476658,16248.642503982725,1.0,7713443278239247.0
6771.0,0.0,50.0,1.0,1.0,93,49.99988639620264,526.8566163595575,13.843452425400962,0.01053715626841046,38.05818087638623,422.41348415990615,40656164302.87592
6771.0,0.0,50.0,1.0,5.0,93,49.99988639620264,142.3202764257726,14.053588781874147,0.0028464119957796836,10.126970315890597,1563.735994324124,2422034978.4863524
6771.0,0.0,50.0,1.0,25.0,93,49.99988639620264,65.22014674597915,14.187641012246003,0.0013044058986288508,4.596969058470302,3412.309693750575,527282078.80836344
6771.0,0.0,50.0,2.0,0.0,186,49.99988639620264,55102.05230011601,8.854255687959975,1.102043549928963,6223.228043328795,1.0,1171996851850947.2
6771.0,0.0,50.0,2.0,1.0,186,49.99988639620264,195.62863083104648,8.909689981013079,0.0039125815063032615,21.956839266903703,281.6666050671518,9786865207.663254
6771.0,0.0,50.0,2.0,5.0,186,49.99988639620264,68.09400189886169,9.010515819901276,0.0013618831322791416,7.557170228641557,809.2056680991918,1128078806.3797014
6771.0,0.0,50.0,2.0,25.0,186,49.99988639620264,49.051972428842404,9.238677989409522,0.000981041677578047,5.309414667885561,1123.3401955456573,1194274208.4619906
6771.0,0.0,50.0,3.0,0.0,278,49.99988639620264,29289.473244169676,7.147777240577299,0.5857907958445708,4097.703699815367,1.0,448539830061854.25
6771.0,0.0,50.0,3.0,1.0,278,49.99988639620264,179.55431226456787,7.197356785036962,0.0035910944045305783,24.94725739286048,163.12319584401024,8228944181.205618
6771.0,0.0,50.0,3.0,5.0,278,49.99988639620264,70.69196990514259,7.243905621453178,0.0014138426104606402,9.758819841024003,414.3253227130536,944530865.2133425
6771.0,0.0,50.0,3.0,25.0,278,49.99988639620264,54.6278912504639,7.245053906281125,0.0010925603073892733,7.5400255066569,536.163351242685,1337464032.473575
6771.0,0.0,200.0,0.25,0.0,24,199.9927294313195,inf,25.634463907520047,inf,inf,nan,1.1859288719473862e+16
6771.0,0.0,200.0,0.25,1.0,24,199.9927294313195,324911.01571971853,25.629153996968686,1.6246141379419385,12677.399174321077,inf,69371148464273.21
6771.0,0.0,200.0,0.25,5.0,24,199.9927294313195,66558.49233301436,25.608106556127314,0.3328045600571272,2599.1180639276413,inf,2946255630812.094
6771.0,0.0,200.0,0.25,25.0,24,199.9927294313195,13210.687863887,25.507717863840014,0.0660558406370655,517.9094395823861,inf,116205316168.02798
6771.0,0.0,200.0,0.5,0.0,47,199.9927294313195,803032.615843864,23.355723919805136,4.015309047120322,34382.690024988275,1.0,4691059548011409.0
6771.0,0.0,200.0,0.5,1.0,47,199.9927294313195,57834.15668024325,23.361024794543283,0.28918129596358333,2475.6686484812203,13.885092511743814,19461414161297.766
6771.0,0.0,200.0,0.5,5.0,47,199.9927294313195,12293.962812580778,23.379725641389353,0.0614720487466656,525.83862621624,65.31926508042605,781223330521.4756
6771.0,0.0,200.0,0.5,25.0,47,199.9927294313195,2589.4117159895995,23.43950331212984,0.012947529259451614,110.47212398266095,310.1216430300146,21350189767.82536
6771.0,0.0,200.0,1.0,0.0,93,199.9927294313195,58557.07735556984,16.22018802864935,0.2927960307461038,3610.135545416724,1.0,40746950661074.48
6771.0,0.0,200.0,1.0,1.0,93,199.9927294313195,8495.065988090602,16.216670934028873,0.04247687409560524,523.8477134209251,6.893069157751351,801943925972.2472
6771.0,0.0,200.0,1.0,5.0,93,199.9927294313195,2053.054934039816,16.20569358366112,0.010265647855688002,126.6872610814846,28.521924272306983,39394310935.289856
6771.0,0.0,200.0,1.0,25.0,93,199.9927294313195,588.6162678945993,16.197297379405885,0.0029431883327375604,36.340400136321364,99.48260105861596,2527571475.12247
6771.0,0.0,200.0,2.0,0.0,186,199.9927294313195,15213.67204304122,9.286628877975625,0.0760711256169231,1638.2340936572045,1.0,6016820007330.017
6771.0,0.0,200.0,2.0,1.0,186,199.9927294313195,3111.0919860625568,9.289464626979658,0.015556025436069425,334.90541285091103,4.890138932309702,222804675745.96332
6771.0,0.0,200.0,2.0,5.0,186,199.9927294313195,757.4715355052903,9.301793930240706,0.003787495363752297,81.43284415737308,20.0848102270834,9959046047.710691
6771.0,0.0,200.0,2.0,25.0,186,199.9927294313195,282.3598085268283,9.372929968813272,0.0014118503674094556,30.12503128331583,53.88044467949021,1325140958.439342
6771.0,0.0,200.0,3.0,0.0,278,199.9927294313195,8455.87654303249,7.4240224783441855,0.042280919746816914,1138.9885426260782,1.0,3052710094969.0903
6771.0,0.0,200.0,3.0,1.0,278,199.9927294313195,2860.620865813478,7.425523117163681,0.01430362430648189,385.24166185696913,2.955958492817566,268516314834.07092
6771.0,0.0,200.0,3.0,5.0,278,199.9927294313195,749.8741313847021,7.429192676918162,0.0037495069621629423,100.93615336084821,11.276394516261073,10156420800.105904
