rho_km,rho_over_r,arc_min,burn_dir,dv_ms,sigma_drift_m,sigma_drift_rel,sigma_burn_m,sigma_burn_rel,info_gain
499.4021227599959,0.07382530404135924,360.0,radial,1.0,3361.8191709638345,0.006731687787757896,3385.876147527044,0.006779859342236392,0.9858402895147566
499.4021227599959,0.07382530404135924,360.0,prograde,1.0,3361.8191709638345,0.006731687787757896,3539.0693845327996,0.007086612617851477,0.9023406955875395
998.1273459264551,0.14754934084694588,90.0,radial,1.0,16593.550329817208,0.016624682609427146,16807.07930533959,0.01683861220107077,0.9747520005822269
998.1273459264551,0.14754934084694588,90.0,prograde,1.0,16593.550329817208,0.016624682609427146,17041.893292006214,0.01707386673810449,0.9480755585423303
998.1273459264551,0.14754934084694588,180.0,radial,1.0,4940.261826926112,0.0049495305855392574,4988.177303245417,0.00499753595931732,0.9808806544059296
998.1273459264551,0.14754934084694588,180.0,prograde,1.0,4940.261826926112,0.0049495305855392574,5097.879765853512,0.0051074442421189204,0.939119279318044
998.1273459264551,0.14754934084694588,360.0,radial,1.0,2347.627446741189,0.002352031989026548,2350.6455684746147,0.002355055773261839,0.9974337397279038
998.1273459264551,0.14754934084694588,360.0,prograde,1.0,2347.627446741189,0.002352031989026548,2388.7485905849603,0.002393230283023395,0.9658673133118422
1990.8465283842766,0.29428968142647394,90.0,radial,1.0,10805.143057505118,0.005427411356652546,10816.557209780105,0.005433144672662721,0.9978906171950938
1990.8465283842766,0.29428968142647394,90.0,prograde,1.0,10805.143057505118,0.005427411356652546,10881.611692492124,0.005465821467073798,0.9859947309058322
1990.8465283842766,0.29428968142647394,180.0,radial,1.0,3610.6084094317393,0.0018136045938016239,3616.4228384093226,0.0018165251750190531,0.9967870157542584
1990.8465283842766,0.29428968142647394,180.0,prograde,1.0,3610.6084094317393,0.0018136045938016239,3638.7767138900645,0.0018277535018448702,0.9845776318935708
1990.8465283842766,0.29428968142647394,360.0,radial,1.0,1919.4644281994185,0.0009641448503603187,1920.0578450252087,0.0009644429229728128,0.9993819716150258
1990.8465283842766,0.29428968142647394,360.0,prograde,1.0,1919.4644281994185,0.0009641448503603187,1927.9321194325018,0.0009683981622617417,0.9912350692958399
4883.06086890575,0.7216641851765864,90.0,radial,1.0,7702.614071174114,0.0015774151250545852,7703.600338960335,0.001577617102423432,0.9997439626646133
4883.06086890575,0.7216641851765864,90.0,prograde,1.0,7702.614071174114,0.0015774151250545852,7712.518664626072,0.0015794434826192079,0.9974332033336246
4883.06086890575,0.7216641851765864,180.0,radial,1.0,2913.2070817831136,0.0005965944640038734,2913.7440949218644,0.0005967044387007219,0.9996314270336952
4883.06086890575,0.7216641851765864,180.0,prograde,1.0,2913.2070817831136,0.0005965944640038734,2916.877574279339,0.0005973461426322514,0.9974848563261353
4883.06086890575,0.7216641851765864,360.0,radial,1.0,1698.63831097484,0.00034786343168306436,1698.7832023528965,0.00034789310392798335,0.9998294247331019
4883.06086890575,0.7216641851765864,360.0,prograde,1.0,1698.63831097484,0.00034786343168306436,1700.3586470749246,0.0003482157385959352,0.9979775257074043
9110.909708849473,1.3456261874214746,90.0,radial,1.0,5961.9031763847615,0.0006543696916010412,5962.258461203567,0.0006544086871382773,0.999880825618148
9110.909708849473,1.3456261874214746,90.0,prograde,1.0,5961.9031763847615,0.0006543696916010412,5964.914990997445,0.0006547002639268495,0.9989904116816241
9110.909708849473,1.3456261874214746,180.0,radial,1.0,2378.223550873888,0.0002610303061794046,2378.322016886519,0.0002610411136635942,0.9999171987866965
9110.909708849473,1.3456261874214746,180.0,prograde,1.0,2378.223550873888,0.0002610303061794046,2379.0313839134146,0.00026111897274128944,0.9993209876174463
9110.909708849473,1.3456261874214746,360.0,radial,1.0,1432.9153210865038,0.00015727467035423542,1432.9566036376048,0.00015727920146610242,0.99994238212611
9110.909708849473,1.3456261874214746,360.0,prograde,1.0,1432.9153210865038,0.00015727467035423542,1433.4215882795406,0.0001573302374939849,0.9992937488964218
