gap_deg,e,seed,cap,burn_action,n_burn,decisions,sim_steps,cause,success,a0_km,da_final_km,min_d_km,relv_at_min,dwell_decisions,probe
20,0.0,2,2000,5,1,35,2000,safety_cap,0,300.00782012939453,-17.204642295837402,nan,nan,0,oneburn_warp60
20,0.0,3,2000,5,1,35,2000,safety_cap,0,300.0117301940918,-17.204642295837402,nan,nan,0,oneburn_warp60
20,0.0,4,2000,5,1,35,2000,safety_cap,0,300.015664100647,-17.204689979553223,nan,nan,0,oneburn_warp60
20,0.0,5,2000,5,1,35,2000,safety_cap,0,300.01957416534424,-17.204689979553223,nan,nan,0,oneburn_warp60
20,0.0,6,2000,5,1,35,2000,safety_cap,0,300.0234842300415,-17.204713821411133,nan,nan,0,oneburn_warp60
20,0.0,7,2000,5,1,35,2000,safety_cap,0,300.02739429473877,-17.204713821411133,nan,nan,0,oneburn_warp60
20,0.0,0,3000,5,1,24,1328,success,1,421.28915786743164,-17.675447463989258,nan,nan,0,oneburn_warp60
20,0.0,1,3000,5,1,51,3000,safety_cap,0,300.00391006469727,-17.204618453979492,nan,nan,0,oneburn_warp60
20,0.0,2,3000,5,1,51,3000,safety_cap,0,300.00782012939453,-17.204642295837402,nan,nan,0,oneburn_warp60
20,0.0,3,3000,5,1,51,3000,safety_cap,0,300.0117301940918,-17.204642295837402,nan,nan,0,oneburn_warp60
20,0.0,4,3000,5,1,51,3000,safety_cap,0,300.015664100647,-17.204689979553223,nan,nan,0,oneburn_warp60
20,0.0,5,3000,5,1,51,3000,safety_cap,0,300.01957416534424,-17.204689979553223,nan,nan,0,oneburn_warp60
20,0.0,6,3000,5,1,51,3000,safety_cap,0,300.0234842300415,-17.204713821411133,nan,nan,0,oneburn_warp60
20,0.0,7,3000,5,1,51,3000,safety_cap,0,300.02739429473877,-17.204713821411133,nan,nan,0,oneburn_warp60
20,0.0,0,2000,6,1,35,2000,safety_cap,0,421.28915786743164,-43.9739465713501,nan,nan,0,oneburn_warp60
20,0.0,1,2000,6,1,35,2000,safety_cap,0,300.00391006469727,-42.804503440856934,nan,nan,0,oneburn_warp60
20,0.0,2,2000,6,1,35,2000,safety_cap,0,300.00782012939453,-42.804527282714844,nan,nan,0,oneburn_warp60
