file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000144.npz,1,1,-163.79,-62.4,0.0269,0.0456,1056,310.0,33.0,158.3,15,0.985,29.76,36.6
ep_0000145.npz,1,1,-62.96,-202.9,0.0192,0.0079,438,195.0,109.3,109.3,9,0.979,29.44,21.34
ep_0000146.npz,1,1,150.18,-81.4,0.0045,0.0492,966,310.0,44.3,170.2,13,0.986,29.65,25.98
ep_0000147.npz,1,1,24.9,-237.5,0.0379,0.0207,724,350.0,126.7,218.5,16,0.977,28.91,23.14
ep_0000148.npz,1,1,-72.93,-255.5,0.0353,0.0241,571,295.0,141.6,222.1,13,0.977,28.26,33.32
ep_0000149.npz,1,1,-19.11,234.0,0.0224,0.0129,591,225.0,130.0,130.0,11,0.98,28.89,32.26
ep_0000150.npz,1,1,165.14,96.1,0.01,0.011,1208,205.0,53.9,53.9,10,0.991,29.44,40.37
ep_0000151.npz,1,1,-70.06,146.7,0.0158,0.0205,1021,225.0,80.3,80.3,11,0.989,29.49,32.22
ep_0000152.npz,1,1,-17.27,-309.0,0.0201,0.0144,267,160.0,166.0,166.0,7,0.97,29.01,40.01
ep_0000153.npz,1,1,-111.44,236.4,0.0103,0.0269,968,310.0,128.4,138.4,13,0.987,25.03,47.34
ep_0000154.npz,1,1,-22.73,-227.2,0.0042,0.0001,431,140.0,127.1,127.1,7,0.981,29.34,25.18
ep_0000155.npz,1,1,-56.28,262.8,0.0269,0.0131,717,300.0,143.3,144.1,12,0.983,28.23,30.86
ep_0000156.npz,1,1,30.04,-247.5,0.0356,0.0086,840,205.0,137.5,137.5,10,0.987,27.73,38.18
ep_0000157.npz,1,1,47.26,-104.3,0.0112,0.0266,758,200.0,57.0,133.6,8,0.989,28.93,31.98
ep_0000158.npz,1,1,91.58,-255.9,0.0092,0.0027,922,275.0,140.7,140.7,11,0.987,29.74,41.25
ep_0000159.npz,1,1,-45.17,-218.4,0.0277,0.0158,433,210.0,116.7,141.5,9,0.979,28.2,36.02
ep_0000160.npz,1,1,-19.52,-271.4,0.005,0.0057,261,160.0,145.3,145.3,7,0.969,29.6,43.04
ep_0000161.npz,1,1,33.25,106.1,0.0025,0.0459,480,220.0,56.5,182.1,10,0.977,29.5,36.38
ep_0000162.npz,1,1,143.02,240.8,0.01,0.0284,757,220.0,132.4,139.5,10,0.987,28.91,21.95
ep_0000163.npz,1,1,71.69,179.4,0.0036,0.0385,486,210.0,99.0,153.2,9,0.982,29.45,25.65
ep_0000164.npz,1,1,99.02,-186.1,0.0268,0.0225,835,285.0,100.8,144.0,12,0.984,29.54,22.62
ep_0000165.npz,1,1,-106.71,292.3,0.0165,0.0382,1038,250.0,163.3,195.4,10,0.989,29.8,19.17
ep_0000166.npz,1,1,83.2,76.1,0.0182,0.034,797,195.0,40.6,127.0,9,0.989,28.72,35.51
ep_0000167.npz,1,1,128.81,-159.2,0.0461,0.0228,853,370.0,86.3,155.0,16,0.98,28.59,36.79
ep_0000168.npz,1,1,87.66,-118.3,0.0266,0.0331,781,340.0,65.4,219.8,15,0.98,29.83,26.53
