cap,gap_deg,action,n_burn,dv,n_seeds,successes,rate
2000,150,6,1,25,8,0,0.0
2000,150,6,2,50,8,0,0.0
2000,150,6,3,75,8,0,0.0
2000,150,6,4,100,8,0,0.0
2000,150,6,6,150,8,0,0.0
2000,150,13,1,1,8,0,0.0
2000,150,15,1,2,8,0,0.0
2000,150,15,2,4,8,0,0.0
2000,160,4,1,5,8,0,0.0
2000,160,4,2,10,8,0,0.0
2000,160,5,1,10,8,0,0.0
2000,160,5,2,20,8,0,0.0
2000,160,5,3,30,8,0,0.0
2000,160,6,1,25,8,0,0.0
2000,160,6,2,50,8,0,0.0
2000,160,6,3,75,8,0,0.0
2000,160,6,4,100,8,0,0.0
2000,160,6,6,150,8,0,0.0
2000,160,13,1,1,8,0,0.0
2000,160,15,1,2,8,0,0.0
2000,160,15,2,4,8,0,0.0
2000,170,4,1,5,8,0,0.0
2000,170,4,2,10,8,0,0.0
2000,170,5,1,10,8,0,0.0
2000,170,5,2,20,8,0,0.0
2000,170,5,3,30,8,0,0.0
2000,170,6,1,25,8,0,0.0
2000,170,6,2,50,8,0,0.0
2000,170,6,3,75,8,0,0.0
2000,170,6,4,100,8,0,0.0
2000,170,6,6,150,8,0,0.0
2000,170,13,1,1,8,0,0.0
2000,170,15,1,2,8,0,0.0
2000,170,15,2,4,8,0,0.0
2000,180,4,1,5,8,0,0.0
2000,180,4,2,10,8,0,0.0
2000,180,5,1,10,8,0,0.0
2000,180,5,2,20,8,0,0.0
2000,180,5,3,30,8,0,0.0
2000,180,6,1,25,8,0,0.0
2000,180,6,2,50,8,0,0.0
2000,180,6,3,75,8,0,0.0
2000,180,6,4,100,8,0,0.0
2000,180,6,6,150,8,0,0.0
2000,180,13,1,1,8,0,0.0
2000,180,15,1,2,8,0,0.0
2000,180,15,2,4,8,0,0.0
3000,0,4,1,5,8,8,1.0
3000,0,4,2,10,8,8,1.0
3000,0,5,1,10,8,8,1.0
3000,0,5,2,20,8,8,1.0
3000,0,5,3,30,8,8,1.0
3000,0,6,1,25,8,8,1.0
3000,0,6,2,50,8,8,1.0
3000,0,6,3,75,8,8,1.0
3000,0,6,4,100,8,8,1.0
3000,0,6,6,150,8,8,1.0
3000,0,13,1,1,8,8,1.0
3000,0,15,1,2,8,8,1.0
3000,0,15,2,4,8,8,1.0
3000,10,4,1,5,8,8,1.0
3000,10,4,2,10,8,8,1.0
3000,10,5,1,10,8,8,1.0
3000,10,5,2,20,8,0,0.0
3000,10,5,3,30,8,0,0.0
3000,10,6,1,25,8,0,0.0
3000,10,6,2,50,8,0,0.0
3000,10,6,3,75,8,0,0.0
3000,10,6,4,100,8,0,0.0
3000,10,6,6,150,8,0,0.0
3000,10,13,1,1,8,0,0.0
3000,10,15,1,2,8,0,0.0
3000,10,15,2,4,8,8,1.0
3000,20,4,1,5,8,8,1.0
3000,20,4,2,10,8,1,0.125
3000,20,5,1,10,8,1,0.125
3000,20,5,2,20,8,0,0.0
3000,20,5,3,30,8,0,0.0
3000,20,6,1,25,8,0,0.0
3000,20,6,2,50,8,0,0.0
3000,20,6,3,75,8,0,0.0
3000,20,6,4,100,8,0,0.0
3000,20,6,6,150,8,0,0.0
3000,20,13,1,1,8,0,0.0
3000,20,15,1,2,8,0,0.0
3000,20,15,2,4,8,0,0.0
3000,30,4,1,5,8,0,0.0
3000,30,4,2,10,8,0,0.0
3000,30,5,1,10,8,0,0.0
3000,30,5,2,20,8,0,0.0
3000,30,5,3,30,8,0,0.0
3000,30,6,1,25,8,0,0.0
3000,30,6,2,50,8,0,0.0
3000,30,6,3,75,8,0,0.0
3000,30,6,4,100,8,0,0.0
3000,30,6,6,150,8,0,0.0
3000,30,13,1,1,8,0,0.0
3000,30,15,1,2,8,0,0.0
3000,30,15,2,4,8,0,0.0
3000,40,4,1,5,8,0,0.0
3000,40,4,2,10,8,7,0.875
3000,40,5,1,10,8,7,0.875
3000,40,5,2,20,8,0,0.0
3000,40,5,3,30,8,0,0.0
3000,40,6,1,25,8,0,0.0
3000,40,6,2,50,8,0,0.0
3000,40,6,3,75,8,0,0.0
3000,40,6,4,100,8,0,0.0
3000,40,6,6,150,8,0,0.0
3000,40,13,1,1,8,0,0.0
