rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90,e_max,band
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.9828,0.996,1.0,0.9828,0.996,0.0260786445260859,0.0500854667591154,0.0,253.39746163956022,381.4721400447992,208.7721350522397,322.868311785816,103.46992853928344,0.7078351699056511,5317.040792776524,0.03,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.997,1.0,1.0,0.997,1.0,0.021381706669863606,0.02850713326864552,0.0,227.3602652703385,341.67675589530324,188.07983945283644,293.1055699172819,103.33250178090795,0.7078351699056511,5317.040792776524,0.03,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.9548,0.988,1.0,0.9548,0.988,0.03437644913068581,0.06654235904881552,0.0,277.5496558658627,419.67182016165214,230.15744713899522,361.72200306191553,101.94759466774038,0.702321382332287,5360.150834530112,0.04,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9928,0.9998,1.0,0.9928,0.9998,0.028586693107981304,0.03792467321273508,0.0,246.37186735046632,362.0369835705208,201.77756109117172,310.3499151654812,102.05576043062287,0.702321382332287,5360.150834530112,0.04,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.9118,0.968,1.0,0.9118,0.968,0.04317331185495572,0.08270383141368128,0.0,303.2752406152189,466.0038371970251,253.55320609165398,404.7905172325939,101.31411547224614,0.7021880774755398,5360.150834530112,0.05,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9828,0.9988,1.0,0.9828,0.9988,0.03537107006611691,0.04739051910815724,0.0,267.5303700983817,386.3776972184759,219.64594316639395,332.2000122796975,101.48631604321577,0.7021880774755398,5360.150834530112,0.05,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.8548,0.932,1.0,0.8548,0.932,0.051581108744368095,0.09865098083613238,0.0,328.6286254641575,509.52154828869396,277.24761220388814,448.5672588272121,101.44950205785996,0.7040636405343805,5370.416422140006,0.06,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9666,0.995,1.0,0.9666,0.995,0.04203234141731024,0.05691458831643427,0.0,288.64330447429916,412.19886487042334,239.1480998514578,352.60799182167983,101.44560283194188,0.7040636405343805,5370.416422140006,0.06,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",realized,1.0,5000,0.7218,0.8282,1.0,0.7218,0.8282,0.06911112971902007,0.13370743016455108,0.0,384.261419750707,603.4959153439653,328.9333903016097,541.3493578568037,99.98031738884326,0.7002707335182368,5389.239997323765,0.08,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
"WIDE-a band 300-8000 (W4 band, da600, cap6000)",intended,1.0,5000,0.9232,0.9762,1.0,0.9232,0.9762,0.05684182277645535,0.0759657720070659,0.0,331.30690493378097,459.9446529627928,278.95070601008,397.1207003474952,100.13599600646589,0.7002707335182368,5389.239997323765,0.08,"WIDE-a band 300-8000 (W4 band, da600, cap6000)"
