alt_km,i_deg,da_km,horizon_steps,horizon_days,RAAN_rate_deg_per_day,argp_rate_deg_per_day,dRAAN_rate_deg_per_day,dlambda_rate_deg_per_day,dRAAN_available_deg,theta_equiv_deg,dv_equiv_saved_ms,frac_of_budget
400.0,28.5,400.0,12000,8.333333333333334,-7.103590584517846,5.782664386773784,1.292819824742049,-462.7435269961364,10.773498539517076,5.14066920677467,688.1669771775879,1.4392887975830242
400.0,28.5,600.0,3000,2.0833333333333335,-7.103590584517846,5.782664386773784,1.8261867046385754,-670.7902915710928,3.804555634663699,1.8153770499748385,243.09080012762035,0.50842001581382
400.0,28.5,600.0,6000,4.166666666666667,-7.103590584517846,5.782664386773784,1.8261867046385754,-670.7902915710928,7.609111269327398,3.630754099949677,486.1205921038731,1.0167124341814726
400.0,28.5,600.0,12000,8.333333333333334,-7.103590584517846,5.782664386773784,1.8261867046385754,-670.7902915710928,15.218222538654796,7.261508199899354,971.7532108597347,2.032404280923262
400.0,51.6,50.0,3000,2.0833333333333335,-5.020816572647208,1.8775545146058734,0.12763839349675818,-61.5661039645416,0.2659133197849129,0.20839452893123003,27.906535407215177,0.058366014532827144
400.0,51.6,50.0,6000,4.166666666666667,-5.020816572647208,1.8775545146058734,0.12763839349675818,-61.5661039645416,0.5318266395698258,0.41678905786246007,55.81297852049328,0.11673183603455266
400.0,51.6,50.0,12000,8.333333333333334,-5.020816572647208,1.8775545146058734,0.12763839349675818,-61.5661039645416,1.0636532791396516,0.8335781157249201,111.6252186913214,0.2334621278241226
400.0,51.6,100.0,3000,2.0833333333333335,-5.020816572647208,1.8775545146058734,0.251135026105713,-122.01421515830866,0.5231979710535687,0.4100268268008359,54.907439793269624,0.1148379181496579
400.0,51.6,100.0,6000,4.166666666666667,-5.020816572647208,1.8775545146058734,0.251135026105713,-122.01421515830866,1.0463959421071374,0.8200536536016718,109.81417659512823,0.22967436600548272
400.0,51.6,100.0,12000,8.333333333333334,-5.020816572647208,1.8775545146058734,0.251135026105713,-122.01421515830866,2.0927918842142748,1.6401073072033436,219.6227293129715,0.45933696977324745
400.0,51.6,200.0,3000,2.0833333333333335,-5.020816572647208,1.8775545146058734,0.48634781324429444,-239.66842054897197,1.0132246109256136,0.7940574983839229,106.33306297930194,0.22239367978173857
400.0,51.6,200.0,6000,4.166666666666667,-5.020816572647208,1.8775545146058734,0.48634781324429444,-239.66842054897197,2.026449221851227,1.5881149967678458,212.66102014174976,0.4447766808397889
400.0,51.6,200.0,12000,8.333333333333334,-5.020816572647208,1.8775545146058734,0.48634781324429444,-239.66842054897197,4.052898443702454,3.1762299935356917,425.2811952196573,0.8894679349666226
400.0,51.6,400.0,3000,2.0833333333333335,-5.020816572647208,1.8775545146058734,0.913764824180434,-462.7435269961364,1.903676717042571,1.491898988009797,199.77769541826294,0.41783143998241795
400.0,51.6,400.0,6000,4.166666666666667,-5.020816572647208,1.8775545146058734,0.913764824180434,-462.7435269961364,3.807353434085142,2.983797976019594,399.5215286929326,0.8355920579033997
400.0,51.6,400.0,12000,8.333333333333334,-5.020816572647208,1.8775545146058734,0.913764824180434,-462.7435269961364,7.614706868170284,5.967595952039188,798.7721946737672,1.6706176113389386
400.0,51.6,600.0,3000,2.0833333333333335,-5.020816572647208,1.8775545146058734,1.290748440849183,-670.7902915710928,2.689059251769131,2.107398141972986,282.1902215733902,0.5901957492407258
400.0,51.6,600.0,6000,4.166666666666667,-5.020816572647208,1.8775545146058734,1.290748440849183,-670.7902915710928,5.378118503538262,4.214796283945972,564.2850059554619,1.18019189332036
400.0,51.6,600.0,12000,8.333333333333334,-5.020816572647208,1.8775545146058734,1.290748440849183,-670.7902915710928,10.756237007076525,8.429592567891945,1127.8067080315386,2.3587873503698944
400.0,63.4,50.0,3000,2.0833333333333335,-3.619293701358806,0.0049327359266952,0.09200910388781856,-61.5661039645416,0.19168563309962203,0.17139652097726366,22.95206097255149,0.04800382078012876
400.0,63.4,50.0,6000,4.166666666666667,-3.619293701358806,0.0049327359266952,0.09200910388781856,-61.5661039645416,0.38337126619924405,0.3427930419545273,45.904070597478494,0.09600753416762876
400.0,63.4,50.0,12000,8.333333333333334,-3.619293701358806,0.0049327359266952,0.09200910388781856,-61.5661039645416,0.7667425323984881,0.6855860839090546,91.80773041465032,0.19201420919566894
400.0,63.4,100.0,3000,2.0833333333333335,-3.619293701358806,0.0049327359266952,0.18103258803094613,-122.01421515830866,0.37715122506447113,0.33723136582055496,45.1592980976387,0.09444985594226007
400.0,63.4,100.0,6000,4.166666666666667,-3.619293701358806,0.0049327359266952,0.18103258803094613,-122.01421515830866,0.7543024501289423,0.6744627316411099,90.31820508652353,0.1888988938876288
400.0,63.4,100.0,12000,8.333333333333334,-3.619293701358806,0.0049327359266952,0.18103258803094613,-122.01421515830866,1.5086049002578845,1.3489254632822198,180.63328132333973,0.377791243842633
400.0,63.4,200.0,3000,2.0833333333333335,-3.619293701358806,0.0049327359266952,0.3505875093573925,-239.66842054897197,0.7303906444945678,0.6530818893226545,87.45509944594859,0.18291076017671276
400.0,63.4,200.0,6000,4.166666666666667,-3.619293701358806,0.0049327359266952,0.3505875093573925,-239.66842054897197,1.4607812889891356,1.306163778645309,174.90735826635876,0.3658155792364421
400.0,63.4,200.0,12000,8.333333333333334,-3.619293701358806,0.0049327359266952,0.3505875093573925,-239.66842054897197,2.9215625779782712,2.612327557290618,349.79199208200475,0.7315836306948494
400.0,63.4,400.0,3000,2.0833333333333335,-3.619293701358806,0.0049327359266952,0.6586943029738649,-462.7435269961364,1.3722797978622185,1.2270297953875744,164.31100723848323,0.34365350253780547
400.0,63.4,400.0,6000,4.166666666666667,-3.619293701358806,0.0049327359266952,0.6586943029738649,-462.7435269961364,2.744559595724437,2.454059590775149,328.6031750595197,0.6872676027744494
400.0,63.4,400.0,12000,8.333333333333334,-3.619293701358806,0.0049327359266952,0.6586943029738649,-462.7435269961364,5.489119191448874,4.908119181550298,657.0556477396509,1.3742200142456014
400.0,63.4,600.0,3000,2.0833333333333335,-3.619293701358806,0.0049327359266952,0.9304458018750252,-670.7902915710928,1.9384287539063028,1.7332542831165774,232.09488574959366,0.48542225958845586
400.0,63.4,600.0,6000,4.166666666666667,-3.619293701358806,0.0049327359266952,0.9304458018750252,-670.7902915710928,3.8768575078126055,3.4665085662331547,464.13667369043236,0.9707334660693786
400.0,63.4,600.0,12000,8.333333333333334,-3.619293701358806,0.0049327359266952,0.9304458018750252,-670.7902915710928,7.753715015625211,6.9330171324663095,927.8486377931666,1.940578659710593
400.0,90.0,50.0,3000,2.0833333333333335,-4.949487980173897e-16,-2.0207818219995852,1.2582508946106156e-17,-61.5661039645416,2.6213560304387827e-17,2.6213560304387824e-17,3.5103131342315014e-15,7.341756488853065e-18
400.0,90.0,50.0,6000,4.166666666666667,-4.949487980173897e-16,-2.0207818219995852,1.2582508946106156e-17,-61.5661039645416,5.2427120608775655e-17,5.242712060877565e-17,7.020626268463003e-15,1.468351297770613e-17
400.0,90.0,50.0,12000,8.333333333333334,-4.949487980173897e-16,-2.0207818219995852,1.2582508946106156e-17,-61.5661039645416,1.0485424121755131e-16,1.048542412175513e-16,1.4041252536926006e-14,2.936702595541226e-17
400.0,90.0,100.0,3000,2.0833333333333335,-4.949487980173897e-16,-2.0207818219995852,2.4756725825885394e-17,-122.01421515830866,5.157651213726124e-17,5.157651213726125e-17,6.90671949445086e-15,1.4445279018156235e-17
400.0,90.0,100.0,6000,4.166666666666667,-4.949487980173897e-16,-2.0207818219995852,2.4756725825885394e-17,-122.01421515830866,1.0315302427452249e-16,1.031530242745225e-16,1.381343898890172e-14,2.889055803631247e-17
400.0,90.0,100.0,12000,8.333333333333334,-4.949487980173897e-16,-2.0207818219995852,2.4756725825885394e-17,-122.01421515830866,2.0630604854904497e-16,2.06306048549045e-16,2.762687797780344e-14,5.778111607262494e-17
400.0,90.0,200.0,3000,2.0833333333333335,-4.949487980173897e-16,-2.0207818219995852,4.7943847798592665e-17,-239.66842054897197,9.988301624706806e-17,9.988301624706807e-17,1.337554531881165e-14,2.797471133806192e-17
400.0,90.0,200.0,6000,4.166666666666667,-4.949487980173897e-16,-2.0207818219995852,4.7943847798592665e-17,-239.66842054897197,1.9976603249413612e-16,1.9976603249413614e-16,2.67510906376233e-14,5.594942267612384e-17
400.0,90.0,200.0,12000,8.333333333333334,-4.949487980173897e-16,-2.0207818219995852,4.7943847798592665e-17,-239.66842054897197,3.9953206498827223e-16,3.995320649882723e-16,5.35021812752466e-14,1.1189884535224768e-16
400.0,90.0,400.0,3000,2.0833333333333335,-4.949487980173897e-16,-2.0207818219995852,9.007833583536416e-17,-462.7435269961364,1.876631996570087e-16,1.876631996570087e-16,2.5130374772389788e-14,5.255972473033924e-17
400.0,90.0,400.0,6000,4.166666666666667,-4.949487980173897e-16,-2.0207818219995852,9.007833583536416e-17,-462.7435269961364,3.753263993140174e-16,3.753263993140174e-16,5.0260749544779575e-14,1.0511944946067847e-16
400.0,90.0,400.0,12000,8.333333333333334,-4.949487980173897e-16,-2.0207818219995852,9.007833583536416e-17,-462.7435269961364,7.506527986280348e-16,7.506527986280348e-16,1.0052149908955915e-13,2.1023889892135695e-16
400.0,90.0,600.0,3000,2.0833333333333335,-4.949487980173897e-16,-2.0207818219995852,1.2724113301041974e-16,-670.7902915710928,2.650856937717078e-16,2.650856937717078e-16,3.549818421223521e-14,7.424381082735958e-17
400.0,90.0,600.0,6000,4.166666666666667,-4.949487980173897e-16,-2.0207818219995852,1.2724113301041974e-16,-670.7902915710928,5.301713875434156e-16,5.301713875434156e-16,7.099636842447043e-14,1.4848762165471915e-16
400.0,90.0,600.0,12000,8.333333333333334,-4.949487980173897e-16,-2.0207818219995852,1.2724113301041974e-16,-670.7902915710928,1.0603427750868312e-15,1.0603427750868312e-15,1.4199273684894085e-13,2.969752433094383e-16
400.0,98.0,50.0,3000,2.0833333333333335,1.1249538901256524,-1.8250776703422427,-0.028598397335567627,-61.5661039645416,0.05957999444909923,0.059000166038742974,7.900836292824458,0.0165244563382545
400.0,98.0,50.0,6000,4.166666666666667,1.1249538901256524,-1.8250776703422427,-0.028598397335567627,-61.5661039645416,0.11915998889819845,0.11800033207748595,15.801670491178333,0.033048908295961625
400.0,98.0,50.0,12000,8.333333333333334,1.1249538901256524,-1.8250776703422427,-0.028598397335567627,-61.5661039645416,0.2383199777963969,0.2360006641549719,31.603324226595323,0.06609778154755118
400.0,98.0,100.0,3000,2.0833333333333335,1.1249538901256524,-1.8250776703422427,-0.05626880019946127,-122.01421515830866,0.11722666708221098,0.1160858252165121,15.545294974233496,0.03251270353497956
400.0,98.0,100.0,6000,4.166666666666667,1.1249538901256524,-1.8250776703422427,-0.05626880019946127,-122.01421515830866,0.23445333416442196,0.2321716504330242,31.09057399511087,0.06502537370380305
400.0,98.0,100.0,12000,8.333333333333334,1.1249538901256524,-1.8250776703422427,-0.05626880019946127,-122.01421515830866,0.4689066683288439,0.4643433008660484,62.181020363471,0.13005048047856316
400.0,98.0,200.0,3000,2.0833333333333335,1.1249538901256524,-1.8250776703422427,-0.10897009610825249,-239.66842054897197,0.2270210335588594,0.22481168046604696,30.104986857082842,0.06296403601418651
