kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,wall_s
diag,MEO_low,0.05,0.05,90,same_orbit,1337,59,200,5.4
diag,MEO_low,0.05,0.05,90,same_orbit,31415,49,200,5.4
diag,MEO_low,0.05,0.05,90,fully_random,42,6,200,6.0
diag,MEO_low,0.05,0.05,90,fully_random,1337,3,200,6.1
diag,MEO_low,0.05,0.05,90,fully_random,31415,7,200,5.9
diag,MEO_low,0.05,0.05,150,same_orbit,42,48,200,5.7
diag,MEO_low,0.05,0.05,150,same_orbit,1337,51,200,5.7
diag,MEO_low,0.05,0.05,150,same_orbit,31415,42,200,5.8
diag,MEO_low,0.05,0.05,150,fully_random,42,3,200,6.0
diag,MEO_low,0.05,0.05,150,fully_random,1337,3,200,5.8
diag,MEO_low,0.05,0.05,150,fully_random,31415,7,200,6.0
diag,MEO_low,0.05,0.05,180,same_orbit,42,55,200,5.7
diag,MEO_low,0.05,0.05,180,same_orbit,1337,54,200,5.8
diag,MEO_low,0.05,0.05,180,same_orbit,31415,47,200,5.8
diag,MEO_low,0.05,0.05,180,fully_random,42,5,200,6.0
diag,MEO_low,0.05,0.05,180,fully_random,1337,2,200,6.2
diag,MEO_low,0.1,0.1,30,same_orbit,42,140,200,3.7
diag,MEO_low,0.1,0.1,30,same_orbit,1337,144,200,3.6
diag,MEO_low,0.05,0.05,180,fully_random,31415,7,200,6.3
diag,MEO_low,0.1,0.1,30,same_orbit,31415,135,200,4.0
diag,MEO_low,0.1,0.1,30,fully_random,42,4,200,6.1
diag,MEO_low,0.1,0.1,30,fully_random,1337,0,200,6.0
diag,MEO_low,0.1,0.1,90,same_orbit,42,65,200,5.2
diag,MEO_low,0.1,0.1,30,fully_random,31415,4,200,5.9
diag,MEO_low,0.1,0.1,90,same_orbit,1337,66,200,5.3
diag,MEO_low,0.1,0.1,90,same_orbit,31415,62,200,5.4
diag,MEO_low,0.1,0.1,90,fully_random,42,2,200,6.1
diag,MEO_low,0.1,0.1,90,fully_random,1337,0,200,6.3
diag,MEO_low,0.1,0.1,90,fully_random,31415,3,200,6.2
diag,MEO_low,0.1,0.1,150,same_orbit,42,32,200,5.9
diag,MEO_low,0.1,0.1,150,same_orbit,1337,37,200,5.8
diag,MEO_low,0.1,0.1,150,same_orbit,31415,29,200,6.0
diag,MEO_low,0.1,0.1,150,fully_random,42,2,200,6.0
diag,MEO_low,0.1,0.1,150,fully_random,1337,0,200,6.2
diag,MEO_low,0.1,0.1,150,fully_random,31415,3,200,6.2
diag,MEO_low,0.1,0.1,180,same_orbit,42,33,200,5.9
diag,MEO_low,0.1,0.1,180,same_orbit,1337,33,200,5.9
diag,MEO_low,0.1,0.1,180,same_orbit,31415,32,200,5.9
diag,MEO_low,0.1,0.1,180,fully_random,42,1,200,6.1
diag,MEO_low,0.1,0.1,180,fully_random,1337,0,200,6.1
diag,MEO_low,0.2,0.2,30,same_orbit,42,107,200,4.5
diag,MEO_low,0.1,0.1,180,fully_random,31415,3,200,6.1
diag,MEO_low,0.2,0.2,30,same_orbit,31415,101,200,4.9
diag,MEO_low,0.2,0.2,30,same_orbit,1337,97,200,5.0
diag,MEO_low,0.2,0.2,30,fully_random,42,1,200,6.0
diag,MEO_low,0.2,0.2,30,fully_random,1337,0,200,6.1
diag,MEO_low,0.2,0.2,90,same_orbit,42,28,200,5.9
diag,MEO_low,0.2,0.2,30,fully_random,31415,0,200,6.3
diag,MEO_low,0.2,0.2,90,same_orbit,1337,30,200,5.9
diag,MEO_low,0.2,0.2,90,same_orbit,31415,35,200,5.6
diag,MEO_low,0.2,0.2,90,fully_random,42,1,200,6.2
diag,MEO_low,0.2,0.2,90,fully_random,1337,0,200,6.2
diag,MEO_low,0.2,0.2,90,fully_random,31415,0,200,6.2
diag,MEO_low,0.2,0.2,150,same_orbit,42,8,200,6.1
diag,MEO_low,0.2,0.2,150,same_orbit,1337,8,200,6.1
diag,MEO_low,0.2,0.2,150,same_orbit,31415,9,200,6.2
diag,MEO_low,0.2,0.2,150,fully_random,42,0,200,5.9
diag,MEO_low,0.2,0.2,150,fully_random,1337,0,200,6.2
diag,MEO_low,0.2,0.2,150,fully_random,31415,0,200,6.1
diag,MEO_low,0.2,0.2,180,same_orbit,42,0,200,6.2
diag,MEO_low,0.2,0.2,180,same_orbit,1337,1,200,6.1
diag,MEO_low,0.2,0.2,180,same_orbit,31415,2,200,6.0
diag,MEO_low,0.2,0.2,180,fully_random,42,0,200,6.0
diag,MEO_low,0.2,0.2,180,fully_random,1337,0,200,6.3
diag,MEO_low,0.3,0.3,30,same_orbit,42,45,200,5.4
diag,MEO_low,0.2,0.2,180,fully_random,31415,0,200,6.4
diag,MEO_low,0.3,0.3,30,same_orbit,1337,56,200,5.6
diag,MEO_low,0.3,0.3,30,same_orbit,31415,42,200,5.6
diag,MEO_low,0.3,0.3,30,fully_random,42,0,200,6.4
diag,MEO_low,0.3,0.3,30,fully_random,1337,0,200,6.4
diag,MEO_low,0.3,0.3,30,fully_random,31415,0,200,6.4
diag,MEO_low,0.3,0.3,90,same_orbit,42,22,200,6.1
diag,MEO_low,0.3,0.3,90,same_orbit,1337,33,200,5.9
diag,MEO_low,0.3,0.3,90,same_orbit,31415,27,200,6.0
diag,MEO_low,0.3,0.3,90,fully_random,42,0,200,6.3
diag,MEO_low,0.3,0.3,90,fully_random,1337,0,200,6.2
diag,MEO_low,0.3,0.3,90,fully_random,31415,1,200,6.3
diag,MEO_low,0.3,0.3,150,same_orbit,42,2,200,6.2
diag,MEO_low,0.3,0.3,150,same_orbit,1337,8,200,6.2
diag,MEO_low,0.3,0.3,150,same_orbit,31415,8,200,5.9
diag,MEO_low,0.3,0.3,150,fully_random,42,0,200,6.2
diag,MEO_low,0.3,0.3,150,fully_random,1337,0,200,6.4
diag,MEO_low,0.3,0.3,180,same_orbit,42,15,200,6.0
diag,MEO_low,0.3,0.3,150,fully_random,31415,0,200,6.4
diag,MEO_low,0.3,0.3,180,same_orbit,1337,19,200,6.2
diag,MEO_low,0.3,0.3,180,same_orbit,31415,11,200,6.0
diag,MEO_low,0.5,0.5,30,same_orbit,42,0,200,1.6
diag,MEO_low,0.3,0.3,180,fully_random,42,0,200,6.6
diag,MEO_low,0.3,0.3,180,fully_random,1337,0,200,6.4
diag,MEO_low,0.5,0.5,30,same_orbit,1337,0,200,1.8
diag,MEO_low,0.5,0.5,30,same_orbit,31415,0,200,1.7
diag,MEO_low,0.5,0.5,30,fully_random,42,0,200,1.8
