file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000142.npz,1,1,155.33,-493.4,0.0179,0.0823,1372,350.0,109.1,179.5,14,0.99,29.33,26.0
ep_0000143.npz,1,1,-107.28,-257.4,0.2165,0.2519,1166,215.0,82.6,135.1,10,0.991,28.71,29.93
ep_0000144.npz,1,1,-43.39,-58.4,0.2465,0.3185,1201,260.0,14.2,213.4,13,0.989,29.82,13.36
ep_0000145.npz,1,1,-77.96,-589.7,0.1605,0.2044,909,180.0,147.7,147.7,9,0.99,29.05,20.94
ep_0000146.npz,1,1,2.58,535.3,0.1861,0.1276,438,205.0,125.2,183.2,9,0.979,29.98,29.59
ep_0000147.npz,1,1,30.08,-495.2,0.1081,0.0404,702,305.0,116.1,221.5,15,0.977,28.97,17.9
ep_0000148.npz,1,1,47.44,523.4,0.225,0.2138,583,160.0,166.2,166.2,7,0.988,27.9,36.14
ep_0000149.npz,1,1,50.38,365.0,0.2805,0.2537,544,260.0,103.5,245.7,11,0.98,28.19,41.01
ep_0000150.npz,1,1,-60.54,-488.3,0.0521,0.0678,424,235.0,191.3,226.6,10,0.976,28.83,24.01
ep_0000151.npz,1,1,146.07,345.1,0.0284,0.0935,1420,330.0,71.6,205.4,15,0.989,29.16,16.04
ep_0000152.npz,1,1,-120.84,-305.4,0.2381,0.2425,1733,265.0,59.2,110.0,12,0.993,29.72,7.81
ep_0000153.npz,1,1,-105.69,-172.7,0.0776,0.1101,1293,225.0,39.4,101.5,11,0.991,29.79,14.72
ep_0000154.npz,1,1,75.09,-574.4,0.2609,0.2656,1170,395.0,148.3,213.3,17,0.985,29.53,25.46
ep_0000155.npz,1,1,-142.77,565.1,0.0065,0.0208,994,235.0,234.8,234.8,10,0.99,29.44,28.95
ep_0000156.npz,1,1,124.65,556.3,0.0029,0.0339,522,285.0,297.3,297.3,12,0.977,29.19,24.27
ep_0000157.npz,1,1,-27.18,-552.1,0.1035,0.1464,702,165.0,150.8,150.8,9,0.987,29.35,15.18
ep_0000158.npz,1,1,-103.78,-103.3,0.064,0.0146,1175,285.0,23.3,221.3,14,0.988,29.86,11.7
ep_0000159.npz,1,1,9.5,544.0,0.1811,0.1474,594,135.0,109.3,109.3,8,0.985,29.72,6.12
ep_0000160.npz,1,1,-103.9,138.8,0.2923,0.3085,1852,390.0,30.0,92.7,18,0.99,29.88,10.61
ep_0000161.npz,1,1,-90.94,531.0,0.0575,0.069,1305,345.0,154.4,154.4,15,0.988,29.51,26.99
ep_0000162.npz,1,1,12.8,558.1,0.1475,0.2047,674,325.0,225.8,236.3,15,0.976,29.12,34.88
ep_0000163.npz,1,1,-67.46,158.7,0.0673,0.0671,984,260.0,33.2,47.5,11,0.988,29.12,26.26
ep_0000164.npz,1,1,-73.71,535.4,0.2032,0.2428,1717,290.0,139.4,153.4,13,0.992,29.88,20.57
ep_0000165.npz,1,1,62.22,216.0,0.2241,0.2151,1052,130.0,59.2,59.2,8,0.992,29.84,14.29
