scenario,filt,seeds,sigma_beta_mrad,rho_km_mean,rho_over_r,crlb_los_m,crlb_los_rb_m,pos_rmse_settled_m,vel_rmse_settled_ms,pos_err_final_m,rel_range_err_settled,rel_range_err_final,nees_med,nees_in_bounds,conv5pct_frac,conv5pct_min,acq_min,acq_fail_frac,diverged_frac,n_eff_final
G5_leo_10km_burns,BO-BLS-MPC,12,1.0,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,52.399240457888155,0.05863227236531629,56.602628532548756,0.00046181392930597586,0.00040105997374380753,0.6666561573011557,0.9914529914529915,1.0,44.0,44.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-RPB,12,1.0,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,57.51621605653672,0.06618885448071557,61.77814807769661,0.0006012470367898877,0.0004406397123314764,1.1710947714011637,0.9316546762589928,1.0,33.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,RB-EKF,12,10.0,14.83302839929592,0.0021910199784943383,59.72391183656957,9.029702718687039,9.07629450651264,0.008790884543338985,9.391798617430418,0.00032600589021976366,0.0003170117801811342,0.8004723008074444,0.9811827956989247,1.0,0.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS-MPC,12,10.0,14.83302839929592,0.0021910199784943383,59.72391183656957,9.029702718687039,181.91166027648484,0.19979407888308554,261.2218968872804,0.008400607410551562,0.009956048737136295,0.59101373754305,0.9753521126760564,1.0,84.0,44.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-RPB,12,10.0,14.83302839929592,0.0021910199784943383,59.72391183656957,9.029702718687039,267.53283020350494,0.28750450907102,303.2011566872483,0.011963324025350372,0.011606621592709969,1.805562253126203,0.6532258064516129,0.75,53.0,0.0,0.0,0.08333333333333333,1.0000000001878218
G5_leo_10km_burns,RB-EKF,12,10.0,80.03738642817623,0.011821969825211349,109.67206793485528,7.326147209302895,8.18048879204051,0.009528028045679936,9.670572372112938,6.388071686044146e-05,6.642051213847378e-05,1.103794017700451,0.9406474820143884,1.0,0.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-BLS-MPC,12,10.0,80.03738642817623,0.011821969825211349,109.67206793485528,7.326147209302895,521.8389087335948,0.5837299811091254,551.8699071567769,0.00417041024725445,0.0039040821268853734,0.6511906553307854,0.9871794871794872,1.0,44.0,44.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-RPB,12,10.0,80.03738642817623,0.011821969825211349,109.67206793485528,7.326147209302895,576.6139778011293,0.6591910543715195,675.0991463849491,0.005111301189607577,0.004823515914305612,1.6412907162990655,0.8561151079136691,1.0,45.0,0.0,0.0,0.0,1.0000000000284597
G6_leo_5km_1ms_burns,RB-EKF,12,3.0,14.83302839929592,0.0021910199784943383,17.917173550971107,7.24816520564114,9.678271610056878,0.009583479395798603,9.544989935876163,0.0003245520058212252,0.0003377279267280331,0.7353003350290674,0.9838709677419355,1.0,0.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS-MPC,12,3.0,14.83302839929592,0.0021910199784943383,17.917173550971107,7.24816520564114,53.28967505525617,0.058520725732798706,76.22861784226649,0.0024595632168133747,0.002904663609647037,0.6032490217825204,0.9823943661971831,1.0,44.0,44.0,0.0,0.0,1.0
