rung,evec_mode,di_max_deg,n,frac_dv_ok_seq,frac_dv_ok_comb,frac_time_ok,frac_feasible_seq,frac_feasible_comb,de_p50,de_p90,dv_e_p50,dv_seq_p50,dv_seq_p90,dv_comb_p50,dv_comb_p90,dv_plane_p90,theta_p50,steps_p90
W4 300-8000 e<=0.30 de.08 da600,realized,1.0,6000,0.3586666666666667,0.423,1.0,0.3586666666666667,0.423,0.15006912915128512,0.4105561699543974,0.0,623.7977068255375,1375.2069777410752,561.8728827021844,1313.2793084163748,93.10273897575566,0.7107166619875795,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,1.25,6000,0.3375,0.4186666666666667,1.0,0.3375,0.4186666666666667,0.15006928447319196,0.41055569561544003,0.0,640.3885783320987,1388.8741978899377,565.1522000228114,1313.9048865454054,116.37783534203713,0.8883958274844744,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,1.5,6000,0.31683333333333336,0.4125,1.0,0.31683333333333336,0.4125,0.1500694742704457,0.41055511586833454,0.0,657.4645026769231,1401.164908575246,568.9238687712884,1314.976400395666,139.65253945945778,1.0660749929813695,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,realized,2.0,6000,0.2725,0.399,1.0,0.2725,0.399,0.1500699571890741,0.4105536401509568,0.0,690.6378164975458,1430.5354144014457,580.3820032933301,1317.706798062079,186.20045716185865,1.421433323975159,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,intended,0.0,6000,0.993,0.993,1.0,0.993,0.993,0.056219515476418805,0.07570526409417545,0.0,254.34743905134252,359.86059987768186,254.34743905134252,359.86059987768186,0.0,0.0,5436.405650863947
W4 300-8000 e<=0.30 de.08 da600,intended,0.1,6000,0.9883333333333333,0.9908333333333333,1.0,0.9883333333333333,0.9908333333333333,0.056580032869165256,0.076105863882242,0.0,263.48949541458524,370.87318530212104,257.490054271807,363.9602034679835,9.451488909218025,0.07107166619875796,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,intended,0.2,6000,0.9863333333333333,0.9901666666666666,1.0,0.9863333333333333,0.9901666666666666,0.056580032869165256,0.076105863882242,0.0,269.6798552173593,377.7479560317604,257.8579362420041,364.3912798709602,18.90297136990295,0.14214333239751592,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,intended,0.25,6000,0.985,0.9901666666666666,1.0,0.985,0.9901666666666666,0.056580032869165256,0.076105863882242,0.0,272.67599620197996,381.37201683683134,258.21636102086245,364.66589339513837,23.62870816688,0.1776791654968949,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,intended,0.3,6000,0.9841666666666666,0.99,1.0,0.9841666666666666,0.99,0.056580032869165256,0.076105863882242,0.0,275.74170096791744,384.96391911254227,258.48876118713497,365.0278939250112,28.354440933526092,0.21321499859627385,5453.546446514301
W4 300-8000 e<=0.30 de.08 da600,intended,0.4,6000,0.9811666666666666,0.9896666666666667,1.0,0.9811666666666666,0.9896666666666667,0.056580032869165256,0.076105863882242,0.0,282.0799460143371,392.6540175974296,259.3343008556748,366.1109768791068,37.80589115156757,0.28428666479503184,5453.546446514301
