family,rho_epoch_m,rho_mean_m,rho_over_r,f_oop,di_deg,dv_ms,arc_min,n_obs,zsep_max_m,zsep_epoch_m,el_max_deg,bo_sig_range_m,bo_sig_range_frac,bo_sig_vel_ms,bo_sig_plane_rad,bo_sig_plane_deg,bo_sig_i_deg,bo_sig_raan_deg,bo_sig_a_m,bo_sig_e,bo_sig_u_deg,bo_sig_scale_rho_m,bo_corr_range_plane,rb_corr_range_plane,bo_cond,rb_sig_range_m,rb_sig_vel_ms,rb_sig_plane_deg,secs
G2_300km,306911.93078152527,864616.6805070213,0.04537278835200956,0.019696038108857325,0.05005005006277424,0.0,185.0,186,5920.055583538823,5908.811432657198,1.1031531879526257,710.6278673548294,0.0023154129770884945,0.860595940077823,1.4530803172005307e-05,0.0008325536946912133,0.0005761309611318645,0.6880235807882993,65.88425223887417,1.0749912070933474e-05,0.6879378545388235,519.8921872710441,0.1625679795891552,0.0859142388770217,829567870.9281303,9.193114714730848,0.081043713328338,0.0008255999828008802,0.01
G2_300km,306911.93078152527,874857.6542739056,0.04537278835200956,0.019696038108857325,0.05005005006277424,1.0,185.0,186,5920.055583538823,5908.811432657198,1.1031531879526257,710.3073014233861,0.002314368488753919,0.8583581296416236,1.4586796345214181e-05,0.0008357618671976268,0.0005781850679552582,0.6908568926005829,66.82893321412173,1.0803029444549375e-05,0.6907713081139223,528.7119741554142,0.16209147979165864,0.0863028582053412,819921919.6132523,9.193712556390798,0.0813724703815676,0.0008288172633031213,0.03
G2_300km,306912.160920406,864479.7272947759,0.04537282237493821,0.03939206121832483,0.10010010020189367,0.0,185.0,186,11840.106658697792,11817.618365497448,2.206713087678641,709.0938958294097,0.002310413160895585,0.8585136310700585,1.480792669868994e-05,0.0008484317031740239,0.0005986579392955062,0.34411964581967935,65.88986433906723,1.0741279448521199e-05,0.34394904660580866,519.1012582680303,0.3123904864834177,0.16893931746284957,828226464.6140655,9.294908293780692,0.08063380228270843,0.000820942951599582,0.01
G2_300km,306912.160920406,874720.480322757,0.04537282237493821,0.03939206121832483,0.10010010020189367,1.0,185.0,186,11840.106658697792,11817.618365497448,2.206713087678641,708.7733582589548,0.0023093687657517316,0.8562790410426733,1.4863079396247348e-05,0.0008515917199728248,0.0006006511050093445,0.34553610962274356,66.83391986057818,1.0794294574626404e-05,0.3453657917392806,527.8699713613183,0.31154521969973764,0.16968444240185715,818548455.8936645,9.296453767851883,0.08096077754135407,0.0008241378600460423,0.01
G2_300km,306914.6483449371,863013.6357151126,0.04537319010709677,0.11817570367513991,0.30030030304875355,0.0,185.0,186,35520.17570813021,35452.71110254197,6.633229887300124,693.5060605002377,0.0022596056077480407,0.8372290926056984,1.74016185779767e-05,0.0009970393012145103,0.0007940053156294269,0.1150552453088928,65.95207343622175,1.0652652891451105e-05,0.1145691105650911,510.92847302042014,0.6949197947539579,0.4354928632565537,815196794.0687494,10.194506702158154,0.07661206794331603,0.0007755409818977695,0.01
G2_300km,306914.6483449371,873252.0267057667,0.04537319010709677,0.11817570367513991,0.30030030304875355,1.0,185.0,186,35520.17570813021,35452.71110254197,6.633229887300124,693.1797933151682,0.0022585425526386515,0.8350205070412746,1.744981302630968e-05,0.0009998006396999511,0.0007955952700921034,0.11552674708188268,66.88983723828365,1.0704610836320015e-05,0.11504139860250104,519.177948302338,0.6938854188193765,0.43704025473855784,805169538.4944098,10.203861126159953,0.07692161885989665,0.0007785223255245283,0.01
G2_300km,306930.5557180438,854149.339498431,0.04537554179760086,0.295432172045244,0.7507507936978107,0.0,185.0,186,88798.30908160827,88629.65161357321,16.78380853006112,623.153757940862,0.0020302760553866485,0.7373236092430544,2.6675772013001315e-05,0.0015284091515981755,0.0014018819887697135,0.04647148279573612,66.38930749592734,1.0221571689248935e-05,0.04552738577865108,470.7588787443376,0.9111316864818201,0.6879729000506619,773114170.9602512,12.545981115985933,0.06095771809196641,0.0006027890079678796,0.01
G2_300km,306930.5557180438,864373.488850325,0.04537554179760086,0.295432172045244,0.7507507936978107,1.0,185.0,186,88798.30908160827,88629.65161357321,16.78380853006112,622.6579413785232,0.002028660652315492,0.7350784788209115,2.6697740457887725e-05,0.0015296678507726326,0.0014021896774844772,0.046658267215211095,67.30021863765104,1.0268356193371404e-05,0.04571593215569524,476.66789221127243,0.9107296539398116,0.6893914857994482,760817735.0687008,12.572060059212657,0.06119981309741208,0.0006050197719398901,0.01
G2_300km,306947.1389301385,845601.4137976365,0.045377993401781405,0.3939008132894889,1.001001102806879,0.0,185.0,186,118395.11561598064,118170.24398684666,22.642849438846063,579.1069114013048,0.0018866665883245461,0.6695062728569369,3.185981118799007e-05,0.0018254327171555126,0.0017205755874462388,0.03490430771803901,66.86998260287399,9.904558925727212e-06,0.03385464205586025,442.5643086652601,0.9423922226041221,0.7418855101832635,767236130.2876225,13.305127337072875,0.052546049783426425,0.0005115898061508196,0.01
G2_300km,306947.1389301385,855811.8985931694,0.045377993401781405,0.3939008132894889,1.001001102806879,1.0,185.0,186,118395.11561598064,118170.24398684666,22.642849438846063,578.3689295439954,0.0018842623246461757,0.6671060097547284,3.185535990523086e-05,0.0018251776774399905,0.0017194481699388273,0.03504237045167063,67.7654403777518,9.947749308427532e-06,0.033995270176949484,447.0152536130431,0.9421027121590022,0.7431345468909609,752625831.6154877,13.336006344127172,0.05275157034350741,0.0005134538275867568,0.02
