leg,dPhi,dv_ms,dlam_deg,di_deg,dv_plane,dv_inplane,phi,form
L3 drift slice 6/6 (2.99 h),0.16666426936283713,0.0,-5.088887490341627e-14,0.03830241038715023,5.09169496928292,153.62478582245097,-0.18524480686692396,L1
L4 drift-close burn 1/5 (25 m/s),0.03502600920324628,25.000000000000004,0.0005266186563000071,0.03830241038715617,5.091694969283735,123.61223453271529,-0.15021879766367768,L1
L4 drift-close burn 2/5 (25 m/s),0.03217371199713635,24.999999999999996,0.001048355635804504,0.03830241038715154,5.091694969283281,96.04353517514176,-0.11804508566654133,L1
L4 drift-close burn 3/5 (25 m/s),0.02554101102807578,24.999999999999996,0.0015651794004894913,0.03830241038715154,5.091694969283281,74.15771193175247,-0.09250407463846555,L1
L4 drift-close burn 4/5 (25 m/s),0.011151136073046186,24.999999999999996,0.002077058003031749,0.03830241038714935,5.091694969282941,64.60105845544655,-0.08135293856541936,L1
L4 drift-close burn 5/5 (11 m/s),-0.0016851769391535432,10.841696808438156,0.0022974978687109664,0.03830241038714935,5.091694969282941,66.04385722076255,-0.0830381155045729,L1
L1a coast to relative node,2.220446049250313e-16,0.0,-180.0,0.9999999999999969,132.93237650275287,1.2491557326320903,-1.1551579236592897,hypot3
L1b plane burn 1/6 (25 m/s),0.028989260322973776,25.0,-179.9965087019174,0.813284503744852,108.11230644136526,1.0143017326190111,-1.126168663336316,hypot3
L1b plane burn 2/6 (25 m/s),0.028974086880039218,25.0,-179.99302302817435,0.6266683959615995,83.30516126377616,0.7847071153596443,-1.0971945764562767,hypot3
L1b plane burn 3/6 (25 m/s),0.028939349325963093,25.000000000000004,-179.98954294669238,0.44027680925064727,58.52764142939264,0.5668037746435902,-1.0682552271303136,hypot3
L1b plane burn 4/6 (25 m/s),0.028828010224313028,25.0,-179.98606842555554,0.2546011394884094,33.84513626111053,0.3812024648892595,-1.0394272169060006,hypot3
L1b plane burn 5/6 (25 m/s),0.02786018262737633,25.0,-179.98259943300846,0.07514238695962795,9.988982142370274,0.29650294439738767,-1.0115670342786243,hypot3
L1b plane burn 6/6 (8 m/s),0.00571712891747489,7.9323765027528745,-179.9814986266232,0.038302410387141855,5.091694969281761,0.2948453986966606,-1.0058499053611494,hypot3
L2 drift-open burn 1/5 (25 m/s),-0.0353477540840752,25.0,-179.9850281469891,0.03830241038713648,5.091694969281058,35.00072202911607,-1.0411976594452246,hypot3
L2 drift-open burn 2/5 (25 m/s),-0.040599527683711,25.0,-179.98859247547824,0.038302410387141855,5.091694969281761,69.95250659002345,-1.0817971871289356,hypot3
L2 drift-open burn 3/5 (25 m/s),-0.04035024341894933,25.0,-179.99219138581694,0.038302410387144846,5.0916949692821,104.5683596687108,-1.122147430547885,hypot3
L2 drift-open burn 4/5 (25 m/s),-0.04000277685253306,25.0,-179.99582465465195,0.03830241038715048,5.091694969283158,138.85573854261955,-1.162150207400418,hypot3
L2 drift-open burn 5/5 (11 m/s),-0.01723593534065504,10.84169680843816,-179.9974109118642,0.03830241038715453,5.091694969283619,153.62478582245035,-1.179386142741073,hypot3
L3 drift slice 1/6 (2.99 h),0.1666642693628364,0.0,-149.9978424265534,0.038302410387146164,5.09169496928246,153.6247858224514,-1.0127218733782366,hypot3
L3 drift slice 2/6 (2.99 h),0.16666426936283674,0.0,-119.9982739412427,0.03830241038715674,5.091694969283958,153.62478582245188,-0.8460576040153999,hypot3
L3 drift slice 3/6 (2.99 h),0.1666642693628384,0.0,-89.998705455932,0.03830241038715242,5.091694969283259,153.62478582245086,-0.6793933346525615,hypot3
L3 drift slice 4/6 (2.99 h),0.1666642693628385,0.0,-59.99913697062135,0.03830241038715055,5.091694969283259,153.62478582244958,-0.512729065289723,hypot3
L3 drift slice 5/6 (2.99 h),0.16666426936283618,0.0,-29.99956848531065,0.038302410387156725,5.091694969283958,153.62478582245035,-0.34606479592688677,hypot3
L3 drift slice 6/6 (2.99 h),0.16666426936283602,0.0,-5.088887490341627e-14,0.03830241038715023,5.09169496928292,153.62478582245097,-0.17940052656405076,hypot3
L4 drift-close burn 1/5 (25 m/s),0.03500212297768707,25.000000000000004,0.0005266186563000071,0.03830241038715617,5.091694969283735,123.61223453271529,-0.1443984035863637,hypot3
L4 drift-close burn 2/5 (25 m/s),0.03213863844344367,24.999999999999996,0.001048355635804504,0.03830241038715154,5.091694969283281,96.04353517514176,-0.11225976514292002,hypot3
L4 drift-close burn 3/5 (25 m/s),0.02549465063056669,24.999999999999996,0.0015651794004894913,0.03830241038715154,5.091694969283281,74.15771193175247,-0.08676511451235333,hypot3
L4 drift-close burn 4/5 (25 m/s),0.011121078131284323,24.999999999999996,0.002077058003031749,0.03830241038714935,5.091694969282941,64.60105845544655,-0.07564403638106901,hypot3
L4 drift-close burn 5/5 (11 m/s),-0.0016800838836482923,10.841696808438156,0.0022974978687109664,0.03830241038714935,5.091694969282941,66.04385722076255,-0.0773241202647173,hypot3
