a_sat_km,a_tgt_km,di_rel_deg,dv_coarse,dv_fine,dv_inplane,dv_plane,dv_radial,dv_tangential,dv_total,episode,episode_orbits,hohmann_dv,inplane_oop_frac,lambert_dv1,lambert_dv2,lambert_dv_boxcredited,lambert_dv_timematched,lambert_revs,lambert_tof_s,lambert_wait_s,lineage,n_burns,plane_opt_dv,plane_ratio,ratio_boxcredited,ratio_inplane,ratio_total,steps,success,teleport_abs_deg,terminal_cause
7163.1015,6918.2815,0.0,205.0,0.0,205.0,0.0,0.0,205.0,205.0,ep_0000052.npz,5.856723673254963,130.8314181369651,0.0,19.525703181780983,144.23569865169148,113.76140183347246,163.76140183025993,3,21846.338822614554,0.0,T3-canonical,10,0.0,nan,1.8020171753868284,1.2518212332627943,1.2518212332627943,559,1,0.0004365716121817422,1
6970.839,7060.896,0.0,360.0,0.0,360.0,0.0,0.0,360.0,360.0,ep_0000053.npz,6.706477674897464,48.3772312237852,0.0,131.95793442401157,87.24683311531882,169.2047675393304,219.2047675393304,5,33938.39821807765,1016.4402650983146,T3-canonical,17,0.0,nan,2.127599625207491,1.6423000468518902,1.6423000468518902,660,1,0.00048197071566365596,1
6747.2535,7108.5095,0.0,195.0,0.0,195.0,0.0,0.0,195.0,195.0,ep_0000054.npz,6.126179818671252,197.81719182005054,0.0,135.6376511896801,61.18205597228835,146.81970716196844,196.81970716196844,2,14124.420942998717,22335.82475640801,T3-canonical,9,0.0,nan,1.3281595759136071,0.9907544463498721,0.9907544463498721,609,1,0.00046214736588158376,1
7153.8565,7036.2385,0.0,215.0,0.0,215.0,0.0,0.0,215.0,215.0,ep_0000055.npz,11.573357055347715,62.12850609200814,0.0,148.86328991623628,112.88538080558081,211.7486707218171,261.74867072181564,10,62374.59270850492,865.4515778616573,T3-canonical,10,0.0,nan,1.015354662048643,0.821398631775671,0.821398631775671,1133,1,0.0008500614677073444,1
6911.5975,6796.1085,0.0,315.0,0.0,315.0,0.0,0.0,315.0,315.0,ep_0000056.npz,7.317432533412303,64.25233210157694,0.0,92.45293725341955,154.0369029751949,196.48984022861444,246.4898402302725,4,26133.041125775726,7071.482180477527,T3-canonical,14,0.0,nan,1.603136323147802,1.2779431383692117,1.2779431383692117,680,1,0.0005183510885690202,1
6840.427,6732.4095,0.0,235.0,0.0,235.0,0.0,0.0,235.0,235.0,ep_0000057.npz,6.548408055152983,60.993337203944975,0.0,33.885586220630806,92.85108919435214,76.73667541498295,126.73667541498295,5,32420.586875966794,404.4943820224719,T3-canonical,10,0.0,nan,3.0624209184089293,1.8542383191804797,1.8542383191804797,600,1,0.00040164861619830066,1
6808.811,6862.454,0.0,290.0,0.0,290.0,0.0,0.0,290.0,290.0,ep_0000058.npz,4.051207269533545,29.963076188160812,0.0,127.09373054696808,96.57932731448814,173.67305786145621,223.67305785953528,0,2807.4082721029645,9346.144553195227,T3-canonical,14,0.0,nan,1.6698041916860875,1.296535232160672,1.296535232160672,382,1,0.00027512922875428053,1
7016.0915,7123.641,0.0,215.0,0.0,215.0,0.0,0.0,215.0,215.0,ep_0000059.npz,11.461288987137094,57.11364972106912,0.0,66.15962732689626,123.8081265202406,139.96775384713686,189.96775384713297,10,57495.019125835846,6560.498430916432,T3-canonical,10,0.0,nan,1.5360680877597577,1.1317710276924708,1.1317710276924708,1143,1,0.0008868638262774035,1
7146.535,6985.158,0.0,210.0,0.0,210.0,0.0,0.0,210.0,210.0,ep_0000060.npz,6.454400886438589,85.77396204847355,0.0,67.3879600170969,151.6488431739144,169.0368031910113,219.0368031910116,5,31802.82232191695,547.0533049508426,T3-canonical,9,0.0,nan,1.242333006988427,0.9587429917741677,0.9587429917741677,625,1,0.0004537455128165016,1
7095.904,7028.857,0.0,230.0,0.0,230.0,0.0,0.0,230.0,230.0,ep_0000061.npz,11.161895667352018,35.66114173200913,0.0,94.71486977303996,126.91026513919519,171.62513491223515,221.6251349122357,9,60210.36510397521,710.904966204354,T3-canonical,11,0.0,nan,1.3401300463222727,1.037788426349208,1.037788426349208,1091,1,0.000770287387813269,1
7003.3415,6832.544,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,ep_0000062.npz,3.8002888912192487,93.70867043430007,0.0,50.167409412318605,42.00973716425592,50.167409412318605,92.17714657657453,3,17916.241707868645,3083.90625,T3-canonical,4,0.0,nan,1.9933259694180063,1.0848676023717743,1.0848676023717743,356,1,0.00027130550617268597,1
6739.4525,7152.4465,0.0,220.0,0.0,220.0,0.0,0.0,220.0,220.0,ep_0000063.npz,10.714374128636821,225.28340694631697,0.0,130.6900001876583,94.1648684612871,174.8548686489454,224.85486864894733,1,8718.383577039924,45932.43476781952,T3-canonical,10,0.0,nan,1.2581862987280732,0.9784088791222619,0.9784088791222619,1075,1,0.0008145545448861576,1
7101.356,7164.61,0.0,215.0,0.0,215.0,0.0,0.0,215.0,215.0,ep_0000064.npz,8.539739075299956,33.14540307675543,0.0,102.22100566317843,69.26364309923302,121.48464876241145,171.48464876208442,7,49415.10048446033,1050.6104612886236,T3-canonical,10,0.0,nan,1.7697709314736325,1.2537565406119133,1.2537565406119133,859,1,0.0006285626682797025,1
6693.3965,7088.948,0.0,325.0,0.0,325.0,0.0,0.0,325.0,325.0,ep_0000065.npz,6.010139461271314,218.34159080977315,0.0,267.136669533388,181.0405585060322,398.1772280394202,448.17722803942036,4,29479.840957935063,4772.646100333568,T3-canonical,13,0.0,nan,0.8162194548399048,0.7251595566819249,0.7251595566819249,595,1,0.0004634319820704296,1
6984.0765,7045.908,0.0,170.0,0.0,170.0,0.0,0.0,170.0,170.0,ep_0000066.npz,8.481216388527299,33.22087326625933,0.0,59.79700162684645,92.99698463904706,102.79398626589351,152.79398626673537,8,45397.188054132115,2.191011235955056,T3-canonical,8,0.0,nan,1.653793243899182,1.1126092338688498,1.1126092338688498,832,1,0.0006178954113277627,1
7055.47,6958.609,0.0,325.0,0.0,325.0,0.0,0.0,325.0,325.0,ep_0000067.npz,5.026920070529548,52.13072589899821,0.0,154.63850581392848,99.21631849541743,203.8548243093459,253.8548243093524,1,8413.700844856181,10209.61398349719,T3-canonical,15,0.0,nan,1.5942718113299028,1.280259301292414,1.280259301292414,484,1,0.0003592075875724376,1
6978.289,6773.913,0.0,135.0,0.0,135.0,0.0,0.0,135.0,135.0,ep_0000068.npz,7.59133156137446,113.15959632781869,0.0,118.71369635143078,121.06052833839857,189.77422468982934,239.77422468982678,6,39367.99035657359,1419.7752808988764,T3-canonical,6,0.0,nan,0.7113716323733985,0.5630296591497136,0.5630296591497136,702,1,0.0005227851621129869,1
7026.828,6747.487,0.0,195.0,0.0,195.0,0.0,0.0,195.0,195.0,ep_0000069.npz,14.151565365657598,154.30519482391173,0.0,59.8282025380299,94.07671268855357,103.90491522658347,153.90491522658346,6,36688.07264838869,40210.07335191363,T3-canonical,9,0.0,nan,1.876715837501693,1.2670160645156467,1.2670160645156467,1301,1,0.0009829281190508743,1
6821.4265,6888.095,0.0,270.0,0.0,270.0,0.0,0.0,270.0,270.0,ep_0000070.npz,5.958542280523464,37.083009763567134,0.0,76.01513581312945,113.5952214936093,139.61035730673876,189.61035730674155,1,8742.373205666301,6105.3551834620785,T3-canonical,12,0.0,nan,1.933953935858651,1.4239728453399219,1.4239728453399219,565,1,0.0004256758001887259,1
