seed,pre,action,dv_pro,dv_rad,dv_mag,e_before,e_after,theta_before_deg,da_m,jump_rad,jump_deg,eoc_before_deg,eoc_after_deg,dlam_before,dlam_after,phi_before,phi_after,u_before_deg,config
0,7,13,-1,0,1.0,0.0,0.0002610603114590049,31.989466822257615,-1772.7375030517578,3.786340130318422e-10,2.169413092682597e-08,0.0,-0.002022955240648585,0.7342602704511596,0.7342867627997025,-0.23372230311658798,-0.235380330252424,31.989466822257626,e0_sameorbit
0,7,14,2,0,2.0,0.0,0.0005222228355705738,31.989466822257615,3548.9559173583984,1.6293788540622245e-09,9.335653156562796e-08,0.0,0.00404590840093452,0.7342602704511596,0.7342072618815183,-0.23372230311658798,-0.23700656108896578,31.989466822257626,e0_sameorbit
0,7,15,-2,0,2.0,0.0,0.0005220865132287145,31.989466822257615,-3544.330596923828,2.31872832046065e-09,1.328533465998531e-07,0.0,-0.004045910885100393,0.7342602704511596,0.7343132656027809,-0.23372230311658798,-0.2370377206304829,31.989466822257626,e0_sameorbit
0,14,1,5,0,5.0,0.0,0.0013058127369731665,59.12988616661573,8881.044387817383,2.3495951850804886e-09,1.3462188766937153e-07,0.0,0.010114765162723405,0.7342602411696042,0.7341277368277099,-0.23372229379597942,-0.24193777961981816,59.12988616661572,e0_sameorbit
0,14,2,10,0,10.0,0.0,0.0026124774012714624,59.12988616661573,17791.175842285156,-4.910587492190643e-10,-2.8135593823225495e-08,0.0,0.020229500727052277,0.7342602411696042,0.7339952309906494,-0.23372229379597942,-0.2501694990382414,59.12988616661572,e0_sameorbit
0,14,3,25,0,25.0,0.0,0.006537583656609058,59.12988616661573,44697.38006591797,-5.867395458380997e-11,-3.361769964994582e-09,0.0,0.05057341198141876,0.7342602411696042,0.7335977260681315,-0.23372229379597942,-0.27496277480199305,59.12988616661572,e0_sameorbit
0,14,4,-5,0,5.0,0.0,0.0013049606932327151,59.12988616661573,-8852.148056030273,1.2882264144309374e-09,7.38099366041636e-08,0.0,-0.010114779910980908,0.7342602411696042,0.734392742359324,-0.23372229379597942,-0.24200599839606896,59.12988616661572,e0_sameorbit
0,14,5,-10,0,10.0,0.0,0.0026090694591403008,59.12988616661573,-17675.447463989258,-2.144774136070282e-09,-1.228865060056445e-07,0.0,-0.020229561546916564,0.7342602411696042,0.7345252415676917,-0.23372229379597942,-0.2502736003109963,59.12988616661572,e0_sameorbit
0,14,6,-25,0,25.0,0.0,0.006516283378005028,59.12988616661573,-43973.9465713501,-4.3612269351456234e-09,-2.498798968826194e-07,0.0,-0.050573788242131684,0.7342602411696042,0.734922744567303,-0.23372229379597942,-0.27498068324395997,59.12988616661572,e0_sameorbit
0,14,7,0,10,10.0,0.0,0.0013053867733106017,59.12988616661573,11.587142944335938,-0.0026107745312353714,-0.1495863619000327,0.0,0.1492538397228857,0.7342602411696042,0.7316492897883737,-0.23372229379597942,-0.23872454064415163,59.12988616661572,e0_sameorbit
0,14,8,0,-10,10.0,0.0,0.0013053867733106017,59.12988616661573,11.587142944335938,0.00261077380003627,0.14958632000541022,0.0,-0.14923395861458683,0.7342602411696042,0.7368708381196454,-0.23372229379597942,-0.24038661109918186,59.12988616661572,e0_sameorbit
0,14,12,1,0,1.0,0.0,0.0002610943920444697,59.12988616661573,1773.8819122314453,3.406849025111569e-09,1.9519807057715193e-07,0.0,0.0020229547304876144,0.7342602411696042,0.7342337403943513,-0.23372229379597942,-0.2353640927722061,59.12988616661572,e0_sameorbit
0,14,13,-1,0,1.0,0.0,0.0002610603114590049,59.12988616661573,-1772.7375030517578,3.786349012102619e-10,2.169418181570087e-08,0.0,-0.002022955240648585,0.7342602411696042,0.7342867385439442,-0.23372229379597942,-0.23538032253157634,59.12988616661572,e0_sameorbit
0,14,14,2,0,2.0,0.0,0.0005222228355705738,59.12988616661573,3548.9559173583984,1.6293788540622245e-09,9.335653156562796e-08,0.0,0.00404590840093452,0.7342602411696042,0.7342072376257596,-0.23372229379597942,-0.237006553368118,59.12988616661572,e0_sameorbit
0,14,15,-2,0,2.0,0.0,0.0005220865132287145,59.12988616661573,-3544.330596923828,2.31872920863907e-09,1.32853397488728e-07,0.0,-0.004045910885100393,0.7342602411696042,0.7343132413470226,-0.23372229379597942,-0.23703771290963524,59.12988616661572,e0_sameorbit
0,21,1,5,0,5.0,0.0,0.0013058127369731665,86.27030655784677,8881.044387817383,2.3495951850804886e-09,1.3462188766937153e-07,0.0,0.010114765162723405,0.7342602414401069,0.7341277511213029,-0.2337222938820831,-0.24193778416961012,86.27030655784677,e0_sameorbit
0,21,2,10,0,10.0,0.0,0.0026124774012714624,86.27030655784677,17791.175842285156,-4.910587492190643e-10,-2.8135593823225495e-08,0.0,0.020229500727052277,0.7342602414401069,0.7339952452842424,-0.2337222938820831,-0.25016950358803336,86.27030655784677,e0_sameorbit
0,21,3,25,0,25.0,0.0,0.006537583656609058,86.27030655784677,44697.38006591797,-5.867395458380997e-11,-3.361769964994582e-09,0.0,0.05057341198141876,0.7342602414401069,0.7335977403617244,-0.2337222938820831,-0.27496277935178504,86.27030655784677,e0_sameorbit
0,21,4,-5,0,5.0,0.0,0.0013049606932327151,86.27030655784677,-8852.148056030273,1.2882264144309374e-09,7.38099366041636e-08,0.0,-0.010114779910980908,0.7342602414401069,0.7343927566529169,-0.2337222938820831,-0.24200600294586092,86.27030655784677,e0_sameorbit
0,21,5,-10,0,10.0,0.0,0.0026090694591403008,86.27030655784677,-17675.447463989258,-2.144774136070282e-09,-1.228865060056445e-07,0.0,-0.020229561546916564,0.7342602414401069,0.7345252558612847,-0.2337222938820831,-0.25027360486078826,86.27030655784677,e0_sameorbit
0,21,6,-25,0,25.0,0.0,0.006516283378005028,86.27030655784677,-43973.9465713501,-4.3612269351456234e-09,-2.498798968826194e-07,0.0,-0.050573788242131684,0.7342602414401069,0.734922758860896,-0.2337222938820831,-0.2749806877937519,86.27030655784677,e0_sameorbit
0,21,7,0,10,10.0,0.0,0.0013053867733106017,86.27030655784677,11.587142944335938,-0.0026107745312353714,-0.1495863619000327,0.0,0.1492538397228857,0.7342602414401069,0.7316493040819667,-0.2337222938820831,-0.2387245451939436,86.27030655784677,e0_sameorbit
0,21,8,0,-10,10.0,0.0,0.0013053867733106017,86.27030655784677,11.587142944335938,0.002610773800035826,0.14958632000538477,0.0,-0.14923395861458683,0.7342602414401069,0.7368708524132379,-0.2337222938820831,-0.24038661564897368,86.27030655784677,e0_sameorbit
0,21,12,1,0,1.0,0.0,0.0002610943920444697,86.27030655784677,1773.8819122314453,3.406849469200779e-09,1.9519809602158936e-07,0.0,0.0020229547304876144,0.7342602414401069,0.7342337546879443,-0.2337222938820831,-0.23536409732199806,86.27030655784677,e0_sameorbit
0,21,13,-1,0,1.0,0.0,0.0002610603114590049,86.27030655784677,-1772.7375030517578,3.786349012102619e-10,2.169418181570087e-08,0.0,-0.002022955240648585,0.7342602414401069,0.7342867528375372,-0.2337222938820831,-0.23538032708136827,86.27030655784677,e0_sameorbit
0,21,14,2,0,2.0,0.0,0.0005222228355705738,86.27030655784677,3548.9559173583984,1.6293788540622245e-09,9.335653156562796e-08,0.0,0.00404590840093452,0.7342602414401069,0.7342072519193521,-0.2337222938820831,-0.23700655791790978,86.27030655784677,e0_sameorbit
0,21,15,-2,0,2.0,0.0,0.0005220865132287145,86.27030655784677,-3544.330596923828,-1.2563839746349004e-08,-7.198549919445127e-07,0.0,-0.00404590999734397,0.7342602414401069,0.7343132407580466,-0.2337222938820831,-0.23703771272215834,86.27030655784677,e0_sameorbit
