geom,rho0_km,rho_over_r,arc_min,n_obs,sigma_beta_mrad,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,D_k0.5,D_k0.8,D_k1.25,D_k2,beta_floor_mrad
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,0.0,none,335.3890206198175,0.06692914631747052,4629141.620869534,4.146561320608492,0.0008274743425663921,7.526722103084241,2.9963005511370477,3.718252110576431,14.69085141546482,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,0.1,radial,188.4686389994813,0.03761019097327444,1346150.581821026,4.122829219483655,0.0008227384413562992,21.872256252472134,6.136027091210845,5.868445713275729,19.210500571931487,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,1.0,radial,26.508556424251072,0.005289961634119127,24223.04327993138,3.9135097729110133,0.0007809673307789111,185.8862856626948,46.98943096091638,38.04407010299749,96.74680344590581,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,1.0,prograde,55.970490154016424,0.011169289674586805,23168.921574770335,3.5193386628705277,0.0007023078211465895,73.57758930289971,20.664982736118162,19.817107712680688,66.10878295942862,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,10.0,prograde,13.93111458288243,0.0027800480903043966,763.8265132474013,2.1241886662460048,0.00042389620801048627,248.78656992256785,79.54542625201788,81.97936378595219,279.7268166828653,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,0.0,none,49.6679706579311,0.009911579303678855,116647.23284669846,2.6715427513669403,0.000533124415847531,51.8730480340108,20.421747971683278,24.811276423236627,93.78849256703731,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,0.1,radial,47.71252587014115,0.009521357077334466,97920.79463849876,2.6574299978436438,0.0005303081204787752,57.05561693841461,21.506060804585825,25.61989482051621,95.85031701064877,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,1.0,radial,22.60303041953232,0.004510587518253803,26243.740220115687,2.5507295086786694,0.0005090153165632786,199.67930643941006,53.016367349342005,46.98772491720944,139.4833991983283,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,1.0,prograde,11.997341509986605,0.002394150601169412,1227.1213657491728,2.5350088403223725,0.0005058781509199831,229.71413842220602,86.51930713938698,99.94203613142923,350.0788708591461,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,10.0,prograde,3.574405458059844,0.0007132967723819305,82.41694079544251,1.731371857058696,0.0003455069582685828,805.8302256193235,296.696533429109,326.17231180256744,1060.6125542685838,3.4088287748090806e-09
