cfg,mode,requested_deg,mean_dlam_deg,max_err_deg,mean_abs_domega_deg
e=0.20 soi=0 valid_init_only=1,0,180.0,6.757186258955318,179.8633096033817,95.01912371522009
e=0.20 soi=0 valid_init_only=1,1,30.0,-30.000000011023253,3.5400676523522634e-06,95.01912371522009
e=0.20 soi=0 valid_init_only=1,1,90.0,-89.9999999684434,3.1888708917904296e-06,95.01912371522009
e=0.20 soi=0 valid_init_only=1,1,180.0,12.600000031556608,3.1888709486338485e-06,95.01912371522009
e=0.20 soi=0 valid_init_only=0,0,30.0,-1.5375386058577174,178.98420712765446,88.50703967487159
e=0.20 soi=0 valid_init_only=0,0,90.0,-3.9375386133112498,178.98420687686263,88.50703967487159
e=0.20 soi=0 valid_init_only=0,0,180.0,-2.1375386133112464,178.98420687686266,88.50703967487159
e=0.20 soi=0 valid_init_only=0,1,30.0,-29.999999982605253,4.362526727419436e-06,88.50703967487159
e=0.20 soi=0 valid_init_only=0,1,90.0,-90.00000002345695,3.5773009443573756e-06,88.50703967487159
e=0.20 soi=0 valid_init_only=0,1,180.0,7.199999976543058,3.5773009585682303e-06,88.50703967487159
e=0    soi=1 (a_s==a_t) [uniform],0,30.0,14.996000506415612,29.600046861762127,0.021806301450840893
e=0    soi=1 (a_s==a_t) [uniform],0,180.0,89.97600278466435,177.60027869782883,0.02180629772527115
e=0    soi=1 (a_s==a_t) [uniform],1,30.0,14.996000506415612,29.600046861762127,0.021806301450840893
e=0    soi=1 (a_s==a_t) [uniform],1,180.0,89.97600278466435,177.60027869782883,0.02180629772527115
e=0    soi=0 (a_s!=a_t) [uniform],0,30.0,15.169017080284116,29.796286929034068,0.04126912507101843
e=0    soi=0 (a_s!=a_t) [uniform],0,180.0,91.01410246904692,178.77770923182524,0.04126912266598548
e=0    soi=0 (a_s!=a_t) [uniform],1,30.0,15.169017080284116,29.796286929034068,0.04126912507101843
e=0    soi=0 (a_s!=a_t) [uniform],1,180.0,91.01410246904692,178.77770923182524,0.04126912266598548
e=0.05 soi=1 [uniform],0,30.0,15.349290875724186,29.78468389057999,0.04129723593598833
e=0.05 soi=1 [uniform],0,180.0,92.09574621669267,178.70810176833933,0.04129724660506018
e=0.05 soi=1 [uniform],1,30.0,15.349290875724186,29.78468389057999,0.04129723593598833
e=0.05 soi=1 [uniform],1,180.0,92.09574621669267,178.70810176833933,0.04129724660506018
e=0.05 soi=0 (headline) [uniform],0,30.0,94.26737414431423,178.77119949672428,4.959039983224143
e=0.05 soi=0 (headline) [uniform],0,180.0,90.36490285568244,179.41191184195682,0.040464941653145015
e=0.05 soi=0 (headline) [uniform],1,30.0,14.999889721834561,29.859101521330782,0.03363063958353801
e=0.05 soi=0 (headline) [uniform],1,180.0,89.99933852390701,179.1546088740867,0.03363058451254736
e=0.20 soi=0 valid_init_only=1 [uniform],0,30.0,92.01961507536238,176.0754637137863,4.869182123792877
e=0.20 soi=0 valid_init_only=1 [uniform],0,180.0,85.67530290664953,178.74842314246496,0.06391556268806953
e=0.20 soi=0 valid_init_only=1 [uniform],1,30.0,15.661073749075946,29.671728072598324,0.054340534226382464
e=0.20 soi=0 valid_init_only=1 [uniform],1,180.0,93.9664429787482,178.03036331769442,0.054340539013987776
e=0.20 soi=0 valid_init_only=0 [uniform],0,30.0,87.9434451622573,179.88192718815736,4.9960642396052455
e=0.20 soi=0 valid_init_only=0 [uniform],0,180.0,87.42541048240902,179.9258382474722,0.03634417330764539
e=0.20 soi=0 valid_init_only=0 [uniform],1,30.0,15.354318909864473,29.94813272899938,0.029128818993676475
e=0.20 soi=0 valid_init_only=0 [uniform],1,180.0,92.12591343770666,179.68879397652478,0.029128787727642602
