geom,burn_dir,dv_ms,arc_min,rho0_km,rho_over_r,crlb_los_m,crlb_rel,fim_cond,D_k2
A5_leo_180deg,radial,1.0,90.0,13572.600000000002,1.9565461826547998,2390.9401640243154,0.00017615933306988456,6765.990580282603,9539.392014169456
A5_leo_180deg,radial,3.0,90.0,13572.600000000002,1.9565461826547998,2390.935624553256,0.00017615899861141236,6766.240273425227,9539.392014169456
A5_leo_180deg,radial,10.0,90.0,13572.600000000002,1.9565461826547998,2390.922760772232,0.00017615805083567125,6767.10753565985,9539.392014169456
A5_leo_180deg,radial,25.0,90.0,13572.600000000002,1.9565461826547998,2390.911085494893,0.00017615719062632752,6768.930995157781,9539.392014169456
A5_leo_180deg,prograde,0.0,90.0,13572.600000000002,1.9565461826547998,2390.9425822792864,0.0001761595112417139,6765.865426937509,9539.392014169456
A5_leo_180deg,prograde,0.03,90.0,13572.600000000002,1.9565461826547998,2390.9676392447536,0.00017616135738508123,6765.835916140131,9539.392014169456
A5_leo_180deg,prograde,0.1,90.0,13572.600000000002,1.9565461826547998,2391.026119119766,0.0001761656660565968,6765.767068918124,9539.392014169456
A5_leo_180deg,prograde,0.3,90.0,13572.600000000002,1.9565461826547998,2391.1932316900866,0.00017617797855164715,6765.5703065714815,9539.392014169456
A5_leo_180deg,prograde,1.0,90.0,13572.600000000002,1.9565461826547998,2391.7784673292704,0.00017622109745585004,6764.881035485495,9539.392014169456
A5_leo_180deg,prograde,3.0,90.0,13572.600000000002,1.9565461826547998,2393.453507874835,0.00017634451084352554,6762.9064656625005,9539.392014169456
A5_leo_180deg,prograde,10.0,90.0,13572.600000000002,1.9565461826547998,2399.3508998090256,0.00017677901800753173,6755.934293852504,9539.392014169456
A5_leo_180deg,prograde,25.0,90.0,13572.600000000002,1.9565461826547998,2412.1754648841,0.00017772390440181688,6740.668380599067,9539.392014169456
A6_wide_e30_90deg,radial,0.0,90.0,14215.728999611663,1.2395434632900901,28375.839752294112,0.001996087555767929,17093.159026261863,4636.280905207109
A6_wide_e30_90deg,radial,0.03,90.0,14215.728999611663,1.2395434632900901,28376.598914110124,0.0019961409587144845,17095.818890207123,4636.204458223891
A6_wide_e30_90deg,radial,0.1,90.0,14215.728999611663,1.2395434632900901,28378.370831014636,0.0019962656035290107,17102.02743739787,4636.026780070292
A6_wide_e30_90deg,radial,0.3,90.0,14215.728999611663,1.2395434632900901,28383.432575253668,0.001996621669984637,17119.77708862515,4635.519176199855
A6_wide_e30_90deg,radial,1.0,90.0,14215.728999611663,1.2395434632900901,28401.14393961761,0.0019978675691125977,17182.035422293564,4633.742017917896
A6_wide_e30_90deg,radial,3.0,90.0,14215.728999611663,1.2395434632900901,28451.70964010261,0.0020014245939043883,17361.077448429663,4628.662499796522
A6_wide_e30_90deg,radial,10.0,90.0,14215.728999611663,1.2395434632900901,28628.21157301471,0.0020138405546276774,18001.42114332518,4611.075795033725
A6_wide_e30_90deg,radial,25.0,90.0,14215.728999611663,1.2395434632900901,29003.528265149285,0.0020402420632766416,19447.311092716154,4572.794564966423
A6_wide_e30_90deg,prograde,0.0,90.0,14215.728999611663,1.2395434632900901,28375.839752294112,0.001996087555767929,17093.159026261863,4636.280905207109
A6_wide_e30_90deg,prograde,0.03,90.0,14215.728999611663,1.2395434632900901,28378.612700078298,0.0019962826177154567,17098.31938834474,4636.19571312054
A6_wide_e30_90deg,prograde,0.1,90.0,14215.728999611663,1.2395434632900901,28385.08521370645,0.001996737924202259,17110.367929227556,4635.996799375295
A6_wide_e30_90deg,prograde,0.3,90.0,14215.728999611663,1.2395434632900901,28403.593870276567,0.0019980399085444355,17144.849405318237,4635.429248954889
A6_wide_e30_90deg,prograde,1.0,90.0,14215.728999611663,1.2395434632900901,28468.559368272367,0.0020026098815649944,17266.204584133873,4633.443136455871
A6_wide_e30_90deg,prograde,3.0,90.0,14215.728999611663,1.2395434632900901,28655.77463262835,0.002015779467476564,17618.755254544114,4627.77349860339
A6_wide_e30_90deg,prograde,10.0,90.0,14215.728999611663,1.2395434632900901,29330.22586479645,0.002063223480526231,18923.865412039147,4608.204437595474
A6_wide_e30_90deg,prograde,25.0,90.0,14215.728999611663,1.2395434632900901,30883.527104709716,0.0021724898600383683,22140.42601283173,4566.049469250474
