alt_km,a_km,period_min,phase_gap_deg,n_revs,da_km,a_ph_km,phasing_peri_alt_km,dv_total_ms,dv_frac_of_budget,t_total_hr,drift_deg_per_hr,decisions_if_60s,decisions_if_warp5min,decisions_if_warp1hr,feasible_dv,feasible_60s_horizon,feasible_warp5_horizon,reentry_risk
550.0,6921.0,95.50211815557677,15.0,80,-2.403333652908914,6918.596666347091,545.1933326941821,2.6364421008311183,0.005515569248600666,127.26983662538322,0.11780866232015944,7636.190197522994,1527.2380395045986,127.26983662538322,True,False,True,False
550.0,6921.0,95.50211815557677,15.0,100,-1.9226335316803307,6919.077366468319,546.1547329366393,2.1089338703040994,0.004411995544569246,159.1038760105755,0.09424529308487492,9546.23256063453,1909.2465121269058,159.1038760105755,True,False,True,False
550.0,6921.0,95.50211815557677,30.0,1,-390.04824902467334,6530.951750975327,-230.09649804934674,460.21514509884037,0.962793190583348,1.4590601384879784,19.1197183138927,87.5436083092787,17.50872166185574,1.4590601384879784,True,True,True,True
550.0,6921.0,95.50211815557677,30.0,2,-193.61041108226868,6727.389588917731,162.7791778354626,220.00145349040395,0.46025408680000823,3.0507621077475915,9.490560544205346,183.04572646485548,36.6091452929711,3.0507621077475915,True,True,True,True
550.0,6921.0,95.50211815557677,30.0,3,-128.7674772912953,6792.232522708705,292.4650454174094,144.56103173033625,0.3024289366743436,4.6424640770072045,6.312034216167965,278.5478446204323,55.709568924086454,4.6424640770072045,True,True,True,False
550.0,6921.0,95.50211815557677,30.0,5,-77.11520897217189,6843.884791027828,395.76958205565626,85.75321191803414,0.17940002493312582,7.82586801552643,3.780099197860082,469.5520809315858,93.91041618631716,7.82586801552643,True,True,True,False
550.0,6921.0,95.50211815557677,30.0,8,-48.14633050886262,6872.853669491137,453.70733898227473,53.25656533787878,0.11141540865665017,12.600973923305268,2.360077963377296,756.0584353983161,151.21168707966322,12.600973923305268,True,True,True,False
550.0,6921.0,95.50211815557677,30.0,10,-38.50360153269395,6882.496398467306,472.9927969346121,42.51561932195182,0.08894481029697032,15.784377861824495,1.8874024360224908,947.0626717094697,189.41253434189395,15.784377861824495,True,True,True,False
550.0,6921.0,95.50211815557677,30.0,15,-25.657126695738175,6895.342873304262,498.68574660852363,28.26449145216793,0.05913073525558145,23.74288770812256,1.257682956898338,1424.5732624873535,284.91465249747074,23.74288770812256,True,True,True,False
550.0,6921.0,95.50211815557677,30.0,20,-19.238375478217378,6901.761624521782,511.5232490435652,21.168781773250885,0.044286154337344945,31.701397554420627,0.9430431257676251,1902.0838532652376,380.41677065304754,31.701397554420627,True,True,True,False
550.0,6921.0,95.50211815557677,30.0,30,-12.822607646023854,6908.177392353976,524.3547847079523,14.092855697923369,0.029482961711136756,47.61841724701675,0.6285495367677818,2857.105034821005,571.4210069642011,47.61841724701675,True,False,True,False
550.0,6921.0,95.50211815557677,30.0,50,-7.692137694962323,6913.307862305038,534.6157246100754,8.446299388637271,0.017670082403006843,79.452456632209,0.3770597774175681,4767.14739793254,953.429479586508,79.452456632209,True,False,True,False
550.0,6921.0,95.50211815557677,30.0,80,-4.80708480494935,6916.192915195051,540.3858303901013,5.275633677922087,0.011036890539585956,127.2035157099974,0.23563778996944412,7632.210942599844,1526.4421885199688,127.2035157099974,True,False,True,False
550.0,6921.0,95.50211815557677,30.0,100,-3.845534225668758,6917.154465774332,542.3089315486625,4.219626814323419,0.008827671159672425,159.03755509518965,0.18850368216002197,9542.253305711378,1908.4506611422755,159.03755509518965,True,False,True,False
550.0,6921.0,95.50211815557677,60.0,1,-792.1167022392964,6128.8832977607035,-1034.2334044785928,1014.7479611647996,2.122903684445187,1.326418307716344,38.828653266398675,79.58509846298064,15.91701969259613,1.326418307716344,False,True,True,True
550.0,6921.0,95.50211815557677,60.0,2,-390.04824902467334,6530.951750975327,-230.09649804934674,460.21514509884037,0.962793190583348,2.918120276975957,19.1197183138927,175.0872166185574,35.01744332371148,2.918120276975957,True,True,True,True
550.0,6921.0,95.50211815557677,60.0,3,-258.76736648236124,6662.2326335176385,32.46526703527756,297.6830185238541,0.6227678211796112,4.50982224623557,12.684479851767307,270.5893347741342,54.11786695482684,4.50982224623557,True,True,True,True
550.0,6921.0,95.50211815557677,60.0,5,-154.66735462173168,6766.332645378268,240.66529075653665,174.474973306038,0.36501040440593724,7.693226184754796,7.581616531075355,461.5935710852877,92.31871421705755,7.693226184754796,True,True,True,False
550.0,6921.0,95.50211815557677,60.0,8,-96.4618958866652,6824.538104113335,357.07620822666956,107.64895881630218,0.22520702681234767,12.468332092533634,4.7284516261484795,748.099925552018,149.6199851104036,12.468332092533634,True,True,True,False
550.0,6921.0,95.50211815557677,60.0,10,-77.11520897217189,6843.884791027828,395.76958205565626,85.75321191803414,0.17940002493312582,15.65173603105286,3.780099197860082,939.1041618631716,187.82083237263433,15.65173603105286,True,True,True,False
550.0,6921.0,95.50211815557677,60.0,15,-51.36207683065906,6869.637923169341,447.2758463386819,56.846960354239854,0.11892669530175702,23.610245877350923,2.517710163997161,1416.6147526410555,283.3229505282111,23.610245877350923,True,True,True,False
550.0,6921.0,95.50211815557677,60.0,20,-38.50360153269395,6882.496398467306,472.9927969346121,42.51561932195182,0.08894481029697032,31.56875572364899,1.8874024360224908,1894.1253434189393,378.8250686837879,31.56875572364899,True,True,True,False
550.0,6921.0,95.50211815557677,60.0,30,-25.657126695738175,6895.342873304262,498.68574660852363,28.26449145216793,0.05913073525558145,47.48577541624512,1.257682956898338,2849.146524974707,569.8293049949415,47.48577541624512,True,False,True,False
550.0,6921.0,95.50211815557677,60.0,50,-15.388557127555833,6905.611442872444,519.2228857448883,16.920857786624765,0.03539928407243675,79.31981480143737,0.7543294407085043,4759.1888880862425,951.8377776172485,79.31981480143737,True,False,True,False
550.0,6921.0,95.50211815557677,60.0,80,-9.615840767817572,6911.384159232182,530.7683184643648,10.562283762563311,0.02209682795515337,127.07087387922576,0.4713574981855327,7624.252432753546,1524.850486550709,127.07087387922576,True,False,True,False
550.0,6921.0,95.50211815557677,60.0,100,-7.692137694962323,6913.307862305038,534.6157246100754,8.446299388637271,0.017670082403006843,158.904913264418,0.3770597774175681,9534.29479586508,1906.858959173016,158.904913264418,True,False,True,False
550.0,6921.0,95.50211815557677,90.0,1,-1207.8403776000775,5713.159622399922,-1865.680755200155,1699.5743952584671,3.555594969159973,1.1937764769447095,59.2069515645959,71.62658861668257,14.325317723336514,1.1937764769447095,False,True,True,True
550.0,6921.0,95.50211815557677,90.0,2,-589.4862952327597,6331.513704767241,-628.9725904655196,723.8216895718924,1.5142713170960092,2.7854784462043223,28.895942855617324,167.12870677225933,33.425741354451866,2.7854784462043223,False,True,True,True
550.0,6921.0,95.50211815557677,90.0,3,-390.04824902467334,6530.951750975327,-230.09649804934674,460.21514509884037,0.962793190583348,4.377180415463934,19.1197183138927,262.6308249278361,52.52616498556722,4.377180415463934,True,True,True,True
