alt_km,i_t_deg,di_deg,da_km,j2_mode,cap_steps,dPhi_total,max_Phi_gain,dvpl0,dvplT,d_dvpl_ms,dlam0_deg,dlamT_deg,di_rel_T_deg
8000.0,0.0,0.0,200.0,0,6000,-0.8616415968524552,0.0,0.0,0.0,0.0,2.5444437451708134e-13,-155.0954874334422,0.0
8000.0,0.0,0.0,200.0,1,6000,-0.8629113369170668,0.0,0.0,0.0,0.0,2.5444437451708134e-13,-155.32400902127964,0.0
8000.0,0.0,0.05,0.0,0,6000,-1.526643395033389e-14,1.979319486089537e-15,4.595923078322376,4.595923078322376,0.0,4.579998741307465e-13,-3.205999118915225e-12,0.049999999999999996
8000.0,0.0,0.05,0.0,1,6000,-2.1330359825343093e-06,0.0,4.595923078322376,4.595923078322376,0.0,4.579998741307465e-13,-6.449545271067188e-06,0.05
8000.0,0.0,0.05,200.0,0,6000,-0.8616415968524554,0.0,4.595923078322376,4.595923078322376,0.0,-1.0177774980683254e-13,-155.0954874334421,0.049999999999999996
8000.0,0.0,0.05,200.0,1,6000,-0.8629113733181348,0.0,4.595923078322376,4.595923078322376,0.0,-1.0177774980683254e-13,-155.32401516627962,0.04999999999999999
8000.0,0.0,0.25,0.0,0,6000,-1.752764600126966e-14,5.655198531684391e-16,22.97959789163779,22.97959789163779,0.0,1.0177774980683254e-13,-3.256887993818641e-12,0.25
8000.0,0.0,0.25,0.0,1,6000,-1.1381653289607718e-05,0.0,22.97959789163779,22.97959789163779,0.0,1.0177774980683254e-13,-0.00016123465735554975,0.25000000000000006
8000.0,0.0,0.25,200.0,0,6000,-0.8616415968524547,0.0,22.97959789163779,22.97959789163779,0.0,3.053332494204976e-13,-155.09548743344214,0.25
8000.0,0.0,0.25,200.0,1,6000,-0.8629122469199011,0.0,22.97959789163779,22.97959789163779,0.0,3.053332494204976e-13,-155.32416264226597,0.25
8000.0,0.0,1.0,0.0,0,6000,-1.6681100944992977e-14,1.124100812432971e-15,91.9172978223245,91.9172978223245,0.0,-2.0355549961366507e-13,-3.205999118915225e-12,1.0
8000.0,0.0,1.0,0.0,1,6000,-5.626654305516954e-05,0.0,91.9172978223245,91.9172978223245,0.0,-2.0355549961366507e-13,-0.0025794837853120884,1.0000000000000002
8000.0,0.0,1.0,200.0,0,6000,-0.8616415968524581,0.0,91.9172978223245,91.9172978223245,0.0,0.0,-155.09548743344246,1.0
8000.0,0.0,1.0,200.0,1,6000,-0.8629258951302442,0.0,91.9172978223245,91.91729782232447,-2.842170943040401e-14,0.0,-155.32646669669097,1.0
8000.0,28.5,0.0,0.0,0,6000,-2.827159716856459e-15,5.654319433712918e-16,5.847034050493906e-13,5.847034050493906e-13,0.0,-1.0177774980683254e-13,6.106664988409952e-13,6.793667777652873e-15
8000.0,28.5,0.0,0.0,1,6000,3.516365826879936e-16,1.2502810537623197e-15,5.847034050493906e-13,2.923517025246953e-13,-2.923517025246953e-13,-1.0177774980683254e-13,-1.0177774980683254e-13,3.278440724931703e-15
8000.0,28.5,0.0,200.0,0,6000,-0.8616415968524507,0.0,5.847034050493906e-13,5.847034050493906e-13,0.0,2.0355549961366507e-13,-155.09548743344132,6.793667777652873e-15
8000.0,28.5,0.0,200.0,1,6000,-0.8676184582947251,0.0,5.847034050493906e-13,4.404582867548228,4.404582867547644,2.0355549961366507e-13,-155.24596415818047,0.0479183700541927
8000.0,28.5,0.05,0.0,0,6000,-1.9784521243515485e-15,8.482797797526587e-16,4.595923078322963,4.595923078322963,0.0,-1.526666247102488e-13,-5.088887490341627e-13,0.05000000000000687
8000.0,28.5,0.05,0.0,1,6000,-4.6082506645643215e-06,0.0,4.595923078322963,4.574881443033749,-0.021041635289214433,-1.526666247102488e-13,-0.004992559712021679,0.04977108367289441
8000.0,28.5,0.05,200.0,0,6000,-0.8616415968524467,0.0,4.595923078322963,4.595923078322963,0.0,-1.1195552478751578e-12,-155.09548743344152,0.05000000000000687
8000.0,28.5,0.05,200.0,1,6000,-0.8619003375870142,0.0,4.595923078322963,4.078574431823993,-0.51734864649897,-1.1195552478751578e-12,-155.25073779640667,0.0443716565184165
8000.0,28.5,0.25,0.0,0,6000,-1.3853501679150781e-14,2.8102520310824275e-16,22.979597891638864,22.979597891638864,0.0,5.088887490341627e-14,-2.5444437451708135e-12,0.25000000000001343
8000.0,28.5,0.25,0.0,1,6000,-2.297968758616098e-05,0.0,22.979597891638864,22.87397591290741,-0.10562197873145251,5.088887490341627e-14,-0.02504307429360027,0.24885091391013855
8000.0,28.5,0.25,200.0,0,6000,-0.8616415968524552,0.0,22.979597891638864,22.979597891638864,0.0,-3.053332494204976e-13,-155.09548743344223,0.25000000000001343
8000.0,28.5,0.25,200.0,1,6000,-0.8598326043541973,0.0,22.979597891638864,20.59950087935866,-2.3800970122802028,-3.053332494204976e-13,-155.26990883747735,0.22410637652107987
8000.0,28.5,1.0,0.0,0,6000,-1.9220736113823023e-14,3.1086244689504383e-15,91.91729782232478,91.91729782232478,0.0,-6.615553737444115e-13,-4.121998867176718e-12,1.0000000000000047
8000.0,28.5,1.0,0.0,1,6000,-9.093911703239588e-05,0.0,91.91729782232478,91.48863232003407,-0.42866550229071265,-6.615553737444115e-13,-0.10136106611951445,0.9953362825240596
8000.0,28.5,1.0,200.0,0,6000,-0.86164159685245,0.0,91.91729782232478,91.91729782232478,0.0,-3.053332494204976e-13,-155.09548743344132,1.0000000000000047
8000.0,28.5,1.0,200.0,1,6000,-0.8596007404794284,0.0,91.91729782232478,88.99133916751421,-2.9259586548105716,-3.053332494204976e-13,-155.3428755604142,0.968166716253982
8000.0,51.6,0.0,0.0,0,6000,-1.6397526357767462e-14,1.6962958301138756e-15,0.0,0.0,0.0,3.053332494204976e-13,-3.256887993818641e-12,0.0
8000.0,51.6,0.0,0.0,1,6000,1.0141851930332488e-15,1.1242313786021987e-15,0.0,5.847034050493906e-13,5.847034050493906e-13,3.053332494204976e-13,0.0,4.497983566394945e-15
8000.0,51.6,0.0,200.0,0,6000,-0.8616415968524505,0.0,0.0,0.0,0.0,1.526666247102488e-13,-155.09548743344124,0.0
8000.0,51.6,0.0,200.0,1,6000,-0.8677093176268665,0.0,0.0,5.113103278903998,5.113103278903998,1.526666247102488e-13,-155.11348049946739,0.055626511043996255
8000.0,51.6,0.05,0.0,0,6000,-2.2051804826617172e-14,1.6965595595053173e-15,4.595923078321652,4.595923078321652,0.0,3.053332494204976e-13,-4.274665491886967e-12,0.04999999999999176
8000.0,51.6,0.05,0.0,1,6000,2.073325810324992e-05,2.073325810324992e-05,4.595923078321652,4.548009132275905,-0.04791394604574695,3.053332494204976e-13,-0.006379960016342203,0.04947873421483446
8000.0,51.6,0.05,200.0,0,6000,-0.8616415968524501,0.0,4.595923078321652,4.595923078321652,0.0,1.0177774980683254e-13,-155.09548743344112,0.04999999999999176
8000.0,51.6,0.05,200.0,1,6000,-0.8623823814394649,0.0,4.595923078321652,5.1159502844811,0.5200272061594475,1.0177774980683254e-13,-155.11958071271658,0.05565748421058292
8000.0,51.6,0.25,0.0,0,6000,-1.696212614810122e-14,1.1310397063368782e-15,22.979597891638388,22.979597891638388,0.0,-2.0355549961366507e-13,-3.256887993818641e-12,0.2500000000000058
8000.0,51.6,0.25,0.0,1,6000,0.0001041898962270589,0.0001041898962270589,22.979597891638388,22.7396785883647,-0.2399193032736875,-2.0355549961366507e-13,-0.031886859738102444,0.24738986209518876
8000.0,51.6,0.25,200.0,0,6000,-0.8616415968524501,0.0,22.979597891638388,22.979597891638388,0.0,-2.0355549961366507e-13,-155.09548743344124,0.2500000000000058
8000.0,51.6,0.25,200.0,1,6000,-0.8595831693860206,0.0,22.979597891638388,20.985367457225585,-1.9942304344128026,-2.0355549961366507e-13,-155.14396923980019,0.22830430706603347
8000.0,51.6,1.0,0.0,0,6000,-1.8096635301390052e-14,8.465450562766819e-16,91.91729782232451,91.91729782232451,0.0,-1.526666247102488e-13,-3.40955461852889e-12,1.0000000000000004
8000.0,51.6,1.0,0.0,1,6000,0.0004246482494167647,0.0004246482494167647,91.91729782232451,90.9524398694562,-0.9648579528683143,-1.526666247102488e-13,-0.12733391813601838,0.9895027151052597
8000.0,51.6,1.0,200.0,0,6000,-0.8616415968524512,0.0,91.91729782232451,91.91729782232451,0.0,4.0711099922733015e-13,-155.09548743344163,1.0000000000000004
8000.0,51.6,1.0,200.0,1,6000,-0.8588316096632126,0.0,91.91729782232451,88.84545708320391,-3.071840739120603,4.0711099922733015e-13,-155.23523208172733,0.9665795783105091
8000.0,97.4,0.0,0.0,0,6000,-1.6680242329453108e-14,2.827159716856459e-15,5.847034050493906e-13,5.847034050493906e-13,0.0,5.088887490341627e-13,-3.5113323683357224e-12,3.278440724931704e-15
8000.0,97.4,0.0,0.0,1,6000,1.983029804961432e-15,2.949433062544164e-15,5.847034050493906e-13,8.268954853865775e-13,2.421920803371869e-13,5.088887490341627e-13,1.0177774980683254e-13,9.607697109413778e-15
8000.0,97.4,0.0,200.0,0,6000,-0.8616415968524574,0.0,5.847034050493906e-13,5.847034050493906e-13,0.0,3.053332494204976e-13,-155.09548743344266,3.278440724931704e-15
8000.0,97.4,0.0,200.0,1,6000,-0.8626042462667637,0.0,5.847034050493906e-13,1.3415662755867188,1.3415662755861342,3.053332494204976e-13,-154.98691281842224,0.014595177223184685
8000.0,97.4,0.05,0.0,0,6000,-1.3570741752566562e-14,3.3922517572726463e-15,4.595923078322269,4.595923078322269,0.0,6.106664988409952e-13,-3.053332494204976e-12,0.04999999999999909
8000.0,97.4,0.05,0.0,1,6000,-3.5720519167671896e-05,0.0,4.595923078322269,4.620167237370418,0.02424415904814925,6.106664988409952e-13,0.0018831057853915404,0.05026375724947566
8000.0,97.4,0.05,200.0,0,6000,-0.8616415968524553,0.0,4.595923078322269,4.595923078322269,0.0,7.63333123551244e-13,-155.09548743344274,0.04999999999999909
8000.0,97.4,0.05,200.0,1,6000,-0.8610538843414898,0.0,4.595923078322269,4.617716711140514,0.021793632818245534,7.63333123551244e-13,-154.98511230523746,0.050237097464858556
8000.0,97.4,0.25,0.0,0,6000,-2.2620794126737565e-15,5.655198531684391e-16,22.97959789163747,22.97959789163747,0.0,-1.0177774980683254e-13,-5.088887490341627e-13,0.24999999999999672
8000.0,97.4,0.25,0.0,1,6000,-0.0001792644357684857,0.0,22.97959789163747,23.100777075514337,0.12117918387686544,-1.0177774980683254e-13,0.009538652196252722,0.25131833657652025
8000.0,97.4,0.25,200.0,0,6000,-0.8616415968524459,0.0,22.97959789163747,22.97959789163747,0.0,-1.0177774980683254e-13,-155.09548743344035,0.24999999999999672
8000.0,97.4,0.25,200.0,1,6000,-0.8609377102659755,0.0,22.97959789163747,22.936693260475177,-0.04290463116229404,-1.0177774980683254e-13,-154.9777929432109,0.24953323052861015
