sweep,geom,arc_min,rho0_km,dv_ms,burn_frac,ang_from_los_deg,crlb_los_m,crlb_rel,crlb_rel_drift,info_gain,fim_cond
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,255,9.205568087269485,0.0018370333420863667,0.06692914631747052,1327.383740667553,18429.23898511932
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,270,12.332428251238799,0.002461019425595644,0.06692914631747052,739.6061056684384,7587.645407468513
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,285,10.719913807724774,0.002139231267684169,0.06692914631747052,978.8476346577555,4145.822810331767
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,300,9.038842495550583,0.0018037621231824228,0.06692914631747052,1376.8037656739468,2809.689087886751
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,315,8.150516204410133,0.0016264906066386817,0.06692914631747052,1693.2748280085484,2320.8516556704235
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,330,7.670184277147824,0.0015306371234767105,0.06692914631747052,1911.9920693115714,2104.234270564153
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,345,7.413578883207711,0.0014794297824458956,0.06692914631747052,2046.641879774977,1993.9614326845724
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,0,7.608122469260883,0.001518252270170793,0.18699762262355993,15169.954984916189,1999.7413458078527
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,15,7.413558982174705,0.0014794258110602271,0.18699762262355993,15976.652440726344,2032.858106004837
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,30,7.371610690574804,0.001471054745898138,0.18699762262355993,16159.000689273413,2167.793534180968
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,45,7.498859718595252,0.0014964481496517767,0.18699762262355993,15615.245741602337,2457.0989846820303
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,60,7.875022931501314,0.0015715140616763042,0.18699762262355993,14159.099304214315,3078.698984224594
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,75,8.719817969412262,0.0017400986223638402,0.18699762262355993,11548.469828382302,4765.989130713105
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,90,10.20480012623105,0.002036436850338274,0.18699762262355993,8431.993750756543,12780.616275943157
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,105,8.384011547159231,0.0016730861807287983,0.18699762262355993,12492.102708703802,267278.1317693884
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,120,5.641820471299095,0.0011258634141411302,0.18699762262355993,27586.763849353367,4095329.399435839
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,135,4.926101952923627,0.0009830369454930255,0.18699762262355993,36185.326027855896,228390.05761774478
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,150,5.036894548230267,0.0010051463568520097,0.18699762262355993,34610.95356012677,83739.436842399
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,165,5.125844260281183,0.0010228968731979251,0.18699762262355993,33420.15565610172,67156.61444210046
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,180,5.104672815515449,0.001018671968274504,0.18699762262355993,33697.948290528475,63235.81271655522
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,195,4.9761223467399045,0.000993018853220357,0.18699762262355993,35461.50656504311,69048.01403729188
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,210,4.803703236676011,0.0009586114542420957,0.18699762262355993,38052.82838339263,138146.40653320707
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,225,5.006710865441929,0.0009991229989078307,0.18699762262355993,35029.525789322906,3665833.9042549026
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,240,6.016693787626861,0.0012006719185836694,0.18699762262355993,24256.239023014696,16696.012190473793
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,255,8.918218794606327,0.001779690848234504,0.18699762262355993,11040.35494529652,4464.746508151407
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,270,17.30928834502427,0.0034541855012261645,0.18699762262355993,2930.7640563160794,9457.738987591105
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,285,16.579841281839858,0.00330861940865553,0.18699762262355993,3194.320909931278,7667.937115506494
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,300,11.898828262514135,0.0023744916166799695,0.18699762262355993,6201.987537242493,3947.7815055477313
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,315,9.731210787262597,0.0019419288962507014,0.18699762262355993,9272.685327993317,2743.1040220165605
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,330,8.618390545406587,0.001719858094247164,0.18699762262355993,11821.890735942288,2268.2091725431865
direction,A1_leo_5km_box,180.0,5.011105610535344,1.0,0.25,345,7.981597837394952,0.0015927818046010543,0.18699762262355993,13783.502799536085,2064.8188381213545
direction,A2_leo_10km_drift,360.0,10.189288204268129,1.0,0.25,0,29.95411132868882,0.002939764851890393,0.015075263317472911,26.296904368676188,2901.684199849692
