dir,file,assigned_mode,cause,init_phase_gap_deg,init_abs_phase_gap_deg,init_da_km,init_alt_sat_km,init_alt_tgt_km,init_e_sat,init_e_tgt,closest_km,t_closest_s,frac_t_closest,relv_at_closest,joint_min,joint_min_dist_km,joint_min_relv,t_joint_min_s,ever_100km,ever_60km,ever_30km,min_relv_inside_30km,min_dist_km_when_slow,min_relv,fuel_used_frac,fuel_used_pct_of_budget,total_dv,n_burns,n_burns_last300,t_first_burn_s,t_last_burn_s,plateau_da_km,n_phase_alignments,min_align_dist_km,final_dist_km,final_relv,final_abs_phase_gap_deg,final_da_km,phase_drift_deg_per_1000rec,n_rec,t_end_s,reward,steps,n_rec_in_30km,n_rec_in_100km,frac_rec_slow,fuel_start,fuel_end,frac_burns_last_quarter,quiet_tail_s,final_phase_gap_deg,final_de,tail_med_abs_da_km,tail_med_relv,tail_med_dist_km,alt_sat_end_km,perigee_end_km,r_sat_end_km
taxonomy_s123,ep_0000272.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,133.13320117673723,133.13320117673723,414.65,799.1125,384.4625,0.005600456614047289,0.005989891942590475,380.87187162216503,88860.0,0.7408704352176088,196.93863252102008,12.695729054072167,380.87187162216503,196.93863252102008,88860.0,False,False,False,nan,nan,196.93863252102008,0.0028941184282302856,1.9294122088189043,10.0,1,0,86460.0,86460.0,414.65,2,382.9788994413206,13807.911802443428,15045.622202673,166.7308767649644,395.3805,-322.28384423576506,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.1471058875322342,0.0,33480.0,-166.7308767649644,-0.0027661414351314306,395.3805,12933.757984876336,11906.515868777937,779.843,756.7904662499902,790.1512684573978
taxonomy_s777,ep_0000023.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-80.94661805713459,80.94661805713459,-356.203,357.828,714.031,0.008992726914584637,0.01212565042078495,370.6451565975873,94500.0,0.7878939469734867,221.4972945493715,12.35483855325291,370.6451565975873,221.4972945493715,94500.0,False,False,False,nan,nan,221.4972945493715,0.0028941184282302856,1.9294122088189043,10.0,1,0,13560.0,13560.0,-338.571,2,370.6451565975873,11829.083943813908,13011.422819222293,117.84168483082576,-338.571,277.76726337756315,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.1471058875322342,0.0,106380.0,117.84168483082576,-0.0014414060860872269,338.571,9266.355579381365,8471.468658267502,375.46,303.3791729657352,439.65476332338153
taxonomy_s777,ep_0000026.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,165.26830558645244,165.26830558645244,472.982,790.3325,317.3505,0.04271974414587021,0.010876941494643688,569.8453376499544,80340.0,0.6698349174587294,351.3130065821948,18.994844588331816,569.8453376499544,351.3130065821948,80340.0,False,False,False,nan,nan,221.05336114472362,0.0,0.0,0.0,0,0,nan,nan,472.982,2,597.7155271467232,11743.6633465048,12462.418313763963,114.49053177057745,472.982,336.8797426185985,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,114.49053177057745,0.03184280265122652,472.982,14723.812800931844,13412.625239559404,790.3325,484.40220785649495,844.5815322155431
taxonomy_s777,ep_0000094.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-19.751050319450353,19.751050319450353,-458.6935,305.0255,763.719,0.007779385428875685,0.02225853130221367,405.57898233574673,2820.0,0.02351175587793897,200.9849943093491,13.51929941119156,405.57898233574673,200.9849943093491,2820.0,False,False,False,nan,nan,191.5289189881012,0.005798086524009705,3.8653908624096367,20.0,2,0,57060.0,57420.0,-458.6935,2,408.3483682972941,2323.9828250086775,2389.0855001975347,18.679037920327357,-423.7195,349.56367133924977,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.14420191943645477,0.0,62520.0,-18.679037920327357,-0.010280140675604343,423.7195,8709.291943883494,7796.698042735959,339.9995,259.6125264940206,404.07474055670946
taxonomy_s777,ep_0000186.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,69.09026958802207,69.09026958802207,-348.2265,399.3005,747.527,0.0008342060027644038,0.008835836313664913,410.76708401036575,61740.0,0.5147573786893447,256.46314646689655,13.69223613367886,410.76708401036575,256.46314646689655,61740.0,False,False,False,nan,nan,255.5541462976129,0.0,0.0,0.0,0,0,nan,nan,-348.2265,1,413.6611191758448,9526.779476143733,10382.447530398964,86.77400546258815,-348.2265,281.9435640608871,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,-86.77400546258815,-0.00800163031090051,348.2265,13576.11647180398,12460.031700672467,399.3005,393.6526746823816,403.8004070642004
taxonomy_s9001,ep_0000020.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,166.51418865333585,166.51418865333585,-407.7375,339.3555,747.093,0.00016855138528626412,0.02886372245848179,508.65023367517733,34800.0,0.29014507253626814,333.8982486896137,16.955007789172576,508.65023367517733,333.8982486896137,34800.0,False,False,False,nan,nan,287.7694911052135,0.0,0.0,0.0,0,0,nan,nan,-407.7375,2,512.9160386893867,11430.921991173833,12831.019766048383,113.78247481452185,-407.7375,333.5743601051055,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,113.78247481452185,-0.028695171073195525,407.7375,7683.520486168022,7111.518198262625,339.3555,338.22446028471177,338.7970181550877
taxonomy_s9001,ep_0000076.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-76.4282844565759,76.4282844565759,421.6645,755.1395,333.475,0.0005131298676133156,0.011729054152965546,385.63919007806055,114600.0,0.9554777388694348,197.1585416698426,12.854639669268686,385.63919007806055,197.1585416698426,114600.0,False,False,False,nan,nan,195.71297824447083,0.0028941184282302856,1.9294122088189043,10.0,1,0,42360.0,42360.0,402.676,2,390.87721367329664,3489.6901023261366,3855.1092864273123,28.969525976568434,402.676,-326.6996661131433,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.1471058875322342,0.0,77580.0,-28.969525976568434,-0.00879528559744358,402.676,3291.0908813976703,3032.84606090679,736.151,715.3002638768535,756.1542908893516
taxonomy_s9001,ep_0000083.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,68.95372266384543,68.95372266384543,-448.302,347.5395,795.8415,0.018692035228013992,0.011099601164460182,482.14090439187225,47640.0,0.39719859929964985,275.9348547480362,16.071363479729076,482.14090439187225,275.9348547480362,47640.0,False,False,False,nan,nan,265.29742151062317,0.0,0.0,0.0,0,0,nan,nan,-448.302,2,485.34243312866226,8757.35906178919,9331.900358841644,76.90649169117896,-448.302,-356.61510135980467,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,76.90649169117896,0.00759243406355381,448.302,3511.2685933770044,3149.207415767669,347.5395,221.9563229851965,472.85249547650574
taxonomy_s9001,ep_0000114.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,165.42608436398896,165.42608436398896,440.1735,780.903,340.7295,0.03868715837597847,0.004439115058630705,689.3376291283176,87780.0,0.7318659329664833,492.5306817545159,22.977920970943924,689.3376291283176,492.5306817545159,87780.0,False,False,False,nan,nan,490.18407379381995,0.0,0.0,0.0,0,0,nan,nan,440.1735,2,689.3376291283176,13561.500555637836,15288.914703420227,166.11827878419595,440.1735,-358.4794834239993,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,166.11827878419595,0.034248043317347765,440.1735,13906.599657077195,13041.394363934081,780.903,504.2161959493645,552.5222677793716
taxonomy_s9001,ep_0000185.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-45.02824399597836,45.02824399597836,412.714,791.526,378.812,0.03780839964747429,0.009149029850959778,682.349291061083,57960.0,0.4832416208104052,514.889166825767,22.744976368702766,682.349291061083,514.889166825767,57960.0,False,False,False,nan,nan,462.0277151467718,0.0,0.0,0.0,0,0,nan,nan,412.714,1,701.2948694807342,1224.2934590800728,1496.4678236496486,8.748927833698465,412.714,-336.6259089879955,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,8.748927833698465,0.02865936979651451,412.714,8191.419492941948,7652.306396121239,791.526,520.7223545065746,947.8254159515966
taxonomy_s9001,ep_0000212.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,56.729806596501454,56.729806596501454,-410.3945,304.1895,714.584,0.00793527439236641,0.04102450609207153,298.8747438410654,51960.0,0.4332166083041521,426.0003395563326,9.962491461368849,298.8747438410654,426.0003395563326,51960.0,False,False,False,nan,325.69251101652617,7.768499521650648,0.0,0.0,0.0,0,0,nan,nan,-410.3945,2,408.03387495925585,2553.3399800583256,2834.0233586465665,20.29138787571919,-410.3945,344.440720337831,2000,119940.0,-10.0,2000,0,0,0.0015,0.15000000596046448,0.15000000596046448,nan,nan,20.29138787571919,-0.033089231699705124,410.3945,3571.9875876317474,2964.7296814542165,304.1895,251.22003969645687,257.9213965025451
taxonomy_s9001,ep_0000213.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,43.94535623089038,43.94535623089038,479.053,793.1285,314.0755,0.000671225250698626,0.006931496784090996,403.1761404479436,6960.0,0.058029014507253625,214.3159497436178,13.439204681598122,403.1761404479436,214.3159497436178,6960.0,False,False,False,nan,nan,213.81830087546388,0.008711934089660645,5.807955828986334,30.0,3,0,2760.0,4080.0,421.8945,2,403.89133101862933,7360.091455522165,8183.093890639331,64.83959671600185,421.8945,-347.8743695049501,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.14128807187080383,0.0,115860.0,64.83959671600185,-0.0010116985067725182,421.8945,12842.122728208207,11718.784152716164,735.97,693.8981712370459,701.7218321845513
taxonomy_s9001,ep_0000234.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,140.67092918169348,140.67092918169348,-466.2405,318.388,784.6285,0.01708299294114113,0.015344472602009773,267.07251445347197,91200.0,0.7603801900950475,32.29564543341172,8.902417148449066,267.07251445347197,32.29564543341172,91200.0,False,False,False,nan,267.07251445347197,32.29564543341172,0.0,0.0,0.0,0,0,nan,nan,-466.2405,2,276.57840611660197,13761.11432381117,15267.011143663025,176.56882573304057,-466.2405,-344.4044680959444,2000,119940.0,-10.0,2000,0,0,0.001,0.15000000596046448,0.15000000596046448,nan,nan,-176.56882573304057,0.0017385203391313553,466.2405,13546.081155499722,12347.94438027589,318.388,204.11323201544582,239.45978888006323
taxonomy_s9001,ep_0000274.npz,M1_DRIFT_ORBIT_LOCK,safety_cap,-78.74641744133203,78.74641744133203,371.3585,699.954,328.5955,0.04414770007133484,0.01042192243039608,729.08761203095,54240.0,0.45222611305652827,583.8084423601377,24.302920401031667,729.08761203095,583.8084423601377,54240.0,False,False,False,nan,nan,569.3101642186883,0.0,0.0,0.0,0,0,nan,nan,371.3585,1,731.9358958365304,2586.242861261924,2803.677876338594,20.39550164372254,371.3585,-313.4887338694707,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.15000000596046448,nan,nan,20.39550164372254,0.03372577764093876,371.3585,8633.695671263853,7594.985066232979,699.954,387.78764358979464,1006.218743263158
compat_check,ep_0000001.npz,M2_WINDOW_BEYOND_HORIZON,safety_cap,-34.72527333013668,34.72527333013668,127.608,556.159,428.551,0.0450272262096405,0.005354362539947033,1904.7570521093364,600.0,0.0050025012506253125,2191.0713999335403,63.49190173697788,1904.7570521093364,2191.0713999335403,600.0,False,False,False,nan,nan,2191.0713999335403,0.014569446444511414,9.712963910382433,50.0,9,2,60.0,119940.0,191.0965,0,nan,3909.3090767760755,4607.20891120667,33.47280489385059,162.4535,-162.35914017316853,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.13543055951595306,0.2222222222222222,0.0,33.47280489385059,0.03344219271093607,191.0965,8196.296368904608,7657.156150482906,591.0045,320.90270775885324,364.5007134252321
taxonomy_s123,ep_0000107.npz,M2_WINDOW_BEYOND_HORIZON,safety_cap,115.78673893570254,115.78673893570254,-81.4235,717.921,799.3445,0.032625462859869,0.04870970919728279,1549.176822145232,116280.0,0.9694847423711856,2315.835351636415,51.639227404841066,1549.176822145232,2315.835351636415,116280.0,False,False,False,nan,nan,2308.877992731637,0.01604004204273224,10.693360936905506,55.0,11,0,1260.0,36660.0,-181.824,0,nan,2568.427324013909,2312.6398779744272,19.99223418940634,-181.824,141.7164146549476,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.13395996391773224,0.0,83280.0,-19.99223418940634,-0.006516993045806885,181.824,4469.054041100228,4418.867145480594,617.5205,322.6558382247295,388.22739352365306
taxonomy_s123,ep_0000160.npz,M2_WINDOW_BEYOND_HORIZON,safety_cap,-48.73674936683471,48.73674936683471,152.8395,782.289,629.4495,0.04302076995372772,0.005481738597154617,729.0059421626822,119940.0,1.0,1059.5748226273,24.300198072089405,729.0059421626822,1059.5748226273,119940.0,False,False,False,nan,nan,1059.5748226273,0.011635705828666687,7.757136910870198,40.0,8,3,7860.0,118980.0,189.994,0,nan,729.0059421626822,1059.5748226273,5.85580900245947,228.596,-180.9602793988371,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.1383643001317978,0.375,960.0,5.85580900245947,0.03220835700631142,200.041,5855.886539699852,5805.844742010489,858.0455,585.5820839831941,729.3931443425193
taxonomy_s123,ep_0000218.npz,M2_WINDOW_BEYOND_HORIZON,safety_cap,-68.43794277823913,68.43794277823913,77.5675,672.4515,594.884,0.022903744131326675,0.01172016654163599,4375.8183448043255,117420.0,0.9789894947473737,5023.3822803913245,145.8606114934775,4375.8183448043255,5023.3822803913245,117420.0,False,False,False,nan,nan,4482.031019003167,0.01604004204273224,10.693360936905506,55.0,11,0,4260.0,57360.0,174.495,0,nan,4561.577549779817,4482.031019003167,37.02558138011551,184.375,-140.31283445581576,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.13395996391773224,0.0,62580.0,37.02558138011551,0.023779521696269512,184.375,6863.641637852236,6262.2029871940895,779.259,525.427034679722,929.2482774794335
taxonomy_s777,ep_0000275.npz,M2_WINDOW_BEYOND_HORIZON,safety_cap,-57.793905965031065,57.793905965031065,133.7965,784.343,650.5465,0.003760488471016288,0.013840443454682827,5678.236058253264,119940.0,1.0,5998.526234510199,189.2745352751088,5678.236058253264,5998.526234510199,119940.0,False,False,False,nan,nan,5998.526234510199,0.014569446444511414,9.712963910382433,50.0,10,6,360.0,119700.0,162.729,0,nan,5678.236058253264,5998.526234510199,46.822122470053344,115.0695,-140.51014378852184,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.13543055951595306,0.6,240.0,46.822122470053344,-0.0024835411459207535,172.4285,9004.91810356875,8541.737737194515,765.616,684.5661492728516,803.7024238141096
taxonomy_s9001,ep_0000152.npz,M2_WINDOW_BEYOND_HORIZON,safety_cap,-51.691837768118184,51.691837768118184,103.9645,695.6265,591.662,0.02738780714571476,0.045994728803634644,2271.4136481781293,119400.0,0.9954977488744372,2927.5472294883207,75.71378827260432,2271.4136481781293,2927.5472294883207,119400.0,False,False,False,nan,nan,2900.0190114109514,0.01604004204273224,10.693360936905506,55.0,11,0,960.0,19560.0,208.667,0,nan,2435.128371772536,2913.6989044462625,19.673552326699195,208.667,-160.15367901551716,2000,119940.0,-10.0,2000,0,0,0.0,0.15000000596046448,0.13395996391773224,0.0,100380.0,19.673552326699195,-0.01836756244301796,208.667,6632.22078085244,6026.671314127292,800.329,602.2055006902851,640.3571805071374
taxonomy_s123,ep_0000059.npz,M3_CLOSURE_TRUNCATED,safety_cap,55.35702472593983,55.35702472593983,-107.5495,645.0915,752.641,0.01734841614961624,0.004018696956336498,86.59973748372451,117240.0,0.9774887443721861,146.22009889323297,2.9244019778646595,86.59973748372451,146.22009889323297,117240.0,True,False,False,nan,nan,104.0656460237784,0.06444380432367325,42.96253450860443,215.0,31,21,8760.0,117960.0,-190.055,2,132.351358340215,241.98170197816611,163.87674995483877,1.9021790739056323,52.587,238.41598634271682,2000,119940.0,-10.0,2000,0,1,0.0,0.15000000596046448,0.08555620163679123,0.6774193548387096,1980.0,-1.9021790739056323,0.01144158374518156,199.016,7909.782400275146,7345.317467823986,805.228,694.2815007419065,801.9758356604343
taxonomy_s123,ep_0000076.npz,M3_CLOSURE_TRUNCATED,safety_cap,-38.80283734520588,38.80283734520588,178.8935,731.6305,552.737,0.039499394595623016,0.02490333467721939,30.42978244356177,118560.0,0.9884942471235618,26.0478877312339,1.014326081452059,30.42978244356177,26.0478877312339,118560.0,True,True,False,nan,30.42978244356177,21.317832668716036,0.088055320084095,58.70354439006073,290.0,33,30,13260.0,118680.0,206.447,4,30.42978244356177,67.4740375630694,92.27361870432102,0.5534455015290218,8.896,-145.9252529987193,2000,119940.0,-10.0,2000,0,76,0.0125,0.15000000596046448,0.061944685876369476,0.9090909090909091,1260.0,0.5534455015290218,0.0022754520177841187,206.447,965.7731612411864,805.5021337220236,561.633,373.2124464582577,607.3652610000642
