rho_km,arc_min,burn,sigma_range_m,sigma_pos_m,sigma_vel_ms,frac_of_tb5_pos,frac_of_tb5_vel,frac_of_t3_pos,frac_of_t3_vel
2.6872948332673356,600.0,1 m/s radial,4.861977343515955,4.920607981212596,0.005606070437064845,0.000972395468703191,0.005606070437064845,0.00016206591145053183,0.00011212140874129689
2.6872948332673356,600.0,1 m/s prograde,3.8609756926420045,3.9366368160000667,0.004411130493412447,0.0007721951385284009,0.004411130493412447,0.0001286991897547335,8.822260986824894e-05
5.011105610535344,60.0,drift,17909.01386342531,17909.014023525644,20.26861200446026,3.581802772685062,20.26861200446026,0.5969671287808437,0.4053722400892052
5.011105610535344,60.0,1 m/s radial,40.825120773260736,40.90051843167572,0.04966430603771825,0.008165024154652147,0.04966430603771825,0.0013608373591086913,0.000993286120754365
5.011105610535344,60.0,1 m/s prograde,57.39629845340392,57.48503917591957,0.05193537438172184,0.011479259690680784,0.05193537438172184,0.0019132099484467974,0.0010387074876344368
5.011105610535344,120.0,drift,1577.1641279402427,1577.1648205992274,1.7850939079645955,0.3154328255880485,1.7850939079645955,0.05257213759800809,0.03570187815929191
5.011105610535344,120.0,1 m/s radial,15.11706799038532,15.209512000344656,0.017344853542635884,0.003023413598077064,0.017344853542635884,0.0005039022663461773,0.00034689707085271766
5.011105610535344,120.0,1 m/s prograde,14.934917029201351,15.123469665236039,0.012855597016608756,0.00298698340584027,0.012855597016608756,0.000497830567640045,0.0002571119403321751
5.011105610535344,180.0,drift,937.0648358856921,937.065729308528,1.0608473809200882,0.18741296717713843,1.0608473809200882,0.03123549452952307,0.021216947618401764
5.011105610535344,180.0,1 m/s radial,14.252748027265142,14.308521366656997,0.015150312482939347,0.0028505496054530284,0.015150312482939347,0.00047509160090883806,0.00030300624965878695
5.011105610535344,180.0,1 m/s prograde,9.049593079203232,9.258306651947043,0.008663588366122292,0.0018099186158406465,0.008663588366122292,0.00030165310264010776,0.00017327176732244583
5.011105610535344,300.0,drift,428.1310255215967,428.13261816968134,0.4846716452635067,0.08562620510431934,0.4846716452635067,0.014271034184053224,0.009693432905270133
5.011105610535344,300.0,1 m/s radial,12.837233502340146,12.914883658416207,0.013905264991172466,0.002567446700468029,0.013905264991172466,0.0004279077834113382,0.00027810529982344933
