geom,rho0_km,rho_over_r,window_min,burn_dir,dv_ms,k,D_final,t_D3_min,t_1sig_min,dbeta_max_mrad
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.03,2.0,109.0620945419047,8.0,6.0,21.663067303214767
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.1,0.5,59.48123711816744,11.0,8.0,12.206588730125034
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.1,2.0,109.85761567032743,8.0,6.0,21.736955115309264
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.3,0.5,64.1360558486733,11.0,8.0,12.642736762906281
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,0.3,2.0,112.1307028534463,8.0,6.0,21.94790156165949
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,1.0,0.5,80.50797398691617,11.0,8.0,14.474649931641714
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,1.0,2.0,120.0781638525129,8.0,6.0,22.715656436449017
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,3.0,0.5,125.86670805644616,10.0,8.0,20.508562879556713
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,3.0,2.0,142.52441212511684,8.0,6.0,25.204864167068575
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,10.0,0.5,258.26882104926227,10.0,8.0,39.5389175187244
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,10.0,2.0,215.20705925252076,8.0,6.0,34.77816777965881
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,25.0,0.5,443.34109306929986,10.0,8.0,71.95363079897632
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,radial,25.0,2.0,338.5937809130745,8.0,6.0,52.732622725999434
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.0,0.5,57.16746710645706,11.0,8.0,11.991926338069892
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.0,2.0,108.7211834854489,8.0,6.0,21.631392123964588
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.01,0.5,57.206931638386784,11.0,8.0,12.01093405023368
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.01,2.0,108.81301689455475,8.0,6.0,21.640338325210173
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.03,0.5,57.31411972616501,11.0,8.0,12.048735171122704
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.03,2.0,109.00000080925925,8.0,6.0,21.658171991689734
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.1,0.5,57.97790019997299,11.0,8.0,12.178819755531034
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.1,2.0,109.68865315946584,8.0,6.0,21.719977696454507
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.3,0.5,62.08840744622356,11.0,8.0,12.532205997433543
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,0.3,2.0,111.93400946405215,8.0,6.0,21.891430716323157
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,1.0,0.5,91.37619610265871,11.0,8.0,15.325351073146365
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,1.0,2.0,122.4527496742915,8.0,6.0,22.435713814548564
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,3.0,0.5,192.3525099404157,11.0,8.0,35.26296663267692
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,3.0,2.0,164.16252771787535,8.0,6.0,27.672858735589667
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,10.0,0.5,446.36727789183453,10.0,8.0,87.08057120803714
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,10.0,2.0,312.689144475245,8.0,6.0,58.73018596852031
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,25.0,0.5,767.2724995063866,10.0,8.0,167.91625931605302
A3_leo_100km,101.61433918643861,0.015038272507132407,90.0,prograde,25.0,2.0,534.9843209148261,8.0,6.0,108.04537346259657
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,radial,0.0,0.5,327.33671457465937,11.0,8.0,29.692192950316887
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,radial,0.0,2.0,526.294036292664,8.0,6.0,48.00080199927193
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,radial,0.01,0.5,327.35721839015366,11.0,8.0,29.692375687398354
A3_leo_100km,101.61433918643861,0.015038272507132407,360.0,radial,0.01,2.0,526.3084982876396,8.0,6.0,48.00086454725605
