gamma,gap_deg,da_km,warpset,N_decisions,S_simsteps,terminal_value_per_decision,frac_per_decision,terminal_value_semiMDP,frac_semiMDP,visible_10pct,visible_1pct
0.997,90.0,200.0,D16 (warp 5/30/60min),25,637,9.276389118674716,0.9276389118674716,1.4750809166955774,0.14750809166955775,1,1
0.997,90.0,340.0,coast-only (tau=1),441,426,2.658060217010933,0.2658060217010933,2.7805931002095994,0.27805931002095996,1,1
0.997,90.0,340.0,legacy D10 (warp-5min),105,426,7.2944343959901055,0.7294434395990106,2.7805931002095994,0.27805931002095996,1,1
0.997,90.0,340.0,D16 (warp 5/30min),40,426,8.867604854519607,0.8867604854519607,2.7805931002095994,0.27805931002095996,1,1
0.997,90.0,340.0,D16 (warp 5/30/60min),34,426,9.028911218085797,0.9028911218085798,2.7805931002095994,0.27805931002095996,1,1
0.997,180.0,50.0,coast-only (tau=1),4307,4304,2.399091700361136e-05,2.399091700361136e-06,2.4208137272981528e-05,2.4208137272981527e-06,0,0
0.997,180.0,50.0,legacy D10 (warp-5min),867,4304,0.7390983899362231,0.07390983899362231,2.4208137272981528e-05,2.4208137272981527e-06,0,1
0.997,180.0,50.0,D16 (warp 5/30min),152,4304,6.333795882488725,0.6333795882488725,2.4208137272981528e-05,2.4208137272981527e-06,1,1
0.997,180.0,50.0,D16 (warp 5/30/60min),81,4304,7.839851260833201,0.78398512608332,2.4208137272981528e-05,2.4208137272981527e-06,1,1
0.997,180.0,100.0,coast-only (tau=1),2224,2219,0.012532337588328082,0.001253233758832808,0.012722026432230443,0.0012722026432230443,0,0
0.997,180.0,100.0,legacy D10 (warp-5min),456,2219,2.5409270118391754,0.2540927011839175,0.012722026432230443,0.0012722026432230443,1,1
0.997,180.0,100.0,D16 (warp 5/30min),91,2219,7.607805594527743,0.7607805594527743,0.012722026432230443,0.0012722026432230443,1,1
0.997,180.0,100.0,D16 (warp 5/30/60min),55,2219,8.47683455813612,0.847683455813612,0.012722026432230443,0.0012722026432230443,1,1
0.997,180.0,200.0,coast-only (tau=1),1188,1178,0.2817397171413911,0.02817397171413911,0.2903330598045909,0.029033305980459088,0,1
0.997,180.0,200.0,legacy D10 (warp-5min),248,1178,4.746781720825708,0.4746781720825708,0.2903330598045909,0.029033305980459088,1,1
0.997,180.0,200.0,D16 (warp 5/30min),53,1178,8.52792535896166,0.852792535896166,0.2903330598045909,0.029033305980459088,1,1
0.997,180.0,200.0,D16 (warp 5/30/60min),34,1178,9.028911218085797,0.9028911218085798,0.2903330598045909,0.029033305980459088,1,1
0.997,180.0,340.0,coast-only (tau=1),767,752,0.9981284280041001,0.09981284280041,1.0441407618493541,0.10441407618493541,0,1
0.997,180.0,340.0,legacy D10 (warp-5min),171,752,5.9823534887093475,0.5982353488709348,1.0441407618493541,0.10441407618493541,1,1
0.997,180.0,340.0,D16 (warp 5/30min),51,752,8.579324089582347,0.8579324089582347,1.0441407618493541,0.10441407618493541,1,1
0.997,180.0,340.0,D16 (warp 5/30/60min),40,752,8.867604854519607,0.8867604854519607,1.0441407618493541,0.10441407618493541,1,1
0.999,30.0,50.0,coast-only (tau=1),799,795,4.495987473574326,0.44959874735743255,4.514016473420719,0.45140164734207194,1,1
0.999,30.0,50.0,legacy D10 (warp-5min),167,795,8.461289094829855,0.8461289094829856,4.514016473420719,0.45140164734207194,1,1
0.999,30.0,50.0,D16 (warp 5/30min),37,795,9.636582956114175,0.9636582956114175,4.514016473420719,0.45140164734207194,1,1
0.999,30.0,50.0,D16 (warp 5/30/60min),25,795,9.752977125970466,0.9752977125970466,4.514016473420719,0.45140164734207194,1,1
0.999,30.0,100.0,coast-only (tau=1),454,449,6.349384896673436,0.6349384896673436,6.381227284603982,0.6381227284603982,1,1
0.999,30.0,100.0,legacy D10 (warp-5min),102,449,9.029834676116286,0.9029834676116286,6.381227284603982,0.6381227284603982,1,1
0.999,30.0,100.0,D16 (warp 5/30min),32,449,9.684910757595267,0.9684910757595268,6.381227284603982,0.6381227284603982,1,1
0.999,30.0,100.0,D16 (warp 5/30/60min),26,449,9.743224148844496,0.9743224148844496,6.381227284603982,0.6381227284603982,1,1
0.999,30.0,200.0,coast-only (tau=1),287,277,7.504039662884385,0.7504039662884385,7.579494437963862,0.7579494437963862,1,1
0.999,30.0,200.0,legacy D10 (warp-5min),67,277,9.351638519212845,0.9351638519212845,7.579494437963862,0.7579494437963862,1,1
0.999,30.0,200.0,D16 (warp 5/30min),22,277,9.782294672887403,0.9782294672887404,7.579494437963862,0.7579494437963862,1,1
0.999,30.0,200.0,D16 (warp 5/30/60min),18,277,9.821521870514506,0.9821521870514505,7.579494437963862,0.7579494437963862,1,1
