gamma,gap_deg,da_km,warpset,N_decisions,S_simsteps,terminal_value_per_decision,frac_per_decision,terminal_value_semiMDP,frac_semiMDP,visible_10pct,visible_1pct
0.999,30.0,340.0,coast-only (tau=1),224,208,7.9922555636713,0.79922555636713,8.12122515222957,0.812122515222957,1,1
0.999,30.0,340.0,legacy D10 (warp-5min),64,208,9.379749638258454,0.9379749638258454,8.12122515222957,0.812122515222957,1,1
0.999,30.0,340.0,D16 (warp 5/30min),34,208,9.665550620990835,0.9665550620990835,8.12122515222957,0.812122515222957,1,1
0.999,30.0,340.0,D16 (warp 5/30/60min),32,208,9.684910757595267,0.9684910757595268,8.12122515222957,0.812122515222957,1,1
0.999,90.0,50.0,coast-only (tau=1),2202,2198,1.1046000883217792,0.11046000883217792,1.1090295568066741,0.11090295568066742,1,1
0.999,90.0,50.0,legacy D10 (warp-5min),446,2198,6.400409317729627,0.6400409317729627,1.1090295568066741,0.11090295568066742,1,1
0.999,90.0,50.0,D16 (warp 5/30min),81,2198,9.221563184394988,0.9221563184394989,1.1090295568066741,0.11090295568066742,1,1
0.999,90.0,50.0,D16 (warp 5/30/60min),45,2198,9.559759577813407,0.9559759577813408,1.1090295568066741,0.11090295568066742,1,1
0.999,90.0,100.0,coast-only (tau=1),1162,1157,3.1267799510412515,0.31267799510412514,3.1424608621522907,0.3142460862152291,1,1
0.999,90.0,100.0,legacy D10 (warp-5min),242,1157,7.849611281333892,0.7849611281333891,3.1424608621522907,0.3142460862152291,1,1
0.999,90.0,100.0,D16 (warp 5/30min),52,1157,9.493041681462653,0.9493041681462654,3.1424608621522907,0.3142460862152291,1,1
0.999,90.0,100.0,D16 (warp 5/30/60min),34,1157,9.665550620990835,0.9665550620990835,3.1424608621522907,0.3142460862152291,1,1
0.999,90.0,200.0,coast-only (tau=1),648,637,5.229213460638821,0.5229213460638821,5.287081437599488,0.5287081437599488,1,1
0.999,90.0,200.0,legacy D10 (warp-5min),140,637,8.692973418545458,0.8692973418545458,5.287081437599488,0.5287081437599488,1,1
0.999,90.0,200.0,D16 (warp 5/30min),35,637,9.655885070369845,0.9655885070369844,5.287081437599488,0.5287081437599488,1,1
