trial,n_intervals_analytic,n_components_bruteforce,span_ratio,support_rel_err
62,2,2,73617.54623491329,1.3447988003646017e-05
63,1,1,34859.43975108437,2.8400090349075287e-05
64,1,1,13839.532434428744,7.153511531374798e-05
65,2,2,105234.56137308392,9.407607934701334e-06
66,1,1,17287.43122534083,5.726786366603733e-05
67,1,1,6688.66722801718,0.0001480170605658417
68,1,1,4714.0263272207885,0.00021003411822126362
69,2,2,68610.11812084519,1.4429501513222427e-05
70,2,2,96402.30842129298,1.0269480297178942e-05
71,1,1,5616.927552824049,0.00017627103292841372
72,1,1,12787.209371438159,7.742449152108917e-05
73,1,1,5133.1930795245435,0.00019286874803574078
74,2,2,122815.42107171826,8.060894022102701e-06
75,1,1,4273.871548372312,0.0002316754417317723
76,2,2,114086.45743877081,8.677673228793482e-06
77,1,1,34707.77484562179,2.8523900624635573e-05
78,2,2,104769.48555961232,9.449333380521855e-06
79,1,1,4108.917051988272,0.00024097640558168697
80,1,1,6557.991963380273,0.00015096283026995975
81,1,1,7113.758600160363,0.00013916887573444945
82,2,2,93270.79434877016,1.0614280749637927e-05
83,2,2,115974.09769436263,8.536395316514135e-06
84,2,2,131829.01329589493,7.509761923871898e-06
85,1,1,29311.38777810618,3.377591419956247e-05
86,1,1,29656.723521724503,3.338225946615824e-05
87,1,1,6880.53740439801,0.00014389776749439633
88,2,2,53375.376521269434,1.854789511699241e-05
89,1,1,5702.78931067043,0.00017361101194534557
90,2,2,121927.77855958522,8.119586625561503e-06
91,1,1,4221.602042935723,0.00023450890398623024
92,2,2,131773.3858800834,7.512908734482896e-06
93,1,1,19181.74449555318,5.161344654733564e-05
94,1,1,4944.692651468459,0.0002002254381219183
95,1,1,18118.344406251035,5.4640878098255904e-05
96,1,1,13942.97567087146,7.100530771116603e-05
97,1,1,10257.506133783278,9.651536927361778e-05
98,1,1,15267.191500419349,6.484529280083349e-05
99,2,2,125154.91573214358,7.910232614196104e-06
100,1,1,34194.08371555708,2.8952808846994255e-05
101,1,1,6823.308086675811,0.00014509250285660825
102,1,1,26350.076565969397,3.7571279468402884e-05
103,1,1,7788.240616217348,0.0001271229664149365
104,2,2,45049.22487485712,2.197604115729464e-05
105,2,2,96705.93832266018,1.0237268236043293e-05
106,2,2,84228.38578698467,1.175382291318848e-05
107,1,1,4203.033757736348,0.00023554920717623043
108,1,1,18236.837311243486,5.428636038591841e-05
109,1,1,32030.15650942192,3.090844841668809e-05
110,1,1,20919.02781991531,4.7326335334133014e-05
111,1,1,4448.221635914612,0.00022256232216061341
112,2,2,121018.88091024845,8.180545706181497e-06
113,1,1,4646.433951844499,0.00021308137314004146
114,1,1,7042.133135398808,0.00014058607204917563
115,1,1,5580.301354683982,0.00017742638655492924
116,1,1,14148.147099100439,6.997598520868397e-05
117,1,1,4769.283926335275,0.00020760214932063548
118,1,1,5288.4412559944485,0.00018721922663717563
119,1,1,36428.54837419552,2.7176850115494613e-05
120,1,1,5491.859318759171,0.00018027613920658668
121,2,2,86203.49364739435,1.1484543946814468e-05
122,1,1,5241.4822961228065,0.00018888419127166022
123,1,1,35093.03550156285,2.821089961781817e-05
124,2,2,96060.90120017022,1.0305971649721806e-05
