alt_km,i_deg,e,period_min,RAAN_dot_deg_day,argp_dot_deg_day,Mdot_minus_n_deg_day,Mdot_rel_corr,v_circ,dv_per_deg_plane
400.0,90.0,0.3,92.41425159967987,-5.97692063781415e-16,-4.880526076559801,-4.6557251479682895,-0.0008299678919816712,7672.598648385013,133.91040893981537
400.0,97.4,0.0,92.41425159967987,1.0410712012701244,-3.7063501778809065,-3.8404355643281587,-0.0006846276591322936,7672.598648385013,133.91040893981537
400.0,97.4,0.3,92.41425159967987,1.257180535285744,-4.475727783940232,-4.424033371970529,-0.0007886646086471154,7672.598648385013,133.91040893981537
800.0,0.0,0.0,100.72315336143406,-6.612036424933493,13.224072849866985,6.612036424933653,0.0012846935934799008,7455.538661189395,130.12204557273705
800.0,0.0,0.3,100.72315336143406,-7.984586915751108,15.969173831502216,7.616810466055311,0.0014799173778886287,7455.538661189395,130.12204557273705
800.0,28.5,0.0,100.72315336143406,-5.810770759775796,9.460493741150103,4.353888959703024,0.0008459441076520493,7455.538661189395,130.12204557273705
800.0,28.5,0.3,100.72315336143406,-7.016991619098896,11.424337327798698,5.015511843107675,0.0009744949239186405,7455.538661189395,130.12204557273705
800.0,45.0,0.0,100.72315336143406,-4.67541579352293,4.959027318700122,1.6530091062328767,0.0003211733983698709,7455.538661189395,130.12204557273705
800.0,45.0,0.3,100.72315336143406,-5.64595555310099,5.988440186813333,1.9042026165143642,0.0003699793444722614,7455.538661189395,130.12204557273705
800.0,51.6,0.0,100.72315336143406,-4.107051748466773,3.0716969801539777,0.5206109031053253,0.00010115272344736183,7455.538661189395,130.12204557273705
800.0,51.6,0.3,100.72315336143406,-4.959608439158041,3.709330974705926,0.599723643470501,0.00011652402877267993,7455.538661189395,130.12204557273705
800.0,63.4,0.0,100.72315336143406,-2.960599398384941,0.008070002725384131,-1.3175652833516045,-0.00025599793614723183,7455.538661189395,130.12204557273705
800.0,63.4,0.3,100.72315336143406,-3.575171354166092,0.009745203146219215,-1.5177842944270636,-0.0002948997304343231,7455.538661189395,130.12204557273705
800.0,90.0,0.0,100.72315336143406,-4.048704621820256e-16,-3.3060182124667463,-3.3060182124668267,-0.0006423467967399504,7455.538661189395,130.12204557273705
800.0,90.0,0.3,100.72315336143406,-4.889149404444215e-16,-3.992293457875554,-3.8084052330276554,-0.0007399586889443143,7455.538661189395,130.12204557273705
800.0,97.4,0.0,100.72315336143406,0.8516011759418854,-3.031812008712773,-3.141494490214605,-0.0006103804616550652,7455.538661189395,130.12204557273705
800.0,97.4,0.3,100.72315336143406,1.0283796352395669,-3.6611665363033126,-3.6188802623482306,-0.0007031347061365115,7455.538661189395,130.12204557273705
2000.0,0.0,0.0,127.03568771420369,-3.8471894169606475,7.694378833921295,3.8471894169606937,0.0009427668853210033,6900.49454511403,120.43482120854657
2000.0,0.0,0.3,127.03568771420369,-4.6458029428337735,9.291605885667547,4.4318135492271775,0.0010860310224675932,6900.49454511403,120.43482120854657
2000.0,28.5,0.0,127.03568771420369,-3.380975895277026,5.504553977187324,2.533294502920238,0.000620792456329252,6900.49454511403,120.43482120854657
2000.0,28.5,0.3,127.03568771420369,-4.082811128217639,6.64720924669403,2.918257378419872,0.0007151289216717161,6900.49454511403,120.43482120854657
2000.0,45.0,0.0,127.03568771420369,-2.7203737252419944,2.8853920627204865,0.9617973542401734,0.00023569172133025082,6900.49454511403,120.43482120854657
2000.0,45.0,0.3,127.03568771420369,-3.2850787649341804,3.4843522071253314,1.10795338730666,0.00027150775561686545,6900.49454511403,120.43482120854657
2000.0,51.6,0.0,127.03568771420369,-2.3896731666553133,1.787255749166147,0.30291556610737064,7.423049239928079e-05,6900.49454511403,120.43482120854657
2000.0,51.6,0.3,127.03568771420369,-2.8857301855516404,2.158260776676908,0.34894702720589416,8.551065890611054e-05,6900.49454511403,120.43482120854657
2000.0,63.4,0.0,127.03568771420369,-1.7226140240812677,0.0046955018219298,-0.7666205822990108,-0.00018786298782449482,6900.49454511403,120.43482120854657
2000.0,63.4,0.3,127.03568771420369,-2.0802004879619225,0.005670211112099746,-0.8831172878492404,-0.00021641090276664857,6900.49454511403,120.43482120854657
2000.0,90.0,0.0,127.03568771420369,-2.3557241025972147e-16,-1.9235947084803238,-1.9235947084803469,-0.00047138344266050165,6900.49454511403,120.43482120854657
2000.0,90.0,0.3,127.03568771420369,-2.8447338517053674e-16,-2.3229014714168867,-2.215906774613857,-0.0005430155112338624,6900.49454511403,120.43482120854657
2000.0,97.4,0.0,127.03568771420369,0.495501056104333,-1.7640488231658984,-1.8278671772916717,-0.0004479250847173376,6900.49454511403,120.43482120854657
2000.0,97.4,0.3,127.03568771420369,0.5983589616040733,-2.130236472848568,-2.105632357688673,-0.0005159923893369226,6900.49454511403,120.43482120854657
8000.0,0.0,0.0,285.75261549712826,-0.5803096643801001,1.1606193287602002,0.5803096643802169,0.00031987848070005344,5266.540074205392,91.9172978223245
8000.0,0.0,0.3,285.75261549712826,-0.7007724482310109,1.4015448964620218,0.6684943096405487,0.00036848764935326763,5266.540074205392,91.9172978223245
8000.0,28.5,0.0,285.75261549712826,-0.5099860637003538,0.8303063678074151,0.3821218878084104,0.00021063335046287324,5266.540074205392,91.9172978223245
8000.0,28.5,0.3,285.75261549712826,-0.6158508195874336,1.002664373635328,0.4401896491967556,0.0002426414806572845,5266.540074205392,91.9172978223245
8000.0,45.0,0.0,285.75261549712826,-0.41034089887125835,0.43523224828507523,0.14507741609492006,7.996962017493939e-05,5266.540074205392,91.9172978223245
8000.0,45.0,0.3,285.75261549712826,-0.4955209502128467,0.5255793361732584,0.16712357741000303,9.212191233824294e-05,5266.540074205392,91.9172978223245
8000.0,51.6,0.0,285.75261549712826,-0.3604580599037505,0.2695894772915519,0.04569175349897302,2.5186223126893524e-05,5266.540074205392,91.9172978223245
8000.0,51.6,0.3,285.75261549712826,-0.43528325069888957,0.3255518382943508,0.052635134457298505,2.9013555822176057e-05,5266.540074205392,91.9172978223245
8000.0,63.4,0.0,285.75261549712826,-0.25983892598685626,0.0007082690221509577,-0.11563697146283422,-6.374144877251478e-05,5266.540074205392,91.9172978223245
8000.0,63.4,0.3,285.75261549712826,-0.31377723220245896,0.0008552940733618617,-0.13320932280084644,-7.342768595475137e-05,5266.540074205392,91.9172978223245
8000.0,90.0,0.0,285.75261549712826,-3.5533718649868225e-17,-0.29015483219005006,-0.29015483219010846,-0.00015993924035002672,5266.540074205392,91.9172978223245
8000.0,90.0,0.3,285.75261549712826,-4.290993678283809e-17,-0.35038622411550546,-0.33424715482027434,-0.00018424382467663382,5266.540074205392,91.9172978223245
8000.0,97.4,0.0,285.75261549712826,0.07474132942356031,-0.2660889469097811,-0.2757153010219869,-0.00015197987731406404,5266.540074205392,91.9172978223245
8000.0,97.4,0.3,285.75261549712826,0.09025640553503236,-0.32132465512592806,-0.3176133728718729,-0.00017507494601659402,5266.540074205392,91.9172978223245
20200.0,0.0,0.0,718.4086936595843,-0.06752065058994981,0.13504130117989963,0.06752065058999855,9.357141663851484e-05,3873.1555420221052,67.59845865635928
20200.0,0.0,0.3,718.4086936595843,-0.08153683201298129,0.16307366402596257,0.07778118041656278,0.00010779065627770699,3873.1555420221052,67.59845865635928
20200.0,28.5,0.0,718.4086936595843,-0.05933830319651713,0.09660846541858371,0.04446094913320525,6.16148387068889e-05,3873.1555420221052,67.59845865635928
20200.0,28.5,0.3,718.4086936595843,-0.07165596328525191,0.11666280089190159,0.05121729538747216,7.097791333350873e-05,3873.1555420221052,67.59845865635928
20200.0,45.0,0.0,718.4086936595843,-0.04774430990228098,0.05064048794246237,0.016880162647432546,2.3392854159535733e-05,3873.1555420221052,67.59845865635928
20200.0,45.0,0.3,718.4086936595843,-0.057655246832847444,0.06115262400973598,0.01944529510410715,2.694766406938026e-05,3873.1555420221052,67.59845865635928
20200.0,51.6,0.0,718.4086936595843,-0.041940302236894704,0.031367488801646595,0.005316363163000492,7.367518354458177e-06,3873.1555420221052,67.59845865635928
20200.0,51.6,0.3,718.4086936595843,-0.05064642221578879,0.03787886583944764,0.0061242449343718594,8.487096456314456e-06,3873.1555420221052,67.59845865635928
20200.0,63.4,0.0,718.4086936595843,-0.030232984918436217,8.240907933081834e-05,-0.013454684670444509,-1.8645760875184556e-05,3873.1555420221052,67.59845865635928
20200.0,63.4,0.3,718.4086936595843,-0.036508857527395494,9.951585476490557e-05,-0.015499276838287676,-2.147919603792921e-05,3873.1555420221052,67.59845865635928
20200.0,90.0,0.0,718.4086936595843,-4.134447431066445e-18,-0.033760325294974906,-0.033760325294999276,-4.678570831925742e-05,3873.1555420221052,67.59845865635928
20200.0,90.0,0.3,718.4086936595843,-4.9926910168656476e-18,-0.04076841600649064,-0.0388905902082143,-5.389532813876052e-05,3873.1555420221052,67.59845865635928
20200.0,97.4,0.0,718.4086936595843,0.008696362474037761,-0.030960192312728844,-0.032080245505661076,-4.445742142361251e-05,3873.1555420221052,67.59845865635928
20200.0,97.4,0.3,718.4086936595843,0.010501584922156453,-0.03738702126884294,-0.03695520321087712,-5.121323160233547e-05,3873.1555420221052,67.59845865635928
35786.0,0.0,0.0,1435.701905557181,-0.013422095478182352,0.026844190956364703,0.013422095478179604,3.717231492012515e-05,3074.921541506354,53.666823973339795
35786.0,0.0,0.3,1435.701905557181,-0.01620830271486819,0.03241660542973638,0.015461735348173819,4.282107041395443e-05,3074.921541506354,53.666823973339795
35786.0,28.5,0.0,1435.701905557181,-0.011795567194009435,0.019204318020032758,0.008838171716393308,2.447719902559308e-05,3074.921541506354,53.666823973339795
