cls,nav_seed,component,block,z,rho
E3-ecc,20260885,range,pos,2736.6206992583434,17696159.208658773
E3-ecc,20260885,range,vel,3154.1614299085427,17696159.208658773
E3-ecc,20260885,range,pos,-0.28439334302938607,994388.8439477193
E3-ecc,20260885,range,vel,-1.2300267793083945,994388.8439477193
E3-ecc,20260885,range,pos,0.6044758542250153,225353.51692314833
E3-ecc,20260885,range,vel,0.01674978715661456,225353.51692314833
E3-ecc,20260885,range,pos,0.6760945750935471,101036.22492123488
E3-ecc,20260885,range,vel,-0.6497416723358029,101036.22492123488
E3-ecc,20260885,range,pos,1.4366572376701714,9407739.078079684
E3-ecc,20260885,range,vel,-1.9379906292350295,9407739.078079684
E3-ecc,20260885,range,pos,1.1102186481057148,2697135.1855858597
E3-ecc,20260885,range,vel,-0.6396791268464104,2697135.1855858597
E3-ecc,20260885,range,pos,0.5440353296915869,322803.4192478714
E3-ecc,20260885,range,vel,-0.3935798202560254,322803.4192478714
E3-ecc,20260885,range,pos,-394126.054444493,11018172.755490474
E3-ecc,20260885,range,vel,4151.964329243491,11018172.755490474
E3-ecc,20260885,inplane,pos,-2185.835534107759,17696159.208658773
E3-ecc,20260885,inplane,vel,1276.5181211413671,17696159.208658773
E3-ecc,20260885,inplane,pos,0.5068897899186456,994388.8439477193
E3-ecc,20260885,inplane,vel,-0.6135891831346727,994388.8439477193
E3-ecc,20260885,inplane,pos,-0.7870936573379264,225353.51692314833
E3-ecc,20260885,inplane,vel,0.29196421241725345,225353.51692314833
E3-ecc,20260885,inplane,pos,-0.34618925710003035,101036.22492123488
E3-ecc,20260885,inplane,vel,-0.2667335281026341,101036.22492123488
E3-ecc,20260885,inplane,pos,0.6179193642403655,9407739.078079684
E3-ecc,20260885,inplane,vel,1.39216014216217,9407739.078079684
E3-ecc,20260885,inplane,pos,0.5308805369695073,2697135.1855858597
E3-ecc,20260885,inplane,vel,1.0770007261397692,2697135.1855858597
E3-ecc,20260885,inplane,pos,0.22579895663567426,322803.4192478714
E3-ecc,20260885,inplane,vel,-0.4119130312244583,322803.4192478714
E3-ecc,20260885,inplane,pos,-5723.979342965118,11018172.755490474
E3-ecc,20260885,inplane,vel,-108457.85245302912,11018172.755490474
E3-ecc,20260885,plane,pos,4258.428107649817,17696159.208658773
E3-ecc,20260885,plane,vel,2114.0295128369166,17696159.208658773
E3-ecc,20260885,plane,pos,-1.551886148784888,994388.8439477193
E3-ecc,20260885,plane,vel,1.2299586199707329,994388.8439477193
E3-ecc,20260885,plane,pos,0.2068065132393506,225353.51692314833
E3-ecc,20260885,plane,vel,-0.5985207678925557,225353.51692314833
E3-ecc,20260885,plane,pos,-1.4649727575693283,101036.22492123488
