v_tol_ms,da_m,di_deg,dv_ms,dv_axis,burn_frac,orbits,sigma_drift_m,sigma_range_m,gain
10.0,6014.087963297177,0.0,1.0,pro,0.1,1.0,456.7992682129591,276.9739713609312,2.7200249187669634
10.0,6014.087963297177,0.0,1.0,rad,0.1,1.0,456.7992682129591,120.42312631862501,14.389012949414818
10.0,6014.087963297177,0.0,1.0,nor,0.1,1.0,456.7992682129591,104.08435900276848,19.261045406119212
10.0,6014.087963297177,0.0,1.0,perp_los,0.1,1.0,456.7992682129591,168.9341224823365,7.311660850214793
10.0,6014.087963297177,0.0,1.0,pro,0.2,1.0,456.7992682129591,173.54378555368817,6.928395418199449
10.0,6014.087963297177,0.0,1.0,rad,0.2,1.0,456.7992682129591,83.3145864608525,30.061366124331844
10.0,6014.087963297177,0.0,1.0,nor,0.2,1.0,456.7992682129591,66.58022488947852,47.071743389664455
10.0,6014.087963297177,0.0,1.0,perp_los,0.2,1.0,456.7992682129591,154.1723641331699,8.77885214957369
10.0,6014.087963297177,0.0,1.0,pro,0.35,1.0,456.7992682129591,63.49862887970063,51.75140006988373
10.0,6014.087963297177,0.0,1.0,rad,0.35,1.0,456.7992682129591,110.26520100372471,17.16223530138196
10.0,6014.087963297177,0.0,1.0,nor,0.35,1.0,456.7992682129591,69.97462236780767,42.61570448749457
10.0,6014.087963297177,0.0,1.0,perp_los,0.35,1.0,456.7992682129591,174.56429034976617,6.847625247588908
10.0,6014.087963297177,0.0,1.0,pro,0.5,1.0,456.7992682129591,53.81505350083882,72.05153644720387
10.0,6014.087963297177,0.0,1.0,rad,0.5,1.0,456.7992682129591,205.50593049563963,4.940854677876251
10.0,6014.087963297177,0.0,1.0,nor,0.5,1.0,456.7992682129591,88.52404078675744,26.62737409242254
10.0,6014.087963297177,0.0,1.0,perp_los,0.5,1.0,456.7992682129591,98.42043647820773,21.541712507118667
10.0,6014.087963297177,0.0,1.0,pro,0.75,1.0,456.7992682129591,153.66751742145757,8.836629550270649
10.0,6014.087963297177,0.0,1.0,rad,0.75,1.0,456.7992682129591,300.22627623764856,2.315012816388357
10.0,6014.087963297177,0.0,1.0,nor,0.75,1.0,456.7992682129591,144.4610739223371,9.998828532950615
10.0,6014.087963297177,0.0,1.0,perp_los,0.75,1.0,456.7992682129591,113.34386766269374,16.242569839038968
10.0,6014.087963297177,0.0,1.0,pro,0.95,1.0,456.7992682129591,475.9439392440064,0.9211687520897147
10.0,6014.087963297177,0.0,1.0,rad,0.95,1.0,456.7992682129591,510.8574228933244,0.7995605952846688
10.0,6014.087963297177,0.0,1.0,nor,0.95,1.0,456.7992682129591,436.5993025497291,1.0946738000579195
10.0,6014.087963297177,0.0,1.0,perp_los,0.95,1.0,456.7992682129591,387.0846157575569,1.3926403583917912
10.0,6014.087963297177,0.0416939,1.0,pro,0.0,1.0,435.1525727599964,435.1525727599964,1.0
10.0,6014.087963297177,0.0416939,1.0,rad,0.0,1.0,435.1525727599964,435.1525727599964,1.0
10.0,6014.087963297177,0.0416939,1.0,nor,0.0,1.0,435.1525727599964,435.1525727599964,1.0
10.0,6014.087963297177,0.0416939,1.0,perp_los,0.0,1.0,435.1525727599964,435.1525727599964,1.0
