rung,ep,cause,cause_name,success,steps,ep_reward,init_attempts,di_rel_deg,da0_km,de0,e_sat0,e_tgt0,e_max_pair,a_sat_km,a_tgt_km,band_pos,dlam0_deg,rp_sat_km,rp_tgt_km,dv_spent,dv_frac_budget,fuel_end,exhausted,n_decisions,n_normal,n_combined,n_plane,frac_plane,n_warp,frac_warp,n_inplane,n_coast,dv_normal_cmd,di_end_deg,de_end,da_end_km,r_min_km,relv_at_rmin,r_min_velok_km,need_seq,need_comb,margin_seq,margin_comb,feas_seq,feas_comb,dv_pl,dv_hoh,dv_e,t_hoh_steps
W3,15,4,safety_cap,0,3000,0.0,1,0.34970541870038835,122.349,0.16179228693904163,0.07931726425886154,0.08250857889652252,0.08250857889652252,1815.2925,1937.6415,0.8913485294117647,-123.19953896136029,1165.9781744771637,1252.1072972743289,454.0,0.9495327962156305,0.008168332278728485,0,227,0,0,0,0.0,62,0.27312775330396477,100,65,0.0,0.34970541870038835,0.03422512790108293,9.3635,295.09525,228.53692626953125,nan,654.2717913232865,615.3982224351158,-176.14191333548013,-137.26834444730946,0,0,40.316846183703866,51.566469316984296,562.3884758225983,62.11702021236705
W3,16,1,success,1,1388,6.962859153747559,2,0.7933988294135008,52.206,0.03433800721557322,0.06292066723108292,0.03708168864250183,0.06292066723108292,1909.544,1857.338,0.9467905882352942,3.2177128271240223,1388.5266464836598,1552.2173322387337,281.0660171508789,0.5878444960054282,0.06478896737098694,0,27,3,3,6,0.2222222222222222,11,0.4074074074074074,10,0,150.0,0.10054636099811146,0.0030287428857577285,19.144,29.88186328125,35.78155517578125,29.88186328125,234.2007299780991,173.19707211844337,243.92914800970726,304.932805869363,1,1,92.91754247930831,21.97502806231566,119.30815943647514,62.195825437894314
W3,17,4,safety_cap,0,3000,0.0,2,0.6260054070084746,118.164,0.1672839039324056,0.10674163699150085,0.06231298670172691,0.10674163699150085,1891.726,1773.562,0.9363094117647058,-40.68171074618785,1009.7491007477641,1266.0500164026096,461.35533905029297,0.9649163549282708,0.0056855324655771255,0,82,1,0,1,0.012195121951219513,38,0.4634146341463415,37,6,1.0,0.45099803122617665,0.046744622116710814,3.0505,361.579,323.5769348144531,nan,706.374376965602,637.8006900672406,-228.24449897779562,-159.6708120794342,0,0,73.14391555274355,50.2021497633193,583.0283116495391,61.622589330820645
W3,18,1,success,1,1182,5.907716274261475,1,0.7820807257111138,390.0075,0.07043607203143158,0.06258443742990494,0.01053676102310419,0.06258443742990494,1545.5915,1935.599,0.7327008823529412,74.43355718542796,1050.1360746101327,1848.0743514222438,385.35533905029297,0.8059637282490022,0.031042538583278656,0,6,0,0,0,0.0,6,1.0,0,0,0.0,0.02677885554109921,0.003667147032517503,11.8435,12.9757509765625,81.50382232666016,27.99878125,509.95001130800244,432.9081809722999,-31.820133320196078,45.22169701550649,0,1,94.51594536412192,168.55692172183956,246.87714422204095,60.5883524078878
W3,19,1,success,1,858,6.3079986572265625,2,0.8444756777179437,337.56,0.016153525598325506,0.04544639214873314,0.03145189210772514,0.04544639214873314,1287.0985,1624.6585,0.5806461764705882,-64.82205440591129,939.0655524553749,1373.1799115277845,345.35533905029297,0.7223044510493872,0.04412753880023956,0,5,0,0,0,0.0,5,1.0,0,0,0.0,0.06408147512329432,0.0025354528747038954,21.912,29.685115234375,35.769317626953125,29.685115234375,312.5703796444662,261.4245202322217,165.55949834334018,216.70535775558466,1,1,101.01634642041859,153.9156327247272,57.6384004993204,57.42653632452228
W3,20,1,success,1,1344,6.100066184997559,1,0.9152218700064367,390.8505,0.06219807417442538,0.04259449988603592,0.033132076263427734,0.04259449988603592,1397.9665,1007.116,0.6458626470588236,-0.8432949967043087,1067.051257301133,762.6636980075837,366.0660171508789,0.7656204600546102,0.037374768406152725,0,8,0,0,0,0.0,6,0.75,2,0,0.0,0.14440100462677993,0.0031110180299901854,2.8245,26.099974609375,49.523433685302734,26.099974609375,522.9582279791882,438.28975345107676,-44.828349991381856,39.840124536729604,0,1,110.09937404499033,187.24470475231664,225.61414918188123,54.6610823836975
W3,21,1,success,1,775,7.336546897888184,1,0.7933659591281201,162.592,0.02206690960926312,0.032737359404563904,0.05295674130320549,0.05295674130320549,1209.9005,1372.4925,0.5352355882352942,-106.54917749475906,961.7218357212618,962.422370894188,245.0,0.512413072847642,0.07618376612663269,0,5,0,0,0,0.0,5,1.0,0,0,0.0,0.023345586583103584,0.0028946079969874106,3.682,29.545115234375,26.165891647338867,29.545115234375,250.60587046421347,200.07105878798265,227.5240075235929,278.0588191998237,1,1,94.49682510808192,76.52907637482292,79.57996898130862,55.62367291663123
W3,22,4,safety_cap,0,3000,0.0,1,0.7802907892617473,236.322,0.21677047884091935,0.14441253244876862,0.09986589103937149,0.14441253244876862,1412.551,1176.229,0.6544417647058823,-122.54748422229038,288.5086886458546,422.51825103681534,463.0,0.9683561335855438,0.005129525903612375,0,202,2,0,2,0.009900990099009901,122,0.6039603960396039,70,8,2.0,0.7894597846139605,0.09735913091784236,12.5415,669.2071875,697.8176879882812,nan,988.5773582636133,898.5986147370486,-510.4474802758069,-420.4687367492422,0,0,95.83197656950905,111.16814659724949,781.5772350968548,55.658451333053485
W3,23,1,success,1,1647,6.31157922744751,1,0.9159104384521386,62.3175,0.03293417323576504,0.03267170861363411,0.043433960527181625,0.043433960527181625,877.7085,815.391,0.3398285294117647,-144.9357475762633,640.8808080628272,503.2575769731067,345.0,0.7215612658466796,0.0442429818212986,0,8,0,0,0,0.0,8,1.0,0,0,0.0,0.031391019151903,0.0030530987266645764,11.348,29.184712890625,31.732036590576172,29.184712890625,269.30593071224985,199.90915800298137,208.82394727555652,278.220719984825,1,1,114.84904625515438,32.0824311308164,122.3744533262791,50.852746497195604
W3,24,4,safety_cap,0,3000,0.0,1,0.2396760070503753,58.641,0.14992545097266596,0.10192426294088364,0.04809913784265518,0.10192426294088364,1821.958,1880.599,0.8952694117647059,80.79131821045621,986.8967945443839,1483.7042022766843,460.0,0.9620816877955727,0.006143494509160519,0,266,0,0,0,0.0,71,0.2669172932330827,87,108,0.0,0.2396760070503753,0.019643875523762785,3.487,160.071578125,130.05242919921875,nan,574.387944678261,547.4962035610941,-96.2580666904546,-69.36632557328778,0,0,27.622144638368376,24.82870431987525,521.9370957200174,61.832671213798804
W3,25,4,safety_cap,0,3000,0.0,1,0.7540004306510161,370.138,0.19851147437808941,0.09579898416996002,0.10597939044237137,0.10597939044237137,1923.235,1553.097,0.9548441176470588,23.416936518471648,1128.6557125330717,713.3060301337764,464.0,0.9704476155155343,0.004791306797415018,0,95,0,0,0,0.0,78,0.8210526315789474,16,1,0.0,0.7540004306510161,0.07120161707284692,2.4005,547.76,500.3684997558594,nan,944.1637248240168,861.4938387204944,-466.0338468362104,-383.36396073268804,0,0,88.24242411316057,160.03800479758615,695.88329591327,60.56113706422909
W3,26,4,safety_cap,0,3000,0.0,1,0.9173368807716132,376.002,0.20032993037687283,0.12610629200935364,0.12446652352809906,0.12610629200935364,1189.4955,1565.4975,0.5232326470588236,-39.30606079542766,236.06944674159587,577.6692471855506,453.35533905029297,0.9481844994883478,0.008385642431676388,0,98,0,0,0,0.0,58,0.5918367346938775,36,4,0.0,0.7429592697751318,0.08890328483597379,4.104,274.65471875,1022.5083618164062,nan,997.0021214943345,900.0401619299633,-518.8722435065281,-421.910283942157,0,0,104.52617236137979,174.05992323926125,718.4160258936934,56.56605562415671
W3,27,1,success,1,1335,6.4631123542785645,3,0.3224051525878474,225.062,0.059996464896873276,0.09306780993938446,0.13721904158592224,0.13721904158592224,1613.838,1388.776,0.7728458823529412,65.19658292873467,870.7066146192253,323.98697435855865,330.0,0.6901890368968239,0.04910358786582947,0,9,0,0,0,0.0,9,1.0,0,0,0.0,0.033151387018661396,0.002932715397194484,1.6835,28.8153046875,43.35779571533203,28.8153046875,352.20167343057005,318.36838138927027,125.92820455723631,159.7614965985361,1,1,37.019624802717736,101.72350460212279,213.45854402572957,57.927230802603084
W3,28,1,success,1,724,6.867349624633789,1,0.8849876107585521,170.2915,0.036101917892547124,0.020038528367877007,0.025637023150920868,0.025637023150920868,1929.5925,1759.301,0.9585838235294117,136.39419516975994,1763.260841718563,1550.864285039045,290.35533905029297,0.6072729448999166,0.06183138117194176,0,12,0,0,0,0.0,12,1.0,0,0,0.0,0.04007169933415328,0.0032132595746780044,17.778,27.971916015625,37.48368835449219,27.971916015625,303.6079730207526,236.44178217623707,174.52190496705379,241.6880958115693,1,1,105.67948411946851,72.19424519830537,125.73424370297872,61.75562366677445
W3,29,1,success,1,2115,5.611056327819824,2,0.9323330947029054,236.9105,0.059116900016736425,0.031623777002096176,0.04675382748246193,0.04675382748246193,1514.4075,1277.497,0.7143573529411764,-126.98484251983291,1265.0411316493432,919.9004907618723,415.35533905029297,0.8687081861487135,0.021111372858285904,0,14,0,0,0,0.0,14,1.0,0,0,0.0,0.10792657382940196,0.00197928752911818,7.551,17.426767578125,54.13643264770508,29.46958984375,433.3726596301612,348.978874988437,44.75721835764517,129.15100299936938,1,1,112.35575559131611,109.26602252091368,211.75088151793142,56.76827363742408
W3,30,1,success,1,1176,6.713761329650879,1,0.4396659202999057,321.4175,0.05585184570233485,0.06633800268173218,0.012975245714187622,0.06633800268173218,887.3585,1208.776,0.345505,147.95609229577465,405.8534943620265,1110.4265439414978,305.35533905029297,0.6386451738497722,0.057035837322473526,0,6,0,0,0,0.0,6,1.0,0,0,0.0,0.08883646857358736,0.0013468311767121442,23.644,29.56673828125,20.540359497070312,29.56673828125,417.2818803237154,370.44473301383897,60.84799766409094,107.6851449739674,1,1,53.78565869812354,158.80379815990523,204.69242346568666,52.99729407850024
W3,31,1,success,1,1704,5.238961219787598,1,0.9909966289887928,62.161,0.11496527001869486,0.09580408036708832,0.06379356980323792,0.09580408036708832,1245.076,1307.237,0.5559270588235294,-152.1858879520772,515.4248428141475,817.4148519746959,453.4213562011719,0.9483225731664805,0.0083633903414011,0,37,0,0,0,0.0,28,0.7567567567567568,9,0,0.0,0.2698055723048883,0.005024664560733472,0.738,10.7360068359375,74.15931701660156,27.776048828125,558.6798423471587,459.81068016496675,-80.54996435935232,18.319197822839612,0,1,114.32935989639931,29.34334417963462,415.0071382711247,55.45997911571859
W3,32,1,success,1,1206,7.437255859375,1,0.455400995280749,300.225,0.01853460203284841,0.0271995160728693,0.022245658561587334,0.0271995160728693,1526.0315,1225.8065,0.721195,-37.80421856067177,1311.236064787795,1056.8105364425528,235.35533905029297,0.4922414387504459,0.07920732349157333,0,18,1,1,2,0.1111111111111111,8,0.4444444444444444,8,0,50.0,0.24628789697121223,0.003262292021307547,24.1135,28.768982421875,31.370023727416992,28.768982421875,260.4430493068777,224.51599171549486,217.68682868092867,253.6138862723115,1,1,54.95580625320494,139.01234956797254,66.47489348570024,56.54878225810964
W3,33,1,success,1,1920,5.505871772766113,2,0.7031992445126067,82.808,0.11371541702071941,0.1494579017162323,0.13286222517490387,0.1494579017162323,1646.5515,1729.3595,0.7920891176470588,178.97781223241057,448.26507590816914,653.1277121133282,426.0660171508789,0.8911093758540326,0.01754111982882023,0,30,0,3,3,0.1,15,0.5,12,0,75.0,0.16945457872942304,0.00485079990140248,25.154,29.312080078125,31.92465591430664,29.312080078125,512.5007602723263,443.25408820984524,-34.370882284519894,34.87578977796113,0,1,76.49827935290858,36.13244498155745,399.87003593786017,59.999533119855435
W3,34,1,success,1,1533,5.126731872558594,1,0.6520641261568071,143.659,0.11696539363906425,0.05560922622680664,0.06136304512619972,0.06136304512619972,1564.8925,1421.2335,0.7440544117647059,-152.07166108030964,1123.583658655882,943.0783241056148,465.0,0.9725390974455246,0.004452972672879696,0,52,5,0,5,0.09615384615384616,37,0.7115384615384616,10,0,50.0,0.24549282026314037,0.004040538383727006,1.295,28.967060546875,38.387203216552734,28.967060546875,560.2825195917932,488.80145045273997,-82.15264160398681,-10.671572464933604,0,0,78.88872585294676,65.03016304164265,416.36363069720375,57.83626120932861
W3,35,1,success,1,2714,5.258391380310059,2,0.7774251513789567,59.941,0.10576173344504351,0.08233175426721573,0.03107639215886593,0.08233175426721573,960.6425,900.7015,0.3886132352941176,82.82140130567934,357.0155113149248,674.7232525237864,451.4213562011719,0.9441396093064996,0.009037286974489689,0,26,0,0,0,0.0,20,0.7692307692307693,6,0,0.0,0.11261690608711071,0.005333860331820708,1.548,19.929240234375,329.609619140625,28.38946484375,520.3515901759789,433.46312062149525,-42.221712188172546,44.66675736631112,0,1,99.31281397095363,30.327187761766595,390.71158844325873,51.74438320053827
W3,36,1,success,1,780,5.272208213806152,1,0.8307862710739456,77.8315,0.10747233973970483,0.08007223904132843,0.05396547168493271,0.08007223904132843,1693.8835,1771.715,0.8199314705882353,110.93726727391784,1048.1102205475345,1332.2895442290232,450.0,0.941166868495669,0.009515931829810143,0,39,6,0,6,0.15384615384615385,18,0.46153846153846156,15,0,75.0,0.3240002418828834,0.0026091375312958485,10.737,20.40229296875,53.85563278198242,24.438794921875,504.62864495097057,422.11444132296083,-26.4987669631642,56.01543666484554,0,1,94.0794591435079,33.6794536206288,376.86973218683386,60.5010268072579
W3,37,1,success,1,1609,6.973838806152344,3,0.514023761875028,289.177,0.05224434595492941,0.022122062742710114,0.037348423153162,0.037348423153162,866.3435,577.1665,0.33314323529411766,-92.1388335316832,706.2385330024548,317.6634374193754,280.0,0.5856149403973051,0.06512777507305145,0,10,0,0,0,0.0,10,1.0,0,0,0.0,0.11784658983551904,0.002006358697679826,0.9325,29.399916015625,42.596778869628906,29.399916015625,414.8373495515593,359.5465222122326,63.29252843624704,118.58335577557375,1,1,66.1673646239472,152.84382415132941,195.8261607762827,49.53956312151324
W3,38,1,success,1,1783,6.31157922744751,1,0.9101338059616003,55.568,0.035478519472721626,0.04063806310296059,0.013056735508143902,0.04063806310296059,1188.126,1132.558,0.5224270588235295,119.571952270572,880.93776060877,1034.5860278239827,345.0,0.7215612658466796,0.0442429818212986,0,9,0,0,0,0.0,9,1.0,0,0,0.0,0.10301024501948779,0.002517581939580688,8.8725,28.67515234375,37.150325775146484,28.67515234375,270.1886349533122,199.22906258153733,207.94124303449416,278.90081540626903,1,1,114.29716468776994,26.838443203545268,129.053027061997,54.204867685398995
W3,39,1,success,1,2150,5.858062744140625,1,0.6028850565854228,161.1955,0.0788512380646771,0.11927260458469391,0.14691652357578278,0.14691652357578278,1586.4345,1425.239,0.7567261764705883,-143.9780462645646,637.3305613728985,279.8426691540629,390.35533905029297,0.8164211378989541,0.029394369572401047,0,13,0,0,0,0.0,13,1.0,0,0,0.0,0.09987088597168763,0.001703969833605087,2.082,29.961515625,38.79706573486328,29.961515625,418.64911472851315,360.77560684032755,59.48076325929321,117.35427114747881,1,1,65.39718435280541,72.79157076455074,280.460359611157,57.977235257960345
W3,40,4,safety_cap,0,3000,0.0,3,0.7213875580246746,378.851,0.21387425400358262,0.12000145763158798,0.10319430381059647,0.12000145763158798,1560.508,1939.359,0.741475294117647,96.01783578201092,608.7154787833989,1081.7772885788754,464.0,0.9704476155155343,0.004791306797415018,0,273,0,0,0,0.0,154,0.5641025641025641,43,76,0.0,0.7213875580246746,0.0817423274342409,4.363,604.8878125,501.8083801269531,nan,992.4564486966518,916.8841713664941,-514.3265707088455,-438.75429337868775,0,0,79.81142741620474,163.45079321253718,749.1942280679099,60.693008515070005
W3,41,1,success,1,1663,5.812013149261475,3,0.9442147423726714,340.844,0.07045838625180711,0.04056430235505104,0.030047086998820305,0.04056430235505104,1572.135,1912.979,0.7483147058823529,-128.14962087252314,1249.9272702130118,1664.0695622905996,395.0,0.8261353623461983,0.027860818430781364,0,11,0,0,0,0.0,10,0.9090909090909091,1,0,0.0,0.10472360864495606,0.006588951819678633,26.4055,18.590455078125,82.03158569335938,29.188943359375,505.18874189956205,417.98143679309067,-27.05886391175568,60.1484411947157,0,1,111.01521928858176,147.24802451707376,246.92549809390653,60.61033323584399
W3,42,1,success,1,1657,5.854537010192871,2,0.7296382130986384,187.373,0.0125143406123698,0.016117306426167488,0.003606674959883094,0.016117306426167488,1292.0895,1104.7165,0.5835820588235294,-46.80981751511831,1168.5811383573534,1077.754020492265,390.71067810058594,0.8171643231016618,0.029277130961418152,0,9,0,0,0,0.0,9,1.0,0,0,0.0,0.16882606792364965,0.00045148806890807635,9.211,29.769947265625,16.878488540649414,29.769947265625,226.13587413627835,191.43843882210285,251.99400385152802,286.6914391657035,1,1,90.90847228439773,89.8211086134227,45.40629323845792,54.61628755503557
W3,43,1,success,1,1521,5.509355545043945,1,0.28273482691903157,277.037,0.05855580322224011,0.01840420626103878,0.046108443289995193,0.046108443289995193,1221.7805,944.7435,0.5422238235294118,-31.690691961906726,1082.0414015832068,607.4259557060991,425.71067810058594,0.8903661906513249,0.017659775912761688,0,10,0,0,0,0.0,10,1.0,0,0,0.0,0.11000271121324783,0.003010073952839261,10.151,29.466681640625,28.683494567871094,29.466681640625,385.589685210389,352.93544259363534,92.54019277741736,125.19443539417102,1,1,35.59266622179554,135.90202714762697,214.0949918409665,53.37485572815624
W3,44,1,success,1,1917,5.663791179656982,3,0.9720219365876743,222.8295,0.09149334944443344,0.10862129926681519,0.07663366198539734,0.10862129926681519,1606.1065,1828.936,0.7682979411764705,71.88964635060748,739.6228275802433,1200.544876274109,410.0,0.8575075912960539,0.022891631349921227,0,21,0,0,0,0.0,15,0.7142857142857143,6,0,0.0,0.24145684547432403,0.0037732057947277137,14.941,29.21123046875,24.07619285583496,29.21123046875,533.3098760964137,437.97007294405887,-55.17999810860738,40.1598050437475,0,1,115.4675411857675,96.70274118965733,321.13959372098896,60.33001463210353
