scenario,filt,seeds,rho_km_mean,rho_over_r,crlb_los_m,crlb_los_rb_m,pos_rmse_settled_m,vel_rmse_settled_ms,pos_err_final_m,rel_range_err_settled,rel_range_err_final,nees_med,nees_in_bounds,conv5pct_frac,conv5pct_min,acq_min,acq_fail_frac,diverged_frac,n_eff_final
G2_leo_300km,BO-UKF,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,337956.9594152341,391.1957622954609,306184.70111104683,0.24578578471672638,0.21250221044478024,24464.886591800783,0.09946236559139784,0.3333333333333333,84.5,0.0,0.0,0.0,1.0
G2_leo_300km,BO-EKF-o,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,3415.3984447404778,3.7823898745522557,3383.480522785591,0.0024392456772069585,0.002248258046422712,28.91774893528426,0.14247311827956988,1.0,49.5,0.0,0.0,0.0,1.0
G2_leo_300km,BO-MPC-o,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,2215.0058414121713,2.4091196308703866,1639.8184895822726,0.0016508971813812153,0.001139247311798858,7.623191985230656,0.16666666666666666,1.0,46.5,0.0,0.0,0.0,1.0
G2_leo_300km,BO-RPB,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,37003.795565363034,40.41578162916483,32263.20687060115,0.028694066193354774,0.022482699464070114,4464.3773189188,0.17204301075268819,1.0,118.0,0.0,0.0,0.0,1.0
G2_leo_300km,BO-BLS,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,1264.8646012991835,1.3692848270824958,1321.4853618070294,0.0007602282398898102,0.0009116617766263201,0.8359160199519828,1.0,1.0,71.0,71.0,0.0,0.0,1.0
G2_leo_300km,BO-BLS-MPC,24,858.0999283599347,0.1267478661896605,711.4107699409603,9.289505593981264,1229.0827285432774,1.4279503522927646,1070.5275085828919,0.0007264270185923509,0.0007387926647705453,0.6033642961004041,0.9720453153704838,1.0,71.0,71.0,0.0,0.0,1.0
G3_leo_180deg,RB-EKF,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,415.1299692044191,0.47147310889834043,288.75482053175915,5.029531380556849e-07,6.378525587155562e-07,0.867377747742152,0.9821428571428572,1.0,0.0,0.0,0.0,0.0,1.0
G3_leo_180deg,BO-EKF,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,13547366.286022084,15315.902249451567,13554233.160583604,0.9987095711964693,0.9988989076367456,218295897367034.7,0.0,0.0,nan,0.0,0.0,0.0,1.0
G3_leo_180deg,BO-UKF,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,2218271.019836126,4775.640365656776,810226.3701609577,0.1275787037850148,0.058372612613062896,1683.3243795470594,0.0,0.5,87.0,0.0,0.0,0.375,1.0
G3_leo_180deg,BO-EKF-o,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,5173.082833998838,5.110718517327461,3691.849284735037,0.00015780031362798018,7.714367118963853e-05,4.285855693140836,0.2142857142857143,1.0,8.0,0.0,0.0,0.0,1.0
G3_leo_180deg,BO-MPC-o,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,8499.708161693787,8.86047810058265,5228.284799844396,0.0002774150864677976,9.202659768679512e-05,10.266448999922844,0.07857142857142857,1.0,8.0,0.0,0.0,0.0,1.0
G3_leo_180deg,BO-RPB,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,4015.042133314193,3.5526888097550713,3143.468670671473,0.00012439988007594918,6.944497532051689e-05,2.083598040322886,0.6607142857142858,1.0,3.0,0.0,0.0,0.0,1.0
G3_leo_180deg,BO-BLS,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,3187.004734780864,2.9479979895310877,2139.796523801908,5.6977914077610675e-05,7.451979843727873e-05,0.5764888046735499,0.9635416666666667,1.0,44.0,44.0,0.0,0.0,1.0
G3_leo_180deg,BO-BLS-MPC,24,13566.197303301358,2.0034755612194313,899.468177159793,10.898018744071535,3257.0923860150033,2.981217336239395,2227.7600463649333,5.646363909367084e-05,7.476903344505661e-05,0.5935732213856325,0.96875,1.0,44.0,44.0,0.0,0.0,1.0
G4_wide_e30_90deg,RB-EKF,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,6.058371290454481,0.002217542516741615,4.451614992019554,5.667349805930603e-07,5.129595187594844e-07,0.9786074974802191,0.9878048780487805,1.0,0.0,0.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-EKF,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,7124068.122569598,3112.62114235875,6761946.399420733,0.9999700905944284,0.9999913667004724,2472772061051.0293,0.0,0.0,nan,0.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-UKF,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,6569814.70536649,3101.8075033828463,6166222.159713518,0.9125073697546263,0.9039950739235848,73160554.7727877,0.0,0.0,nan,0.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-EKF-o,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,2759394.918379721,1041.5488358433818,2951767.984890652,0.4255122437213089,0.43245039975161825,105006.84618733321,0.05030487804878049,0.125,40.0,0.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-MPC-o,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,157580.10883959808,60.014670795655874,120824.05691699231,0.022293272569097987,0.01752623006290881,779.6295606693757,0.04420731707317073,0.8333333333333334,75.5,0.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-RPB,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,8333483.672856546,3115.681361121678,9222971.67697809,1.2971805544458213,1.354572489673958,690229.6129809521,0.03353658536585366,0.041666666666666664,108.0,0.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-BLS,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,6018.563725131515,2.3390818475334534,3587.459643838407,0.0007285897213603922,0.0004974300985270619,0.9922245279619886,0.9396887159533074,1.0,71.0,71.0,0.0,0.0,1.0
G4_wide_e30_90deg,BO-BLS-MPC,24,9770.935017765658,0.8412026862115772,2291.235605225244,7.3839355471098465,4503.256176336245,1.7210669294710284,2762.3541199331657,0.000515100572296,0.00039562878796366613,0.7471183714723558,0.9844357976653697,1.0,71.0,71.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,RB-EKF,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,5.7200111580140085,0.006200295656621701,6.207692859379956,0.0002198660208018606,0.0002279218302327882,0.8225951710130764,0.9811827956989247,1.0,0.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-EKF,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,40.540371730436604,0.04212742628966892,47.677561156938566,0.0019546339095752804,0.0017853161918592732,9.501361493291636,0.010752688172043012,0.9166666666666666,76.0,0.0,0.0,0.041666666666666664,1.0
G6_leo_5km_1ms_burns,BO-UKF,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,340213.2129205172,360.4620388774414,352909.20386187127,16.405643823111163,13.533188387335244,7623.801783145365,0.239247311827957,0.0,nan,0.0,0.0,0.9583333333333334,1.0
G6_leo_5km_1ms_burns,BO-EKF-o,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,16.82691486332358,0.018717826422693658,19.06198698648958,0.0007681265893935784,0.0007285565724289187,0.9754671284366945,0.9919354838709677,1.0,27.5,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-MPC-o,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,17.22455820719123,0.018576426014636774,18.946978957665088,0.0007999622015786102,0.0007250320168535594,1.0303963194470858,0.978494623655914,1.0,26.5,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-RPB,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,18.460236601030466,0.019011031604838552,20.237780058129907,0.0008852427447211959,0.0007732767512380164,1.818430539767879,0.8575268817204301,1.0,27.0,0.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,17.532157387603426,0.01925230831401154,21.905603336283065,0.0008071506001195983,0.0008381780779901538,0.5636762133771243,0.9788732394366197,1.0,44.0,44.0,0.0,0.0,1.0
G6_leo_5km_1ms_burns,BO-BLS-MPC,24,14.83302839929592,0.0021910199784943383,5.972391183656564,3.9598111172240342,17.637416894715493,0.01934311007815367,21.63729837556661,0.000808295001507601,0.0008247701827501432,0.5669973679543949,0.9823943661971831,1.0,44.0,44.0,0.0,0.0,1.0
G5_leo_10km_burns,RB-EKF,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,6.250345536217562,0.006477742587578357,6.63796552805084,4.207600815422431e-05,4.542379237072729e-05,0.6874285847801604,0.9820143884892086,1.0,0.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-EKF,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,704.1392279714983,0.8066498058430289,773.6981349165426,0.006691500517734102,0.005538256882938502,155.1843184703477,0.01079136690647482,0.75,36.0,0.0,0.0,0.08333333333333333,1.0
G5_leo_10km_burns,BO-UKF,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,349892.98293053685,412.34358215682585,449387.67889560026,3.2338809627493106,3.2193221781262507,4302025.300970072,0.11870503597122302,0.0,nan,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-EKF-o,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,53.74672329713721,0.06099620779064685,65.45401414145978,0.00047108386817822686,0.0004676980797302013,0.7943513975544999,0.9964028776978417,1.0,34.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-MPC-o,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,59.77221904499892,0.06703954813372294,80.10746245638342,0.0005197540760258124,0.0005733201377806612,0.8643375696151786,0.9640287769784173,1.0,34.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-RPB,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,49.838549738942646,0.05633127514154732,59.798629132212966,0.00044944275614449086,0.00042806891943554667,0.9336548973825547,0.9280575539568345,1.0,33.0,0.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-BLS,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,56.83982047108157,0.06297031065533687,63.05642632749212,0.000489678790851456,0.0004494441464887415,0.4961535553036771,0.9914529914529915,1.0,44.0,44.0,0.0,0.0,1.0
G5_leo_10km_burns,BO-BLS-MPC,24,80.03738642817623,0.011821969825211349,10.967206793485332,5.383974346989909,56.626795988945204,0.06286310326752001,63.06609402789647,0.0004926555142650029,0.00044951737821151086,0.4955962916860576,0.9914529914529915,1.0,44.0,44.0,0.0,0.0,1.0
