kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,phys_n,phys_total,causes,wall_s
diag,LEO,0.3,0.3,180,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.3,0.3,180,fully_random,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.3,0.3,180,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,30,same_orbit,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,30,same_orbit,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,30,same_orbit,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,30,fully_random,42,0,200,0,0,gave_up=200,2.1
diag,LEO,0.5,0.5,30,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,30,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,90,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,90,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,90,same_orbit,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,90,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,90,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,90,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,150,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,150,same_orbit,1337,0,200,0,0,gave_up=200,2.1
diag,LEO,0.5,0.5,150,same_orbit,31415,0,200,0,0,gave_up=200,2.1
diag,LEO,0.5,0.5,150,fully_random,42,0,200,0,0,gave_up=200,2.1
diag,LEO,0.5,0.5,150,fully_random,1337,0,200,0,0,gave_up=200,2.2
diag,LEO,0.5,0.5,150,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,180,same_orbit,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,180,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,180,same_orbit,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.5,0.5,180,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,180,fully_random,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.5,0.5,180,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,MEO_low,0.0,0.0,30,same_orbit,42,115,200,115,200,"success=115, safety_cap=85",4.6
diag,MEO_low,0.0,0.0,30,same_orbit,1337,118,200,118,200,"success=118, safety_cap=82",4.5
diag,MEO_low,0.0,0.0,30,same_orbit,31415,111,200,111,200,"success=111, safety_cap=89",4.9
diag,MEO_low,0.0,0.0,30,fully_random,42,10,200,10,200,"success=10, safety_cap=190",5.9
diag,MEO_low,0.0,0.0,30,fully_random,1337,10,200,10,200,"success=10, safety_cap=190",6.0
diag,MEO_low,0.0,0.0,30,fully_random,31415,8,200,8,200,"success=8, safety_cap=192",6.0
diag,MEO_low,0.0,0.0,90,same_orbit,42,23,200,23,200,"success=23, safety_cap=177",6.0
diag,MEO_low,0.0,0.0,90,same_orbit,1337,31,200,31,200,"success=31, safety_cap=169",6.1
diag,MEO_low,0.0,0.0,90,same_orbit,31415,27,200,27,200,"success=27, safety_cap=173",6.0
diag,MEO_low,0.0,0.0,90,fully_random,42,7,200,7,200,"success=7, safety_cap=193",5.8
diag,MEO_low,0.0,0.0,90,fully_random,1337,8,200,8,200,"success=8, safety_cap=192",6.0
diag,MEO_low,0.0,0.0,90,fully_random,31415,9,200,9,200,"success=9, safety_cap=191",5.9
diag,MEO_low,0.0,0.0,150,same_orbit,42,64,200,64,200,"success=64, safety_cap=136",5.9
diag,MEO_low,0.0,0.0,150,same_orbit,1337,61,200,61,200,"success=61, safety_cap=139",5.8
diag,MEO_low,0.0,0.0,150,same_orbit,31415,63,200,63,200,"success=63, safety_cap=137",5.7
diag,MEO_low,0.0,0.0,150,fully_random,42,5,200,5,200,"success=5, safety_cap=195",5.9
diag,MEO_low,0.0,0.0,150,fully_random,1337,8,200,8,200,"success=8, safety_cap=192",6.0
diag,MEO_low,0.0,0.0,150,fully_random,31415,7,200,7,200,"success=7, safety_cap=193",6.0
diag,MEO_low,0.0,0.0,180,same_orbit,42,64,200,64,200,"success=64, safety_cap=136",5.6
diag,MEO_low,0.0,0.0,180,same_orbit,1337,60,200,60,200,"success=60, safety_cap=140",5.8
diag,MEO_low,0.0,0.0,180,same_orbit,31415,63,200,63,200,"success=63, safety_cap=137",5.8
diag,MEO_low,0.0,0.0,180,fully_random,42,5,200,5,200,"success=5, safety_cap=195",6.1
diag,MEO_low,0.0,0.0,180,fully_random,1337,6,200,6,200,"success=6, safety_cap=194",6.0
diag,MEO_low,0.0,0.0,180,fully_random,31415,6,200,6,200,"success=6, safety_cap=194",5.9
diag,MEO_low,0.05,0.05,30,same_orbit,42,137,200,137,200,"success=137, safety_cap=63",3.6
diag,MEO_low,0.05,0.05,30,same_orbit,1337,130,200,130,200,"success=130, safety_cap=70",3.9
diag,MEO_low,0.05,0.05,30,same_orbit,31415,128,200,128,200,"success=128, safety_cap=72",3.9
diag,MEO_low,0.05,0.05,30,fully_random,42,7,200,7,200,"success=7, safety_cap=193",6.0
diag,MEO_low,0.05,0.05,30,fully_random,1337,4,200,4,200,"success=4, safety_cap=196",6.1
diag,MEO_low,0.05,0.05,90,same_orbit,42,57,200,57,200,"success=57, safety_cap=143",5.4
diag,MEO_low,0.05,0.05,30,fully_random,31415,6,200,6,200,"success=6, safety_cap=194",6.1
diag,MEO_low,0.05,0.05,90,same_orbit,1337,59,200,59,200,"success=59, safety_cap=141",5.4
diag,MEO_low,0.05,0.05,90,same_orbit,31415,49,200,49,200,"success=49, safety_cap=151",5.5
diag,MEO_low,0.05,0.05,90,fully_random,42,6,200,6,200,"success=6, safety_cap=194",5.8
diag,MEO_low,0.05,0.05,90,fully_random,1337,3,200,3,200,"success=3, safety_cap=197",6.0
diag,MEO_low,0.05,0.05,90,fully_random,31415,7,200,7,200,"success=7, safety_cap=193",5.9
diag,MEO_low,0.05,0.05,150,same_orbit,42,48,200,48,200,"success=48, safety_cap=152",6.0
diag,MEO_low,0.05,0.05,150,same_orbit,1337,51,200,51,200,"success=51, safety_cap=149",5.8
diag,MEO_low,0.05,0.05,150,same_orbit,31415,42,200,42,200,"success=42, safety_cap=158",5.9
diag,MEO_low,0.05,0.05,150,fully_random,42,3,200,3,200,"success=3, safety_cap=197",6.0
diag,MEO_low,0.05,0.05,150,fully_random,1337,3,200,3,200,"success=3, safety_cap=197",6.0
diag,MEO_low,0.05,0.05,150,fully_random,31415,7,200,7,200,"success=7, safety_cap=193",5.9
diag,MEO_low,0.05,0.05,180,same_orbit,42,55,200,55,200,"success=55, safety_cap=145",5.8
diag,MEO_low,0.05,0.05,180,same_orbit,1337,54,200,54,200,"success=54, safety_cap=146",5.8
diag,MEO_low,0.05,0.05,180,same_orbit,31415,47,200,47,200,"success=47, safety_cap=153",5.8
diag,MEO_low,0.05,0.05,180,fully_random,42,5,200,5,200,"success=5, safety_cap=195",6.1
diag,MEO_low,0.05,0.05,180,fully_random,1337,2,200,2,200,"success=2, safety_cap=198",5.9
diag,MEO_low,0.1,0.1,30,same_orbit,42,140,200,140,200,"success=140, safety_cap=60",4.0
diag,MEO_low,0.1,0.1,30,same_orbit,1337,144,200,144,200,"success=144, safety_cap=56",3.7
diag,MEO_low,0.1,0.1,30,same_orbit,31415,135,200,135,200,"success=135, safety_cap=65",3.9
diag,MEO_low,0.05,0.05,180,fully_random,31415,7,200,7,200,"success=7, safety_cap=193",6.3
diag,MEO_low,0.1,0.1,30,fully_random,42,4,200,4,200,"success=4, safety_cap=195, stranded=1",6.1
diag,MEO_low,0.1,0.1,90,same_orbit,42,65,200,65,200,"success=65, safety_cap=135",5.2
diag,MEO_low,0.1,0.1,30,fully_random,1337,0,200,0,200,"safety_cap=199, stranded=1",6.3
diag,MEO_low,0.1,0.1,30,fully_random,31415,4,200,4,200,"success=4, safety_cap=196",6.2
diag,MEO_low,0.1,0.1,90,same_orbit,1337,66,200,66,200,"success=66, safety_cap=134",5.4
diag,MEO_low,0.1,0.1,90,same_orbit,31415,62,200,62,200,"success=62, safety_cap=137, stranded=1",5.2
diag,MEO_low,0.1,0.1,90,fully_random,42,2,200,2,200,"success=2, safety_cap=196, stranded=2",6.1
diag,MEO_low,0.1,0.1,90,fully_random,1337,0,200,0,200,safety_cap=200,6.2
diag,MEO_low,0.1,0.1,90,fully_random,31415,3,200,3,200,"success=3, safety_cap=196, stranded=1",6.2
diag,MEO_low,0.1,0.1,150,same_orbit,42,32,200,32,200,"success=32, safety_cap=167, stranded=1",6.1
diag,MEO_low,0.1,0.1,150,same_orbit,1337,37,200,37,200,"success=37, safety_cap=163",6.0
diag,MEO_low,0.1,0.1,150,same_orbit,31415,29,200,29,200,"success=29, safety_cap=171",6.2
diag,MEO_low,0.1,0.1,150,fully_random,1337,0,200,0,200,safety_cap=200,6.2
diag,MEO_low,0.1,0.1,150,fully_random,42,2,200,2,200,"success=2, safety_cap=197, stranded=1",6.3
diag,MEO_low,0.1,0.1,150,fully_random,31415,3,200,3,200,"success=3, safety_cap=195, stranded=2",6.2
diag,MEO_low,0.1,0.1,180,same_orbit,42,33,200,33,200,"success=33, safety_cap=167",6.1
diag,MEO_low,0.1,0.1,180,same_orbit,1337,33,200,33,200,"success=33, safety_cap=167",5.8
diag,MEO_low,0.1,0.1,180,same_orbit,31415,32,200,32,200,"success=32, safety_cap=168",6.0
diag,MEO_low,0.1,0.1,180,fully_random,42,1,200,1,200,"success=1, safety_cap=198, stranded=1",6.4
diag,MEO_low,0.1,0.1,180,fully_random,1337,0,200,0,200,safety_cap=200,6.3
diag,MEO_low,0.2,0.2,30,same_orbit,42,107,200,107,200,"success=107, safety_cap=93",5.0
diag,MEO_low,0.1,0.1,180,fully_random,31415,3,200,3,200,"success=3, safety_cap=196, stranded=1",6.3
diag,MEO_low,0.2,0.2,30,same_orbit,1337,97,200,97,200,"success=97, safety_cap=103",5.0
diag,MEO_low,0.2,0.2,30,same_orbit,31415,101,200,101,200,"success=101, safety_cap=99",5.1
diag,MEO_low,0.2,0.2,30,fully_random,42,1,200,1,200,"success=1, safety_cap=199",6.3
diag,MEO_low,0.2,0.2,30,fully_random,1337,0,200,0,200,safety_cap=200,6.1
diag,MEO_low,0.2,0.2,30,fully_random,31415,0,200,0,200,"safety_cap=198, stranded=2",6.0
diag,MEO_low,0.2,0.2,90,same_orbit,42,28,200,28,200,"success=28, safety_cap=172",6.0
diag,MEO_low,0.2,0.2,90,same_orbit,1337,30,200,30,200,"success=30, safety_cap=170",6.0
diag,MEO_low,0.2,0.2,90,same_orbit,31415,35,200,35,200,"success=35, safety_cap=165",5.8
diag,MEO_low,0.2,0.2,90,fully_random,42,1,200,1,200,"success=1, safety_cap=199",6.2
diag,MEO_low,0.2,0.2,90,fully_random,1337,0,200,0,200,safety_cap=200,6.1
diag,MEO_low,0.2,0.2,90,fully_random,31415,0,200,0,200,"safety_cap=199, stranded=1",6.1
diag,MEO_low,0.2,0.2,150,same_orbit,42,8,200,8,200,"success=8, safety_cap=192",6.0
diag,MEO_low,0.2,0.2,150,same_orbit,1337,8,200,8,200,"success=8, safety_cap=192",6.3
diag,MEO_low,0.2,0.2,150,same_orbit,31415,9,200,9,200,"success=9, safety_cap=191",6.0
diag,MEO_low,0.2,0.2,150,fully_random,42,0,200,0,200,safety_cap=200,6.0
diag,MEO_low,0.2,0.2,150,fully_random,1337,0,200,0,200,safety_cap=200,6.1
diag,MEO_low,0.2,0.2,150,fully_random,31415,0,200,0,200,safety_cap=200,6.1
diag,MEO_low,0.2,0.2,180,same_orbit,42,0,200,0,200,safety_cap=200,6.4
diag,MEO_low,0.2,0.2,180,same_orbit,1337,1,200,1,200,"success=1, safety_cap=199",6.4
diag,MEO_low,0.2,0.2,180,same_orbit,31415,2,200,2,200,"success=2, safety_cap=198",6.3
diag,MEO_low,0.2,0.2,180,fully_random,42,0,200,0,200,safety_cap=200,6.1
diag,MEO_low,0.2,0.2,180,fully_random,1337,0,200,0,200,safety_cap=200,6.2
diag,MEO_low,0.2,0.2,180,fully_random,31415,0,200,0,200,"safety_cap=199, stranded=1",6.2
diag,MEO_low,0.3,0.3,30,same_orbit,42,45,200,45,200,"success=45, safety_cap=155",5.8
diag,MEO_low,0.3,0.3,30,same_orbit,1337,56,200,56,200,"success=56, safety_cap=144",5.7
diag,MEO_low,0.3,0.3,30,same_orbit,31415,42,200,42,200,"success=42, safety_cap=158",5.6
diag,MEO_low,0.3,0.3,30,fully_random,42,0,200,0,200,"safety_cap=199, stranded=1",6.5
diag,MEO_low,0.3,0.3,30,fully_random,1337,0,200,0,200,safety_cap=200,6.5
diag,MEO_low,0.3,0.3,90,same_orbit,42,22,200,22,200,"success=22, safety_cap=178",5.7
diag,MEO_low,0.3,0.3,30,fully_random,31415,0,200,0,200,safety_cap=200,6.5
diag,MEO_low,0.3,0.3,90,same_orbit,1337,33,200,33,200,"success=33, safety_cap=167",5.8
diag,MEO_low,0.3,0.3,90,same_orbit,31415,27,200,27,200,"success=27, safety_cap=173",6.0
diag,MEO_low,0.3,0.3,90,fully_random,42,0,200,0,200,"safety_cap=199, stranded=1",6.4
diag,MEO_low,0.3,0.3,90,fully_random,1337,0,200,0,200,safety_cap=200,6.3
diag,MEO_low,0.3,0.3,90,fully_random,31415,1,200,1,200,"success=1, safety_cap=199",6.2
diag,MEO_low,0.3,0.3,150,same_orbit,42,2,200,2,200,"success=2, safety_cap=198",6.3
diag,MEO_low,0.3,0.3,150,same_orbit,1337,8,200,8,200,"success=8, safety_cap=192",6.2
diag,MEO_low,0.3,0.3,150,same_orbit,31415,8,200,8,200,"success=8, safety_cap=192",6.2
diag,MEO_low,0.3,0.3,150,fully_random,42,0,200,0,200,safety_cap=200,6.4
diag,MEO_low,0.3,0.3,150,fully_random,1337,0,200,0,200,safety_cap=200,6.4
diag,MEO_low,0.3,0.3,180,same_orbit,42,15,200,15,200,"success=15, safety_cap=185",5.9
diag,MEO_low,0.3,0.3,150,fully_random,31415,0,200,0,200,safety_cap=200,6.4
diag,MEO_low,0.3,0.3,180,same_orbit,1337,19,200,19,200,"success=19, safety_cap=181",6.2
diag,MEO_low,0.3,0.3,180,same_orbit,31415,11,200,11,200,"success=11, safety_cap=189",5.9
diag,MEO_low,0.3,0.3,180,fully_random,42,0,200,0,200,safety_cap=200,6.4
diag,MEO_low,0.3,0.3,180,fully_random,1337,0,200,0,200,"safety_cap=199, stranded=1",6.5
