alt_km,K_deg,i_range,theta_disc_p50,theta_disc_p99,theta_disc_max,theta_box_p50,theta_box_p99,theta_box_max,dv_disc_p99,dv_disc_max,dv_box_p99,dv_box_max,box_over_disc_p99,box_max_over_disc_max
20200.0,0.5,"i~U(20,60)",0.35364430900819493,0.4974704618143765,0.499999885579764,0.3222084930414913,0.5731831683894592,0.6555081887151014,33.628557642285415,33.79954334088924,38.74662892670387,44.31166394754973,1.1521941957445971,1.3110136873933258
20200.0,0.5,"i~U(80,100)",0.35396945192693463,0.4975312462417508,0.49999886755383766,0.3981088605935293,0.6565272915735704,0.7057718608662233,33.63266658931435,33.79947452368738,44.38055347547931,47.709393873060314,1.3195668965951022,1.411542473526462
20200.0,1.0,"i~U(0,90)",0.7071799813072602,0.9951056913524315,0.9999998921496865,0.6650811464795126,1.2267853621233877,1.4051303096784062,67.26761927257938,67.5984513660294,82.92826803234018,94.98346843514936,1.2328111047947348,1.4051130834467889
20200.0,1.0,"i~U(20,60)",0.7075660959589225,0.9950734766407111,0.9999994006318905,0.6449809755596924,1.1446488226257736,1.3164939749489568,67.26544166218852,67.59841814102741,77.37619144537476,88.99213541025225,1.150311207855634,1.316482513312547
20200.0,1.0,"i~U(80,100)",0.7075260606643884,0.9950189099621818,0.9999997428545733,0.7948614701878667,1.3119208866020344,1.412431250333252,67.26175313107322,67.59844127416603,88.68301809314973,95.47696973780891,1.3184761616357636,1.412413776681226
20200.0,2.0,"i~U(0,90)",1.4142584788413735,1.989690585774766,1.9999991317948151,1.3284140254859957,2.4490968201712806,2.8106091376772326,134.4949656681747,135.19171074723536,165.544667878823,189.9762079936196,1.2308614456785985,1.4052356238676014
20200.0,2.0,"i~U(20,60)",1.415537028052133,1.9899939603686985,1.999999897890258,1.2895477087538303,2.291198012874603,2.648221285413613,134.51547049160456,135.1917625268763,154.8731003299855,179.0020147845496,1.1513404351483238,1.3240600716997368
20200.0,2.0,"i~U(80,100)",1.4154398188751156,1.989981945251859,1.99999733873339,1.5936202926437861,2.624884395166262,2.826863201453645,134.51465840038543,135.19158955596913,177.42487449934376,191.07463920063222,1.3190002978800663,1.4133618801895038
400.0,-1.0,i=0.0,1.0,1.0,1.0,0.0,0.0,0.0,133.91040893981537,133.91040893981537,0.0,0.0,0.0,0.0
400.0,-1.0,i=5.0,1.0,1.0,1.0,0.08715574274765817,0.08715574274765817,0.08715574274765817,133.91040893981537,133.91040893981537,11.671208162541276,11.671208162541276,0.08715574274765817,0.08715574274765817
400.0,-1.0,i=28.5,1.0,1.0,1.0,0.4771587602596084,0.4771587602596084,0.4771587602596084,133.91040893981537,133.91040893981537,63.897151071552905,63.897151071552905,0.4771587602596084,0.4771587602596084
400.0,-1.0,i=51.6,1.0,1.0,1.0,0.7836934573258398,0.7836934573258398,0.7836934573258398,133.91040893981537,133.91040893981537,104.94522527543975,104.94522527543975,0.7836934573258398,0.7836934573258398
400.0,-1.0,i=63.4,1.0,1.0,1.0,0.8941542368393681,0.8941542368393681,0.8941542368393681,133.91040893981537,133.91040893981537,119.73686420282945,119.73686420282945,0.8941542368393681,0.8941542368393681
400.0,-1.0,i=90.0,1.0,1.0,1.0,1.0,1.0,1.0,133.91040893981537,133.91040893981537,133.91040893981537,133.91040893981537,1.0,1.0
400.0,-1.0,i=98.0,1.0,1.0,1.0,0.9902680687415704,0.9902680687415704,0.9902680687415704,133.91040893981537,133.91040893981537,132.60723464566402,132.60723464566402,0.9902680687415704,0.9902680687415704
800.0,-1.0,i=0.0,1.0,1.0,1.0,0.0,0.0,0.0,130.12204557273705,130.12204557273705,0.0,0.0,0.0,0.0
800.0,-1.0,i=5.0,1.0,1.0,1.0,0.08715574274765817,0.08715574274765817,0.08715574274765817,130.12204557273705,130.12204557273705,11.341026380538143,11.341026380538143,0.08715574274765817,0.08715574274765817
800.0,-1.0,i=28.5,1.0,1.0,1.0,0.4771587602596084,0.4771587602596084,0.4771587602596084,130.12204557273705,130.12204557273705,62.08948258411715,62.08948258411715,0.4771587602596084,0.4771587602596084
800.0,-1.0,i=51.6,1.0,1.0,1.0,0.7836934573258398,0.7836934573258398,0.7836934573258398,130.12204557273705,130.12204557273705,101.97629515170351,101.97629515170351,0.7836934573258398,0.7836934573258398
800.0,-1.0,i=63.4,1.0,1.0,1.0,0.8941542368393681,0.8941542368393681,0.8941542368393681,130.12204557273705,130.12204557273705,116.34947442763507,116.34947442763507,0.8941542368393681,0.8941542368393681
800.0,-1.0,i=90.0,1.0,1.0,1.0,1.0,1.0,1.0,130.12204557273705,130.12204557273705,130.12204557273705,130.12204557273705,1.0,1.0
