da_m,di_deg,dv_ms,dv_axis,orbits,angles,sigma_range_m,sigma_plane_m,sigma_inplane_m,fim_cond
601.4087963297178,0.0,0.0,none,1.0,oop,inf,inf,inf,2.7144936587501015e+18
601.4087963297178,0.0,1.0,nor,1.0,both,15.22818853082488,1.9113455602454785,1.3985906560311026,5655.060026727778
601.4087963297178,0.0,1.0,nor,1.0,inplane,inf,inf,inf,3849083339245965.5
601.4087963297178,0.0,1.0,nor,1.0,oop,198.13345242032523,1.976861118417726,73.73877024768109,175551.04159124158
601.4087963297178,0.04169392,0.0,none,1.0,both,1197.153496479757,1.2179652363995424,1.6925468614499715,180868504.80201086
601.4087963297178,0.04169392,0.0,none,1.0,inplane,inf,inf,inf,988427552550102.2
601.4087963297178,0.04169392,0.0,none,1.0,oop,5448.902848125876,2.6651767239656947,8.581723994316066,2987454551.328006
601.4087963297178,0.04169392,1.0,nor,1.0,both,16.02508248469916,2.2001913941892988,1.4679900751497115,37539.64184236866
601.4087963297178,0.04169392,1.0,nor,1.0,inplane,inf,inf,inf,1560283335780635.8
601.4087963297178,0.04169392,1.0,nor,1.0,oop,17.41096501356744,3.0252850869724934,8.09053884052005,33039.44517995133
601.4087963297178,0.25,0.0,none,1.0,both,299.4828741285762,2.352032128638736,2.223189347755942,150622019.25179163
601.4087963297178,0.25,0.0,none,1.0,inplane,inf,inf,inf,1538391168661915.0
601.4087963297178,0.25,0.0,none,1.0,oop,595.3334004932007,2.8526622396443133,6.069599156365376,557039042.0431528
601.4087963297178,0.25,1.0,nor,1.0,both,26.536708421825313,3.7907074830446708,2.0980080724628056,1324773.1345680119
601.4087963297178,0.25,1.0,nor,1.0,inplane,inf,inf,inf,1686443212857870.0
601.4087963297178,0.25,1.0,nor,1.0,oop,27.082068513525815,4.152847216002501,5.236613238779734,1293798.3814711205
601.4087963297178,1.0,0.0,none,1.0,both,68.35939955621924,3.7519465371720933,3.3656134925110854,31163406.9249272
601.4087963297178,1.0,0.0,none,1.0,inplane,inf,inf,inf,2825659964574611.0
601.4087963297178,1.0,0.0,none,1.0,oop,114.31882809695617,3.896141546138901,11.075414063530962,79478962.38317062
601.4087963297178,1.0,1.0,nor,1.0,both,35.382597447656565,4.643694094022623,3.3351609504070314,8644634.037883466
601.4087963297178,1.0,1.0,nor,1.0,inplane,inf,inf,inf,2566353218932652.0
601.4087963297178,1.0,1.0,nor,1.0,oop,41.238630703005704,4.818629988197472,10.413673771159639,10263885.92743355
30070.43981648589,0.0,0.0,none,1.0,both,416.16828043055676,11.011715359169147,13.631752187108189,5142.111537389967
30070.43981648589,0.0,0.0,none,1.0,inplane,inf,inf,inf,3716561771012289.0
30070.43981648589,0.0,0.0,none,1.0,oop,inf,inf,inf,4.312617868996279e+17
30070.43981648589,0.0,1.0,nor,1.0,both,386.70790018306644,11.397968757305723,13.55334911522532,4441.8904747250535
30070.43981648589,0.0,1.0,nor,1.0,inplane,inf,inf,inf,4931143864121706.0
30070.43981648589,0.0,1.0,nor,1.0,oop,10782.240386529895,14.17589227354526,76140.43709319312,119339250.75027582
30070.43981648589,0.04169392,0.0,none,1.0,both,414.75483134546937,11.063618541866806,13.635856925353217,5284.193617356516
30070.43981648589,0.04169392,0.0,none,1.0,inplane,inf,inf,inf,2389608784594990.0
30070.43981648589,0.04169392,0.0,none,1.0,oop,9618.044698227486,21.497298656700348,4057.5681872392925,1499829.2477806178
30070.43981648589,0.04169392,1.0,nor,1.0,both,380.1146312502808,11.608793414719699,13.545004301379521,4459.933577346904
30070.43981648589,0.04169392,1.0,nor,1.0,inplane,inf,inf,inf,2898939216460858.0
30070.43981648589,0.04169392,1.0,nor,1.0,oop,1389.6848425622213,18.257399307768942,3474.3418534289626,308660.52142966544
30070.43981648589,0.25,0.0,none,1.0,both,376.2945269234106,12.489272304284087,13.790562891367486,10614.680309331352
30070.43981648589,0.25,0.0,none,1.0,inplane,inf,inf,inf,7985981301340866.0
30070.43981648589,0.25,0.0,none,1.0,oop,1628.098560076618,21.912918110352464,720.8829409030577,109979.59980912095
30070.43981648589,0.25,1.0,nor,1.0,both,331.5844908602106,13.300453774006106,13.674298443908055,8376.094902416777
30070.43981648589,0.25,1.0,nor,1.0,inplane,inf,inf,inf,3897723987262748.5
30070.43981648589,0.25,1.0,nor,1.0,oop,652.2428000444733,20.268499126064537,677.6908337321701,23096.73423536909
30070.43981648589,1.0,0.0,none,1.0,both,231.2736998861536,18.487728161593996,15.850550830805652,90620.57136374978
30070.43981648589,1.0,0.0,none,1.0,inplane,inf,inf,inf,1311525983793149.2
30070.43981648589,1.0,0.0,none,1.0,oop,449.65438918183486,25.272926847511854,307.42946699573906,366906.64697960974
30070.43981648589,1.0,1.0,nor,1.0,both,207.8061681543004,18.923830845377065,15.76652725047054,73915.50091770107
30070.43981648589,1.0,1.0,nor,1.0,inplane,inf,inf,inf,1458128828802246.8
30070.43981648589,1.0,1.0,nor,1.0,oop,334.95069496932905,24.760484891046406,299.7293830736337,216220.57747124572
