block,a_km,e,i_t_deg,sep_km,da_m,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_pos_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,rel_sigma_range,rel_sigma_plane,plane_over_range,plane_over_inplane,fim_cond
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,0.0,none,1.5,328,999.7106732644598,1010.5222983151763,209414.8778832356,3239.5330302243297,96.92806928934458,83.3451928337812,3242.054244718784,0.0981776264191748,1.5469449034491056,0.26368475497811694,0.0032404705850003017,8.336931380518868e-05,0.025727532967308484,0.8598664292485132,182165.3897804633
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,25.0,pro,0.5,110,999.7106732644598,1021.8247185995258,209685.10918605537,20512.105056959626,371.68409096001295,196.4139588947754,20516.41248791977,0.8173806418088769,9.369271254137605,1.8008866552605804,0.020518041474919244,0.00019647080315088,0.009575514475445484,0.5284432766209148,845752.6337933035
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,25.0,pro,1.0,219,999.7106732644598,1173.363323846454,212825.27233730254,4145.644264160014,239.0256921435486,112.08493620023374,4154.041728171557,0.10426088969644813,1.8622301658124054,0.35057935701195986,0.0041468440570138244,0.00011211737475426873,0.027036795503471465,0.4689242197985994,76395.01724671807
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,25.0,pro,1.5,328,999.7106732644598,1328.5821633189853,211366.85595786216,1796.1387936915496,175.8401444030275,95.07108682190088,1807.2279419422748,0.053157407819571095,0.83010289626931,0.1594775664388385,0.0017966586150635262,9.509860138979543e-05,0.052930813117456336,0.54066770216019,27406.8708608693
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,25.0,nor,0.5,110,999.7106732644598,1014.0968138725545,241100.82946978236,10906.394046144225,251.72874319432773,234.8995926004669,10911.827356979411,0.3544948264797381,5.201284360521278,1.1178741305402975,0.010909550470768144,0.00023496757500189998,0.02153778706386569,0.9331456933351898,349700.32720501296
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,25.0,nor,1.0,219,999.7106732644598,1009.910824586231,209414.8778832356,3029.806845801226,109.85729432828495,108.57713739555963,3033.7414429621585,0.1096250103419502,1.4436242938366393,0.24353639190176998,0.00303068370362365,0.00010860856075589486,0.03583632321183387,0.9883470921020515,77469.26818108381
wide,12000.0,0.0,51.6,1000.0,0.0,1.0,25.0,nor,1.5,328,999.7106732644598,1008.102474839723,209414.8778832356,2057.629302444696,90.58587063937205,82.06188027448852,2061.25648535856,0.07102808559178281,0.9801701312057629,0.14631268517050747,0.0020582248019076397,8.20856298418054e-05,0.03988176110098633,0.9059015461824277,60897.24826024412
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,0.0,none,0.5,110,11506.212926500872,11506.212926500828,1.4026726355355872e-08,47888.47743025381,4079.8800464841,1544.6240283755612,48086.77110360668,17.23825923755987,18.11343933026826,0.7485031470838436,0.00416196690745728,0.0001342426077322118,0.032254607188654034,0.3785954515272244,140654.2029374056
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,0.0,none,1.0,219,11506.212926500872,11506.21292650068,1.4026726355355872e-08,7722.44946562223,2507.2337623203994,1097.1683465487272,8193.059579221721,2.1669756478517845,2.716125447412624,0.5292716487987608,0.0006711547504771134,9.535442752165239e-05,0.14207517335438125,0.4376011375713598,20176.99038894063
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,0.0,none,1.5,328,11506.212926500872,11506.212926500055,1.943911890415231e-08,3298.136869365227,1498.9163144458062,897.1948525446297,3732.213221429161,0.9188599123883582,1.3411704017068857,0.4321484895073925,0.00028663965202391017,7.797481745520536e-05,0.27203081257125256,0.5985623372685415,10024.692186633138
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,25.0,pro,0.5,110,11506.212926500872,11531.77379393257,1.412232230557788e-08,48242.48898024247,4087.4170565352356,1550.93472011302,48440.170516926584,17.375408449590637,18.25518020914691,0.7487125014670444,0.004192733898495079,0.0001347910672277704,0.03214872932340202,0.37944127028419616,139830.3881762954
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,25.0,pro,1.0,219,11506.212926500872,11681.845372389036,1.4026726355355872e-08,7889.907977238903,2525.7889793458867,1113.6842136587145,8358.860591326778,2.22635443524111,2.7676558499906414,0.5368116741569011,0.0006857084974559292,9.678981440485079e-05,0.14115300417590568,0.4409252802849467,20089.561515408728
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,25.0,pro,1.5,328,11506.212926500872,11813.293365746395,2.562122763823987e-08,3359.4989546617853,1525.534670103331,919.9874777303138,3802.613077245894,0.9336741354430598,1.3595185613869794,0.44300783799775884,0.00029197260437656744,7.995571467406254e-05,0.2738466331277465,0.6030590426817366,9922.451783013084
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,25.0,nor,0.5,110,11506.212926500872,11506.3053713556,52047.97486778245,47886.800737425336,4079.8025370042233,1544.8889810579838,48085.10326047579,17.237650680658465,18.11279205815497,0.7486549482642696,0.004161821186807125,0.00013426563465550228,0.03226126943683241,0.37866758673874135,140639.21030779314
wide,12000.0,0.0,51.6,12000.0,0.0,0.0,25.0,nor,1.0,219,11506.212926500872,11506.61961697312,52047.97486775871,7722.8260243822315,2507.276629610271,1097.2219179354242,8193.434800952722,2.167107817139911,2.7162402389690845,0.5292915728985128,0.0006711874770364434,9.535908338775179e-05,0.14207518264315605,0.43761502220278564,20177.159542412217
