tag,decision,leg,action,tau,reward,terminal,cause,a_s,a_t,e_s,e_t,th_s,th_t,w_s,w_t,fuel,da,de,phi_orbit,dtheta,phi_phase,phi_vel,sigma2,sigma3,vrel_lvlh,dist,g_true,g_mean,dx_l,dy_l,phi_legacy,phi_next_legacy,r_legacy_gtau,r_legacy_g1,r_legacy_gdec,phi_S_A,phi_next_S_A,r_S_A_gtau,r_S_A_g1,r_S_A_gdec,phi_S_B,phi_next_S_B,r_S_B_gtau,r_S_B_g1,r_S_B_gdec,phi_S_C,phi_next_S_C,r_S_C_gtau,r_S_C_g1,r_S_C_gdec,phi_S_R,phi_next_S_R,r_S_R_gtau,r_S_R_g1,r_S_R_gdec,phi_S_R3,phi_next_S_R3,r_S_R3_gtau,r_S_R3_g1,r_S_R3_gdec
coast_e0.0,1415,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.0297976007293987,-2.1117950528603946,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.6404093906356016e-14,0.9999546021312976,2.454480817591182e-25,1.820204695317801e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1416,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.0926757864299732,-2.04891686715982,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,5.144878968614994e-14,0.9999546021312976,2.454480817591182e-25,2.5724394843074972e-12,14266257.850646975,-3.141592653589793,-3.141592653589793,-14266257.850646973,0.0,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1417,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.1555539775690538,-1.9860386760207396,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,4.067383956680332e-14,0.9999546021312976,2.454480817591182e-25,2.033691978340166e-12,14266257.85064697,-3.141592653589793,-3.141592653589793,-14266257.850646973,0.0,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0,0.0050000000000002265,2.220446049250313e-16,0.0050000000000002265,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1418,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.2184321784254035,-1.9231604751643898,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,1.951995909324451e-14,0.9999546021312976,2.454480817591182e-25,9.759979546622255e-13,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0,-1.0000000000000002,0.004999999999999782,-2.220446049250313e-16,0.004999999999999782,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1419,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.2813103627401337,-1.8602822908496597,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.6404093906356016e-14,0.9999546021312976,2.454480817591182e-25,1.820204695317801e-12,14266257.850646975,-3.141592653589793,-3.141592653589793,-14266257.850646973,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1420,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.3441885427533062,-1.7974041108364869,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.6404093906356016e-14,0.9999546021312976,2.454480817591182e-25,1.820204695317801e-12,14266257.85064697,-3.141592653589793,-3.141592653589793,-14266257.85064697,9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0,0.0050000000000002265,2.220446049250313e-16,0.0050000000000002265,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1421,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.407066727942687,-1.7345259256471062,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,1.3300650577859455e-15,0.9999546021312976,2.454480817591182e-25,6.650325288929728e-14,14266257.850646975,-3.141592653589793,-3.141592653589793,-14266257.850646975,9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0,-1.0000000000000002,0.004999999999999782,-2.220446049250313e-16,0.004999999999999782,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1422,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.469944925333707,-1.6716477282560864,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.6404093906356016e-14,0.9999546021312976,2.454480817591182e-25,1.820204695317801e-12,14266257.850646975,-3.141592653589793,-3.141592653589793,-14266257.850646975,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0,0.0050000000000002265,2.220446049250313e-16,0.0050000000000002265,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1423,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.532823113617197,-1.608769539972596,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,1.2761879610928604e-15,0.9999546021312976,2.454480817591182e-25,6.380939805464302e-14,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,6.984919309616089e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1424,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.5957013067666386,-1.5458913468231545,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,1.3300650577859455e-15,0.9999546021312976,2.454480817591182e-25,6.650325288929728e-14,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0,-1.0000000000000002,0.004999999999999782,-2.220446049250313e-16,0.004999999999999782,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1425,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.6585794915669332,-1.4830131620228602,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.655257782387914e-14,0.9999546021312976,2.454480817591182e-25,1.827628891193957e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.85064697,-6.984919309616089e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1426,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.7214576906063705,-1.4201349629834226,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,7.324629259306213e-14,0.9999546021312976,2.454480817591182e-25,3.662314629653107e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,4.656612873077393e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1427,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.7843358813035757,-1.3572567722862177,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,7.350263122578684e-14,0.9999546021312976,2.454480817591182e-25,3.675131561289342e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1428,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.8472140700961504,-1.294378583493643,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.637978807091713e-14,0.9999546021312976,2.454480817591182e-25,1.8189894035458565e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,0.0,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1429,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.9100922590917015,-1.2315003944980918,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,5.144878968614994e-14,0.9999546021312976,2.454480817591182e-25,2.5724394843074972e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,0.0,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1430,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,1.972970456824901,-1.1686221967648924,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.6404093906356016e-14,0.9999546021312976,2.454480817591182e-25,1.820204695317801e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646975,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1431,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,2.035848627882464,-1.1057440257073292,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,4.009666835587732e-14,0.9999546021312976,2.454480817591182e-25,2.004833417793866e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
coast_e0.0,1432,null,0,1,9.999545727623627e-05,0,0,7133128.925323486,7133128.925323486,0.0,0.0,2.0987268310869567,-1.0428658225028367,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,-3.141592653589793,2.0,3.6404093906356016e-14,0.9999546021312976,2.454480817591182e-25,1.820204695317801e-12,14266257.850646973,-3.141592653589793,-3.141592653589793,-14266257.850646973,-9.313225746154785e-10,-0.01999909204262595,-0.01999909204262595,9.999546021313005e-05,0.0,9.999546021313005e-05,-0.02,-0.02,9.99999999999994e-05,0.0,9.99999999999994e-05,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044,-0.32,-0.32,0.0015999999999999903,0.0,0.0015999999999999903,-1.0000000000000002,-1.0000000000000002,0.0050000000000000044,0.0,0.0050000000000000044,-1.0,-1.0,0.0050000000000000044,0.0,0.0050000000000000044
