rung,policy,seed,decisions,sim_steps,cause,shaping_sum_nonterminal,telescope_resid,clamp_recon_err,r_env_terminal,phi_T_prev,phi_0,undisc_cap-10_clampshipped,disc_cap-10_clampshipped,undisc_cap-10_clampnone,disc_cap-10_clampnone,undisc_cap-10_clampall,disc_cap-10_clampall,undisc_cap0_clampshipped,disc_cap0_clampshipped,undisc_cap0_clampnone,disc_cap0_clampnone,undisc_cap0_clampall,disc_cap0_clampall
L1_e0_gap180,coast_forever,6,3000,3000,safety_cap,0.0,2.1236788438905307e-09,0.0,-10.0,-0.06726386808169817,-0.06726387020537701,-10.0,-2.9608687507534017e-06,-10.0,-2.9608687507534017e-06,-9.932736131918302,-2.940952802247638e-06,0.0,-3.944036681986282e-18,0.0,-3.944036681986282e-18,0.06726386808169817,1.9915948501819357e-08
L1_e0_gap180,coast_forever,7,3000,3000,safety_cap,-5.551115123125783e-16,4.295194866443808e-09,0.0,-10.0,-0.42152548903553616,-0.42152549333073047,-10.0,-2.9608687512212274e-06,-10.0,-2.9608687512212274e-06,-9.578474510964464,-2.836060586408257e-06,-5.551115123125783e-16,-4.717696874650653e-16,-5.551115123125783e-16,-4.717696874650653e-16,0.4215254890355356,1.2480816434120052e-07
L1_e0_gap180,coast_forever,8,3000,3000,safety_cap,-1.3322676295501878e-15,9.654455013219376e-10,0.0,-10.0,-0.9103148425505653,-0.9103148435160094,-10.0,-2.9608687530271097e-06,-10.0,-2.9608687530271097e-06,-9.089685157449434,-2.6913364759619713e-06,-1.3322676295501878e-15,-2.277651959029628e-15,-1.3322676295501878e-15,-2.277651959029628e-15,0.9103148425505639,2.6953227478748616e-07
L1_e0_gap180,coast_forever,9,3000,3000,safety_cap,-3.3306690738754696e-16,5.144782377897172e-09,0.0,-10.0,-0.6008957993180957,-0.600895794173313,-10.0,-2.9608687520810298e-06,-10.0,-2.9608687520810298e-06,-9.399104200681904,-2.782951392615273e-06,-3.3306690738754696e-16,-1.3315720291845033e-15,-3.3306690738754696e-16,-1.3315720291845033e-15,0.6008957993180953,1.7791735813418462e-07
L1_e0_gap180,coast_forever,10,3000,3000,safety_cap,-1.3877787807814457e-16,5.0747891583435845e-09,0.0,-10.0,-0.1121064471974523,-0.112106442122663,-10.0,-2.9608687509736612e-06,-10.0,-2.9608687509736612e-06,-9.887893552802547,-2.927675503347213e-06,-1.3877787807814457e-16,-2.2420381929017017e-16,-1.3877787807814457e-16,-2.2420381929017017e-16,0.11210644719745216,3.319324740224424e-08
L1_e0_gap180,coast_forever,11,3000,3000,safety_cap,0.0,9.301200531997011e-09,0.0,-10.0,-0.37668292117792523,-0.3766829118767247,-10.0,-2.960868750688504e-06,-10.0,-2.960868750688504e-06,-9.623317078822074,-2.84933788166283e-06,0.0,6.095336033997109e-17,0.0,6.095336033997109e-17,0.37668292117792523,1.1153086908662734e-07
L1_e0_gap180,warp5_forever,0,600,3000,safety_cap,0.0,4.533041719767539e-09,0.0,-10.0,-0.23372230583298834,-0.23372230129994662,-10.0,-0.4966213277390804,-10.0,-0.4966213277390804,-9.766277694167012,-0.48501417955457865,0.0,1.8858054607844664e-17,0.0,1.8858054607844664e-17,0.23372230583298834,0.011607148184501826
L1_e0_gap180,warp5_forever,1,600,3000,safety_cap,-9.992007221626409e-16,2.983608915485547e-09,0.0,-10.0,-0.5112106446873901,-0.511210647670998,-10.000000000000002,-0.4966213277390801,-10.000000000000002,-0.4966213277390801,-9.488789355312612,-0.4712335168271798,-9.992007221626409e-16,3.325982667280747e-16,-9.992007221626409e-16,3.325982667280747e-16,0.5112106446873891,0.025387810911900625
L1_e0_gap180,warp5_forever,2,600,3000,safety_cap,1.4224732503009818e-16,1.3824750198787594e-09,0.0,-10.0,-0.022421291402013703,-0.022421292784488865,-10.0,-0.49662132773908024,-10.0,-0.49662132773908024,-9.977578708597987,-0.49550783858851094,1.4224732503009818e-16,1.8822197468897413e-16,1.4224732503009818e-16,1.8822197468897413e-16,0.022421291402013845,0.0011134891505694756
L1_e0_gap180,warp5_forever,3,600,3000,safety_cap,-2.7755575615628914e-16,1.2501033652689841e-08,0.0,-10.0,-0.4663680683298073,-0.4663680558287734,-10.000000000000002,-0.4966213277390817,-10.000000000000002,-0.4966213277390817,-9.533631931670195,-0.4734604948081758,-2.7755575615628914e-16,-1.2757609602617733e-15,-2.7755575615628914e-16,-1.2757609602617733e-15,0.46636806832980704,0.02316083293090463
L1_e0_gap180,warp5_forever,4,600,3000,safety_cap,0.0,3.6568179595519723e-09,0.0,-10.0,-0.9551574211978042,-0.9551574248546222,-10.0,-0.49662132773908185,-10.0,-0.49662132773908185,-9.044842578802196,-0.4491861730675729,0.0,-1.419189543070408e-15,0.0,-1.419189543070408e-15,0.9551574211978042,0.04743515467150754
L1_e0_gap180,warp5_forever,5,600,3000,safety_cap,3.3306690738754696e-16,2.0816350865260347e-09,0.0,-10.0,-0.5560532252596363,-0.5560532231780015,-10.0,-0.4966213277390802,-10.0,-0.4966213277390802,-9.443946774740361,-0.4690065386368763,3.3306690738754696e-16,2.0202217616812736e-16,3.3306690738754696e-16,2.0202217616812736e-16,0.5560532252596366,0.027614789102204055
L1_e0_gap180,warp5_forever,6,600,3000,safety_cap,0.0,7.01898449084748e-09,0.0,-10.0,-0.06726386318639252,-0.06726387020537701,-10.0,-0.4966213277390804,-10.0,-0.4966213277390804,-9.932736136813608,-0.4932808608346318,0.0,-4.3063988253452674e-18,0.0,-4.3063988253452674e-18,0.06726386318639252,0.003340466904448606
L1_e0_gap180,warp5_forever,7,600,3000,safety_cap,-2.7755575615628914e-16,3.712758489538004e-09,0.0,-10.0,-0.42152549704348924,-0.42152549333073047,-10.0,-0.49662132773908085,-10.0,-0.49662132773908085,-9.57847450295651,-0.47568747253731947,-2.7755575615628914e-16,-4.482015489363084e-16,-2.7755575615628914e-16,-4.482015489363084e-16,0.42152549704348896,0.020933855201760897
