i_t_deg,da_m,di_deg,dv_ms,dv_axis,j2,orbits,n_obs,rho0_km,rho_max_km,oop_amp_m,raan_rate_deg_day,draan_deg_per_orbit,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_vrange_ms,sigma_vplane_ms,range_frac_of_box,j2_gain,fim_cond
51.6,601.4087963297178,0.04169392,1.0,nor,1,3.0,284,5.036256511657525,21.983156994530464,5006.378892703933,-4.769666919805919,0.00038312238052135554,14.406862021424086,1.0721450992581516,1.2475213983129783,0.002800475817501641,0.014734047634822934,0.002881372404284817,0.9978142142496844,58676.305613066004
51.6,601.4087963297178,1.0,0.0,none,0,1.0,95,5.03625651165759,120.27870219472321,119921.63908347704,-4.769666919805919,0.007031413600917267,68.3613027123353,3.3655153083732823,3.7519378899677354,0.017668222257057036,1.7517022846203794,0.013672260542467061,1.0,31165076.324020237
51.6,601.4087963297178,1.0,0.0,none,0,3.0,284,5.03625651165759,121.67372876118556,119922.60707154934,-4.769666919805919,0.007031413600917267,36.933336546660385,2.1582862537706196,3.010803058543171,0.009572228725402676,0.9468644286413884,0.007386667309332077,1.0,108340477.21144415
51.6,601.4087963297178,1.0,0.0,none,1,1.0,95,5.03625651165759,120.54731696602434,120098.67030020678,-4.769666919805919,0.007031413600917267,68.08056952092262,3.4342204211559344,3.85008398728623,0.017640351122362504,1.7458773955091318,0.013616113904184525,1.0082640906549007,27001110.066637795
51.6,601.4087963297178,1.0,0.0,none,1,3.0,284,5.03625651165759,123.29816903217629,120912.35635493882,-4.769666919805919,0.007031413600917267,36.06760974619505,2.2642666755701337,3.225861924278612,0.009380520521028186,0.9234723443324568,0.007213521949239011,1.0485819148197058,84208233.18121102
51.6,601.4087963297178,1.0,1.0,nor,0,1.0,95,5.03625651165759,120.06220633759499,119889.93534894216,-4.769666919805919,0.007031413600917267,60.04068308193248,3.284383249833182,3.708776478936207,0.015186626481450317,1.5215437351891814,0.012008136616386495,1.0,23523794.092238817
51.6,601.4087963297178,1.0,1.0,nor,0,3.0,284,5.03625651165759,120.95959698011737,119889.93534894216,-4.769666919805919,0.007031413600917267,35.73396166397348,2.154249575064069,2.9244066069617873,0.009141531081831746,0.9063338195014713,0.007146792332794696,1.0,99721607.93685247
51.6,601.4087963297178,1.0,1.0,nor,1,1.0,95,5.03625651165759,120.14177501727724,119958.52373427073,-4.769666919805919,0.007031413600917267,61.215866751482956,3.3553353597617166,3.7872894033336704,0.015554402868549179,1.5534514254069707,0.012243173350296592,0.9619737981929365,21413969.35053711
51.6,601.4087963297178,1.0,1.0,nor,1,3.0,284,5.03625651165759,122.57755397228843,120177.6134193797,-4.769666919805919,0.007031413600917267,37.04731899351742,2.261211290279442,3.0093731941470634,0.009497520561026516,0.9397609612988682,0.007409463798703484,0.9303551470688592,87639048.88966078
51.6,30070.43981648589,0.0,0.0,none,0,1.0,95,30.485090788119447,287.6446541846369,5.5896236321589135e-09,-4.769666919805919,0.004746132074279743,416.1627136201951,13.631736508397962,11.011715386088538,0.15169814786786237,0.016862425898509333,0.08323254272403903,1.0,5141.978914323383
51.6,30070.43981648589,0.0,0.0,none,0,3.0,284,30.485090788119447,851.2251165273764,1.3375082138454634e-08,-4.769666919805919,0.004746132074279743,54.29489804403087,12.918678863584784,10.717630231728986,0.03534756603205903,0.016153544075651127,0.010858979608806175,1.0,107.03445190633677
51.6,30070.43981648589,0.0,0.0,none,1,1.0,95,30.485090788119447,287.83699573853534,726.6302360481536,-4.769666919805919,0.004746132074279743,414.9944672889174,13.634251076620009,11.015565035248784,0.15136221960010587,0.016855078815159418,0.08299889345778348,1.0056381025876238,5112.289097109287
51.6,30070.43981648589,0.0,0.0,none,1,3.0,284,30.485090788119447,851.8208978633027,8961.471807184187,-4.769666919805919,0.004746132074279743,54.220908985366655,12.92166775332959,10.722841299700208,0.03536051237623285,0.01614207357493886,0.01084418179707333,1.0027310328153063,106.70838004169403
51.6,30070.43981648589,0.0,1.0,nor,0,1.0,95,30.485090788119447,287.64552119396643,907.9391105139536,-4.769666919805919,0.004746132074279743,405.62690214115753,13.60383843671103,11.023950710574573,0.14801323558489468,0.016910949024941332,0.0811253804282315,1.0,4885.691709686612
51.6,30070.43981648589,0.0,1.0,nor,0,3.0,284,30.485090788119447,851.2278381848772,908.0372134554086,-4.769666919805919,0.004746132074279743,54.26084382939536,12.918606003111972,10.718358531605418,0.03533923593880749,0.016155813709502677,0.010852168765879073,1.0,106.92652395931903
51.6,30070.43981648589,0.0,1.0,nor,1,1.0,95,30.485090788119447,287.83387478945446,1104.486031658363,-4.769666919805919,0.004746132074279743,404.40540205191206,13.606363810061065,11.02712119261531,0.14765838044695387,0.01690113305149729,0.08088108041038242,1.0060500915360715,4855.476658584928
51.6,30070.43981648589,0.0,1.0,nor,1,3.0,284,30.485090788119447,851.8093898028682,8588.959115063484,-4.769666919805919,0.004746132074279743,54.186319572035195,12.921595954871938,10.723523408971198,0.03535213217032725,0.01614422647950738,0.01083726391440704,1.002752558424371,106.59832962068675
51.6,30070.43981648589,0.04169392,0.0,none,0,1.0,95,30.48509078811882,287.6447531373208,5021.368263215207,-4.769666919805919,0.005029143512271291,414.7497330045658,13.635841079728436,11.06361829673487,0.15112857290191475,0.0814283682098135,0.08294994660091316,1.0,5284.068935815714
51.6,30070.43981648589,0.04169392,0.0,none,0,3.0,284,30.48509078811882,851.2251764923645,5021.8673957930605,-4.769666919805919,0.005029143512271291,54.27018028426791,12.924118600481535,10.740543121917113,0.03529541731337709,0.019239446537514585,0.010854036056853582,1.0,110.61762191060755
