episode,terminal_cause,success,steps,episode_orbits,a_sat_km,a_tgt_km,hohmann_dv,policy_dv,lambert_dv_immediate,lambert_dv_free,lambert_dv_timematched,ratio_immediate,ratio_free,ratio_timematched,best_tof_immediate_s,best_revs_immediate,best_wait_free_s,best_tof_free_s,best_revs_free,best_wait_tm_s,best_tof_tm_s,best_revs_tm,n_burns,teleport_net_deg,teleport_abs_deg,teleport_coast_deg
ep_0000031.npz,1,1,1007,10.497357512648668,6805.0375,6941.604,75.65701962104595,210.0,1103.8088466235413,1103.8088466235413,179.37528311243605,0.19025033242157136,0.19025033242157136,1.1707298595223277,13779.683742564142,2,0.0,13779.683742564142,2,2889.7039128151264,55567.31457493152,10,9,-6.455318232258418e-05,0.00079481073619667,0.0007908112113557234
ep_0000032.npz,1,1,1201,13.183342715624052,7019.359,6706.6425,173.66135083563222,200.0,1148.7810791278055,1148.7810791278055,172.2967508052461,0.17409757492859035,0.17409757492859035,1.1607879955093756,13367.273166463217,1,0.0,13367.273166463217,1,15990.204831932773,36400.44204883055,6,10,-5.4329951566837703e-05,0.000920921254965168,0.0009119071233434656
ep_0000033.npz,1,1,1125,11.738052430790706,7112.6475,6937.4175,93.95073474262972,230.0,942.3182200793732,942.3182200793732,130.21937616695283,0.24407890572319263,0.24407890572319263,1.7662502061530347,13783.06545260014,1,0.0,13783.06545260014,1,19234.614011620277,45649.67978345183,7,11,1.9212562752931008e-05,0.0008384742889761098,0.0008324476450132638
ep_0000034.npz,1,1,561,5.693085191615826,7132.2005,7067.0305,34.39044540424493,175.0,315.47602895983016,315.47602895983016,143.7489577090644,0.5547172651342169,0.5547172651342169,1.2174001313747613,17737.3070314691,2,0.0,17737.3070314691,2,436.4397321428571,29534.958178744382,4,7,1.76783669115645e-06,0.00041301700671033,0.00041049242853158856
ep_0000035.npz,1,1,649,6.5749359315482865,7000.143,7075.041,40.04770164667843,215.0,176.0340812671168,159.9636781045823,141.49592516447456,1.2213544016726836,1.344055116433592,1.5194783860389227,16327.625087466873,2,339.31666503880786,10326.950994343915,1,727.7123407956932,15360.20233866897,2,10,-4.10993910201325e-05,0.0004635761366657014,0.0004582963705779288
ep_0000036.npz,1,1,327,3.3051436946334123,6958.851,7085.956,68.18458418530827,185.0,223.60347974007013,185.98102082083142,185.98102082072916,0.8273574284937556,0.9947251562740023,0.9947251562745492,15840.586708885796,2,6568.596752600109,9082.662718597836,1,6568.592642134979,9082.670981640296,1,8,-2.614672967514598e-05,0.00024107388246472154,0.00023783843914456493
ep_0000037.npz,1,1,829,8.572526376026701,6724.7905,6978.959,141.48243611906673,175.0,1371.113098735636,1371.113098735636,305.7344959517683,0.12763352648397513,0.12763352648397513,0.5723920667022391,13507.503991321146,2,0.0,13507.503991321146,2,10083.844537815126,36939.1801728419,6,7,-0.00010093368199213577,0.0006266763714477683,0.0006185990683399365
ep_0000038.npz,1,1,836,8.529379861893498,7097.422,7041.8385,29.518361612447734,250.0,860.8021144778177,860.8021144778177,226.43626369892058,0.2904267958863644,0.2904267958863644,1.1040634389393158,14174.000809917463,1,0.0,14174.000809917463,1,40.34007352941177,49313.42607089689,7,10,-1.6762877502384974e-05,0.0006400745141993069,0.0006361672353674533
ep_0000039.npz,1,1,744,8.222764111339135,6998.1555,6676.214,179.8002038905679,195.0,1143.0592485911968,1143.0592485911968,179.8437897409937,0.1705948315805454,0.1705948315805454,1.08427430427725,12122.522954651457,1,0.0,12122.522954651457,1,27083.166688550416,8442.25797802952,1,9,-5.3162738836726625e-05,0.0005969373566543121,0.0005880080724608472
ep_0000040.npz,1,1,766,8.025021883122557,6712.099,6918.552,115.84240150650385,170.0,976.5807123153311,976.5807123153311,222.74154063978528,0.17407675357109467,0.17407675357109467,0.7632164144672133,15798.756238172304,3,0.0,15798.756238172304,3,3331.1344537815125,42376.56886104413,7,8,7.905888698462725e-05,0.0005622245078318949,0.0005598221438662327
