alt_km,i_deg,dRAAN_deg,theta_exact_deg,theta_smallangle_deg,lin_err_pct,dv_ms,dv_per_deg_RAAN,dv_per_deg_incl,cost_ratio_RAAN_to_incl,node_u_deg
800.0,28.5,1.0,0.47715408285218924,0.4771587602596084,0.0009802719053028817,62.08887394784721,62.08887394784721,130.12204557273705,0.4771587602589608,90.0
800.0,28.5,2.0,0.9542801008161998,0.9543175205192168,0.003921249430326071,124.17301958766863,62.08650979383432,130.12204557273705,0.47714059151589744,90.0
800.0,28.5,5.0,2.3852090694159362,2.385793801298042,0.024514911066024443,310.34981113831986,62.06996222766397,130.12204557273705,0.47701342193369856,90.0
800.0,51.6,0.1,0.0783693418955415,0.07836934573258399,4.896101469005089e-06,10.197707715515588,101.97707715515587,130.12204557273705,0.7837033048957995,90.0
800.0,51.6,0.25,0.19592330436702138,0.19592336433145996,3.0606077601311165e-05,25.494252300544385,101.97700920217754,130.12204557273705,0.7837027826708527,90.0
800.0,51.6,0.5,0.39184624893971726,0.3918467286629199,0.00012242638635612984,50.98838325737174,101.97676651474347,130.12204557273705,0.7837009175953923,90.0
800.0,51.6,1.0,0.7836896194844939,0.7836934573258398,0.0004897144546109394,101.97579576927727,101.97579576927727,130.12204557273705,0.7836934573263661,90.0
800.0,51.6,2.0,1.5673562103289276,1.5673869146516797,0.0019589881706383555,203.94382568678262,101.97191284339131,130.12204557273705,0.7836636166804642,90.0
800.0,51.6,5.0,3.9179873578451727,3.9184672866291996,0.012249370408654547,509.72367423181674,101.94473484636335,130.12204557273705,0.7834547512502573,90.0
800.0,63.4,0.1,0.08941542141177979,0.08941542368393682,2.541124346276742e-06,11.63506403540771,116.3506403540771,130.12204557273705,0.8941654724374751,90.0
800.0,63.4,0.25,0.22353852365973864,0.22353855920984203,1.5903345332493907e-05,29.087640705170756,116.35056282068302,130.12204557273705,0.894164876586144,90.0
800.0,63.4,0.5,0.44707683400229226,0.44707711841968406,6.36171168230155e-05,58.17514296306644,116.35028592613288,130.12204557273705,0.8941627486258208,90.0
800.0,63.4,1.0,0.8941519614543142,0.8941542368393681,0.0002544740885164474,116.34917835513302,116.34917835513302,130.12204557273705,0.8941542368398665,90.0
800.0,63.4,2.0,1.7882902693059743,1.7883084736787362,0.0010179763919923913,232.68949626974765,116.34474813487383,130.12204557273705,0.8941201901858986,90.0
800.0,63.4,5.0,4.470486599880734,4.470771184196841,0.006365846530317781,581.5686971369198,116.31373942738396,130.12204557273705,0.8938818853901711,90.0
800.0,90.0,0.1,0.10000000000019954,0.1,-1.995425341362641e-10,13.012368063193483,130.12368063193483,130.12204557273705,1.0000125655817242,90.0
800.0,90.0,0.25,0.24999999999995154,0.25,1.9381505090172062e-11,32.530898480917365,130.12359392366946,130.12204557273705,1.0000118992206555,90.0
800.0,90.0,0.5,0.49999999999986244,0.5,2.751179799466699e-11,65.06164212629152,130.12328425258303,130.12204557273705,1.0000095193696081,90.0
800.0,90.0,1.0,0.9999999999999002,1.0,9.978990313092779e-12,130.1220455727241,130.1220455727241,130.12204557273705,0.9999999999999004,90.0
800.0,90.0,2.0,1.9999999999999472,2.0,2.643836078966618e-12,260.23418184790887,130.11709092395444,130.12204557273705,0.9999619230641449,90.0
800.0,90.0,5.0,4.999999999999992,5.0,1.590277340731761e-13,650.4120577593164,130.0824115518633,130.12204557273705,0.9996954088701933,90.0
800.0,98.0,0.1,0.09902680662818968,0.09902680687415703,2.483846266028806e-07,12.885732591339615,128.85732591339612,130.12204557273705,0.9902805120087513,90.0
800.0,98.0,0.25,0.24756701338012183,0.24756701718539262,1.5370669669167439e-06,32.21431001295243,128.85724005180973,130.12204557273705,0.990279852154489,90.0
800.0,98.0,0.5,0.49513400393869295,0.49513403437078524,6.146233548437432e-06,64.42846669746906,128.85693339493812,130.12204557273705,0.9902774954679625,90.0
800.0,98.0,1.0,0.9902678252855945,0.9902680687415705,2.4584861763814568e-05,128.85570676997162,128.85570676997162,130.12204557273705,0.9902680687412222,90.0
800.0,98.0,2.0,1.980534189663731,1.980536137483141,9.834818404671214e-05,257.7016006790444,128.8508003395222,130.12204557273705,0.990230362367734,90.0
800.0,98.0,5.0,4.951309889974554,4.951340343707852,0.0006150641744356794,644.0822923235385,128.8164584647077,130.12204557273705,0.9899664418716846,90.0
2000.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,120.43482120854657,0.0,90.0
2000.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,120.43482120854657,0.0,90.0
2000.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,120.43482120854657,0.0,90.0
2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.43482120854657,0.0,90.0
2000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,120.43482120854657,0.0,90.0
2000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,120.43482120854657,0.0,90.0
2000.0,5.0,0.1,0.008715573176999333,0.008715574274765816,1.259545943177409e-05,1.0496718190858971,10.49671819085897,120.43482120854657,0.08715683791054675,90.0
2000.0,5.0,0.25,0.021788918529514735,0.02178893568691454,7.87436961688299e-05,2.624177798584882,10.496711194339529,120.43482120854657,0.08715677981672162,90.0
2000.0,5.0,0.5,0.04357773414721485,0.04357787137382908,0.00031490075589532345,5.248343107970702,10.496686215941404,120.43482120854657,0.08715657241492641,90.0
2000.0,5.0,1.0,0.08715464493620846,0.08715574274765817,0.0012596132432277475,10.496586294703501,10.496586294703501,120.43482120854657,0.0871557427442639,90.0
2000.0,5.0,2.0,0.17430270312381774,0.17431148549531633,0.0050385744691298934,20.99237323447644,10.49618661723822,120.43482120854657,0.08715242412377464,90.0
2000.0,5.0,5.0,0.4356414994142663,0.4357787137382908,0.03149707367388293,52.4669456401632,10.493389128032641,120.43482120854657,0.08712919588149798,90.0
2000.0,28.5,0.1,0.04771587134384327,0.04771587602596085,9.812495177556697e-06,5.746725207452608,57.46725207452607,120.43482120854657,0.4771647559887601,90.0
2000.0,28.5,0.25,0.11928961697875737,0.1192896900649021,6.126781742100925e-05,14.366803446488976,57.467213785955906,120.43482120854657,0.4771644380693263,90.0
2000.0,28.5,0.5,0.2385787954545005,0.2385793801298042,0.00024506591317136354,28.73353851241062,57.46707702482124,120.43482120854657,0.4771633025079223,90.0
2000.0,28.5,1.0,0.47715408285218924,0.4771587602596084,0.0009802719053028817,57.466529979879674,57.466529979879674,120.43482120854657,0.47715876025896076,90.0
2000.0,28.5,2.0,0.9542801008161998,0.9543175205192168,0.003921249430326071,114.9286836611145,57.46434183055725,120.43482120854657,0.4771405915158974,90.0
2000.0,28.5,5.0,2.3852090694159362,2.385793801298042,0.024514911066024443,287.24513092330983,57.44902618466197,120.43482120854657,0.47701342193369856,90.0
2000.0,51.6,0.1,0.0783693418955415,0.07836934573258399,4.896101469005089e-06,9.438516740567268,94.38516740567268,120.43482120854657,0.7837033048957995,90.0
2000.0,51.6,0.25,0.19592330436702138,0.19592336433145996,3.0606077601311165e-05,23.59627612790114,94.38510451160457,120.43482120854657,0.7837027826708527,90.0
2000.0,51.6,0.5,0.39184624893971726,0.3918467286629199,0.00012242638635612984,47.19243994578747,94.38487989157494,120.43482120854657,0.7837009175953922,90.0
2000.0,51.6,1.0,0.7836896194844939,0.7836934573258398,0.0004897144546109394,94.38398141540861,94.38398141540861,120.43482120854657,0.7836934573263661,90.0
2000.0,51.6,2.0,1.5673562103289276,1.5673869146516797,0.0019589881706383555,188.76077512510935,94.38038756255467,120.43482120854657,0.7836636166804641,90.0
2000.0,51.6,5.0,3.9179873578451727,3.9184672866291996,0.012249370408654547,471.7761644590552,94.35523289181104,120.43482120854657,0.7834547512502571,90.0
2000.0,63.4,0.1,0.08941542141177979,0.08941542368393682,2.541124346276742e-06,10.768865880386288,107.68865880386288,120.43482120854657,0.894165472437475,90.0
2000.0,63.4,0.25,0.22353852365973864,0.22353855920984203,1.5903345332493907e-05,26.922146760653586,107.68858704261434,120.43482120854657,0.8941648765861439,90.0
2000.0,63.4,0.5,0.44707683400229226,0.44707711841968406,6.36171168230155e-05,53.84416538104664,107.68833076209329,120.43482120854657,0.8941627486258207,90.0
2000.0,63.4,1.0,0.8941519614543142,0.8941542368393681,0.0002544740885164474,107.6873056466737,107.6873056466737,120.43482120854657,0.8941542368398664,90.0
2000.0,63.4,2.0,1.7882902693059743,1.7883084736787362,0.0010179763919923913,215.3664104879807,107.68320524399034,120.43482120854657,0.8941201901858985,90.0
2000.0,63.4,5.0,4.470486599880734,4.470771184196841,0.006365846530317781,538.2725252426188,107.65450504852376,120.43482120854657,0.893881885390171,90.0
2000.0,90.0,0.1,0.10000000000019954,0.1,-1.995425341362641e-10,12.04363345421349,120.43633454213489,120.43482120854657,1.000012565581724,90.0
2000.0,90.0,0.25,0.24999999999995154,0.25,1.9381505090172062e-11,30.10906357226468,120.43625428905872,120.43482120854657,1.0000118992206555,90.0
2000.0,90.0,0.5,0.49999999999986244,0.5,2.751179799466699e-11,60.21798383606166,120.43596767212333,120.43482120854657,1.000009519369608,90.0
2000.0,90.0,1.0,0.9999999999999002,1.0,9.978990313092779e-12,120.43482120853454,120.43482120853454,120.43482120854657,0.9999999999999002,90.0
2000.0,90.0,2.0,1.9999999999999472,2.0,2.643836078966618e-12,240.86047083916935,120.43023541958468,120.43482120854657,0.9999619230641448,90.0
2000.0,90.0,5.0,4.999999999999992,5.0,1.590277340731761e-13,601.9906891514329,120.39813783028657,120.43482120854657,0.9996954088701931,90.0
