alt_km,a_km,v_circ_ms,di_deg,dv_circ_ms,frac_budget_circ,dv_apo_e10_ms,dv_per_e10_ms,dv_apo_e30_ms,dv_per_e30_ms,dv_apo_e50_ms,dv_per_e50_ms
400.0,6771.0,7672.598648385013,45.0,5872.352771847451,12.281919708847838,5311.742940224047,6492.130260273835,4309.128856626726,8002.667876592491,3390.4044536025704,10171.213360807711
400.0,6771.0,7672.598648385013,60.0,7672.598648385012,16.04710142916583,6940.126604640291,8482.376961227023,5630.148174948565,10455.98946776162,4429.776895029045,13289.330685087136
400.0,6771.0,7672.598648385013,90.0,10850.693067191562,22.694028477902993,9814.821168868639,11995.892539728338,7962.2319071823895,14787.002113338724,6264.650563237054,18793.951689711164
800.0,7171.0,7455.538661189395,0.05,6.506184650926618,0.01360756763059376,5.8850654465162755,7.192857767964338,4.774234300135483,8.866435128823039,3.7563474596098936,11.269042378829683
800.0,7171.0,7455.538661189395,0.1,13.012368063167518,0.027215132670498726,11.770129772599162,14.385714166510091,9.548467691324147,17.732868569601987,7.512694204064255,22.538082612192767
800.0,7171.0,7455.538661189395,0.2,26.024726216850702,0.05443024461549003,23.54025058173249,28.771417377673046,19.096928111074774,35.465723634853155,15.025382686885061,45.07614806065519
800.0,7171.0,7455.538661189395,0.25,32.530898480923675,0.06803778633920322,29.42530482391807,35.96426145145543,23.87115332174466,44.332141883240084,18.781722994941667,56.34516898482501
800.0,7171.0,7455.538661189395,0.5,65.06164212630941,0.13607524884267672,58.850469593822446,71.928351725783,47.7421930252667,88.66407276120958,37.56335659554383,112.6900697866315
800.0,7171.0,7455.538661189395,0.75,97.59207610135623,0.2041120636762321,88.27535425636603,107.89209964666962,71.61300549288427,132.9955816296422,56.34481140789246,169.0344342236774
800.0,7171.0,7455.538661189395,1.0,130.12204557273705,0.2721479070087637,117.69981875953493,143.85533403943163,95.48347710799707,177.32645748628028,75.12599803892448,225.3779941167735
800.0,7171.0,7455.538661189395,1.5,195.17997168298393,0.40821538387099404,176.5469270903589,215.77957755488316,143.22294332295982,265.98546617121104,112.68720919159429,338.0616275747829
800.0,7171.0,7455.538661189395,2.0,260.23418184791575,0.5442750889007452,235.39067422217795,287.69971293821754,190.95968277953307,354.6394108762757,150.24627494223617,450.7388248267086
