geom,rho0_km,rho_over_r,period_min,arc_min,burn_dv_ms,burn_dir,burn_t_min,k,hyp_valid,hyp_a_km,hyp_perigee_alt_km,arm,t_1sig_min,t_3sig_min,t_D3_min,D_final,dbeta_10min,dbeta_1h,dbeta_6h,dbeta_24h,dbeta_50h,dbeta_max,pow_p
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6770.61474056093,392.8330845671594,nonlinear_minus_linear,29.0,nan,29.0,16.14413602124787,0.00020988675415978264,0.000304771588393038,0.0015426358815964214,nan,nan,0.0015426358815964214,-0.16041327460914132
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6771.19815735211,393.4283393396083,nonlinear,37.0,37.0,37.0,2607.7945755947267,0.000104808255473543,0.12465430426063584,7.883582380729948e-05,nan,nan,1.0201744832016515,2.5381793545362195
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6771.19815735211,393.4283393396083,linear_classical,37.0,37.0,37.0,2610.739821189685,0.0,0.1256895923584378,0.0006503760306157957,nan,nan,1.0193022234190527,-5.3948958351331235
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,10.0,prograde,36.0,0.5,1,6771.19815735211,393.4283393396083,nonlinear_minus_linear,39.0,41.0,40.0,14.12714379291775,0.000104808255473543,0.0010352880978019563,0.0007292118544230952,nan,nan,0.0038781588587042393,0.23458399951555406
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6770.61474056093,392.8330845671594,nonlinear,29.0,37.0,29.0,1821.1914817169932,0.00020988675415978264,0.18370923347866386,0.00021984635462901636,nan,nan,0.5627367970114183,2.495587135670908
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6770.61474056093,392.8330845671594,linear_classical,37.0,37.0,37.0,1823.7759481790226,0.0,0.18620042003013282,0.0012384914417089554,nan,nan,0.5615586550578824,-3.716880127346781
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,92.41425159967986,360.0,10.0,prograde,36.0,2.0,1,6770.61474056093,392.8330845671594,nonlinear_minus_linear,29.0,43.0,29.0,22.43865170122313,0.00020988675415978264,0.00249118655146896,0.0014583377963379718,nan,nan,0.0033578201571597965,0.41226415049028686
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,0.0,none,nan,0.5,1,6771.992721756841,394.22615639909543,nonlinear,75.0,349.0,68.0,34.790445647371314,0.0001458236064499907,0.00040801912443200195,0.0031599550889001016,nan,nan,0.0031599550889001016,0.7561764748164246
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,0.0,none,nan,0.5,1,6771.992721756841,394.22615639909543,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,0.0,none,nan,0.5,1,6771.992721756841,394.22615639909543,nonlinear_minus_linear,75.0,349.0,68.0,34.790445647371314,0.0001458236064499907,0.00040801912443200195,0.0031599550889001016,nan,nan,0.0031599550889001016,0.7561764748164246
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,0.0,none,nan,2.0,1,6769.058213599414,391.24572936537584,nonlinear,63.0,160.0,27.0,68.2975164556794,0.0002931084380128901,0.0007822932488275036,0.006206921208830707,nan,nan,0.006206921208830707,0.7377731360354448
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,0.0,none,nan,2.0,1,6769.058213599414,391.24572936537584,linear_classical,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,0.0,none,nan,2.0,1,6769.058213599414,391.24572936537584,nonlinear_minus_linear,63.0,160.0,27.0,68.2975164556794,0.0002931084380128901,0.0007822932488275036,0.006206921208830707,nan,nan,0.006206921208830707,0.7377731360354448
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6771.992721756841,394.22615639909543,nonlinear,37.0,37.0,37.0,245.05021875241994,0.0001458236064499907,0.024235449137081755,0.0042729455529051386,nan,nan,0.02843788696022198,2.387172491425351
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6771.992721756841,394.22615639909543,linear_classical,37.0,37.0,37.0,240.30428321414234,0.0,0.02468403914545636,0.0011187129550345176,nan,nan,0.02853490322980301,-0.48113846461520193
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,1.0,radial,36.0,0.5,1,6771.992721756841,394.22615639909543,nonlinear_minus_linear,75.0,349.0,68.0,34.744245267236,0.0001458236064499907,0.0004485900083746053,0.003154232597870621,nan,nan,0.003154232597870621,0.7576541784762378
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,92.41425159967986,360.0,1.0,radial,36.0,2.0,1,6769.058213599414,391.24572936537584,nonlinear,37.0,38.0,27.0,150.36389762624657,0.0002931084380128901,0.013081553709162641,0.006797576804963512,nan,nan,0.01682851997692625,1.654236374793123
