alt1_km,alt2_km,da_km,di_deg,dv_hohmann_ms,dv_plane_at_hi_ms,dv_sequential_ms,dv_combined_burn2_ms,dv_combined_optsplit_ms,opt_split_frac_burn1,save_vs_seq_ms,save_vs_seq_pct
800.0,2800.0,2000.0,5.0,859.6344803455988,575.1353984910436,1434.7698788366424,1138.3374168687428,1051.7149753921253,0.4,383.0549034445171,26.698002871032557
2000.0,2100.0,100.0,0.1,40.8506651962846,11.972334973906097,52.823000170190696,44.09602427647083,42.57898597674313,0.5,10.244014193447569,19.39309422115807
2000.0,2100.0,100.0,0.25,40.8506651962846,29.930817490336562,70.78148268662116,56.63778654228979,50.694988826726615,0.5,20.086493859894546,28.378176180380034
2000.0,2100.0,100.0,0.5,40.8506651962846,59.861492520598446,100.71215771688304,83.61181354281094,72.61722222649385,0.49,28.09493549038919,27.896270050502007
2000.0,2100.0,100.0,1.0,40.8506651962846,119.72184536466777,160.57251056095237,141.72667566181624,126.82588910164924,0.48,33.74662145930313,21.016437584123786
2000.0,2100.0,100.0,2.0,40.8506651962846,239.43457344728904,280.2852386435736,260.40235838126506,243.5217475985918,0.42,36.76349104498183,13.116456372407233
2000.0,2100.0,100.0,5.0,40.8506651962846,598.426895762629,639.2775609589136,618.3402258206445,600.8192405926064,0.23,38.458320366307134,6.015903375150509
2000.0,2400.0,400.0,0.1,159.16234983777338,11.765804958695641,170.92815479646902,160.02228082013175,159.60667709750618,0.49,11.321477698962838,6.623530051233382
2000.0,2400.0,400.0,0.25,159.16234983777338,29.41449279636387,188.57684263413725,164.39319953910547,161.91938620260888,0.49,26.657456431528374,14.13612406442035
2000.0,2400.0,400.0,0.5,159.16234983777338,58.82884559017547,217.99119542794884,178.43093337048754,169.9216395684611,0.48,48.069555859487735,22.051145581875506
2000.0,2400.0,400.0,1.0,159.16234983777338,117.65657116393083,276.8189210017042,221.25486506937466,198.72781160994361,0.48,78.0911093917606,28.210177653022438
2000.0,2400.0,400.0,2.0,159.16234983777338,235.3041823244416,394.466532162215,326.98221031892194,286.2587292879622,0.47,108.20780287425282,27.431428030440596
2000.0,2400.0,400.0,5.0,159.16234983777338,588.1036700799551,747.2660199177285,670.0169503698467,614.7462204422384,0.38,132.51979947549012,17.73395229319809
2000.0,2600.0,600.0,0.1,234.68289040442733,11.633911934733362,246.3168023391607,235.25310173100218,234.98086568074996,0.48,11.33593665841073,4.602177582186194
2000.0,2600.0,600.0,0.25,234.68289040442733,29.08476045617563,263.76765086060294,238.20220458490576,236.53906446825474,0.48,27.228586392348205,10.322943811915012
2000.0,2600.0,600.0,0.5,234.68289040442733,58.16938247920797,292.8522728836353,248.18896130027198,242.0220138494314,0.48,50.83025903420389,17.356962448572585
2000.0,2600.0,600.0,1.0,234.68289040442733,116.33765749722288,351.0205479016502,282.15554142104236,262.8104746448439,0.48,88.21007325680631,25.12960388903536
2000.0,2600.0,600.0,2.0,234.68289040442733,232.6664554314078,467.34934583583515,376.6604394112614,333.1931742298004,0.47,134.15617160603477,28.70575786644185
2000.0,2600.0,600.0,5.0,234.68289040442733,581.5111103934346,816.1940007978619,706.3923390159364,635.17133752434,0.4,181.02266327352197,22.178876970005312
2000.0,3000.0,1000.0,0.1,378.26680207142255,11.382908147393623,389.64971021881615,378.60400384958143,378.44740994282705,0.46,11.202300275989103,2.874966920852632
2000.0,3000.0,1000.0,0.25,378.26680207142255,28.457251405967536,406.7240534773901,380.3644175216714,379.39417525477256,0.46,27.329878222617538,6.719513633126399
2000.0,3000.0,1000.0,0.5,378.26680207142255,56.91436736551228,435.18116943693485,386.5216932783093,382.7561578414443,0.46,52.42501159549056,12.04670957231936
2000.0,3000.0,1000.0,1.0,378.26680207142255,113.8276511635102,492.09445323493276,409.4150242507762,395.9158651573895,0.46,96.17858807754328,19.54474134899998
2000.0,3000.0,1000.0,2.0,378.26680207142255,227.64663391068262,605.9134359821052,483.5390490728188,444.647391764385,0.46,161.26604421772015,26.615360320625555
2000.0,3000.0,1000.0,5.0,378.26680207142255,568.9649013531962,947.2317034246187,782.7630754594067,695.1623506875931,0.42,252.0693527370256,26.611160904527882
2000.0,4000.0,2000.0,0.1,698.9646221802834,10.820214821113275,709.7848370013967,699.1272563015405,699.0567802245896,0.43,10.72805677680708,1.5114519524155416
2000.0,4000.0,2000.0,0.25,698.9646221802834,27.050519027644125,726.0151412079275,699.9798120041655,699.540404560474,0.43,26.474736647453483,3.6465818885547505
2000.0,4000.0,2000.0,0.5,698.9646221802834,54.100909304412596,753.0655314846961,703.0073951393636,701.2648272469313,0.43,51.80070423776476,6.878644961433541
2000.0,4000.0,2000.0,1.0,698.9646221802834,108.20078860549681,807.1654107857802,714.8600697354592,708.1192522256608,0.43,99.04615856011935,12.270862605930715
2000.0,4000.0,2000.0,2.0,698.9646221802834,216.39333730202492,915.3579594823084,758.7692670493313,734.8800684538885,0.43,180.4778910284199,19.71664627579044
2000.0,4000.0,2000.0,5.0,698.9646221802834,540.8391580252483,1239.8037802055317,985.0602077502455,899.5804968329769,0.41,340.22328337255476,27.441703986106038
8000.0,8100.0,100.0,0.1,18.228367876237748,9.160030686400306,27.388398562638052,22.032737903101594,20.407633731063235,0.5,6.980764831574817,25.48803580322379
8000.0,8100.0,100.0,0.25,18.228367876237748,22.900061456523048,41.128429332760795,33.74782907764735,29.300355195317437,0.5,11.828074137443359,28.75887635227957
8000.0,8100.0,100.0,0.5,18.228367876237748,45.8000139168763,64.02838179311405,55.77962458979197,49.366941934676504,0.49,14.661439858437546,22.898345152327927
8000.0,8100.0,100.0,1.0,18.228367876237748,91.59915586750692,109.82752374374468,101.09366483217056,93.54396492269773,0.47,16.283558821046952,14.82648271214837
