seed,e_fixed,phase_gap_deg,relation,success_n,total,wall_s
seedC,0.5,150,fully_random,0,100,3.8
seedC,0.5,150,same_orbit_init,0,100,4.0
seedC,0.5,180,fully_random,0,100,3.9
seedC,0.5,180,same_orbit_init,2,100,3.9
seedC,0.7,30,fully_random,13,100,4.2
seedC,0.7,30,same_orbit_init,0,100,3.7
seedC,0.7,90,fully_random,13,100,4.2
seedC,0.7,90,same_orbit_init,0,100,3.7
seedC,0.7,150,fully_random,13,100,4.1
seedC,0.7,150,same_orbit_init,0,100,3.8
seedC,0.7,180,fully_random,13,100,4.0
seedC,0.7,180,same_orbit_init,0,100,3.9
seedD,0.0,30,fully_random,85,100,2.7
seedD,0.0,30,same_orbit_init,100,100,1.9
seedD,0.0,90,fully_random,88,100,3.2
seedD,0.0,90,same_orbit_init,89,100,2.8
seedD,0.0,150,fully_random,95,100,3.3
seedD,0.0,150,same_orbit_init,80,100,3.8
seedD,0.0,180,fully_random,90,100,3.0
seedD,0.0,180,same_orbit_init,59,100,3.9
seedD,0.05,30,fully_random,5,100,3.7
seedD,0.05,30,same_orbit_init,59,100,3.0
seedD,0.05,90,fully_random,6,100,3.7
seedD,0.05,90,same_orbit_init,50,100,3.2
seedD,0.05,150,fully_random,3,100,3.9
seedD,0.05,150,same_orbit_init,16,100,3.5
seedD,0.05,180,fully_random,3,100,3.8
seedD,0.05,180,same_orbit_init,24,100,3.7
seedD,0.1,30,fully_random,0,100,4.0
seedD,0.1,30,same_orbit_init,33,100,3.2
seedD,0.1,90,fully_random,0,100,3.8
seedD,0.1,90,same_orbit_init,22,100,3.5
seedD,0.1,150,fully_random,0,100,3.9
seedD,0.1,150,same_orbit_init,28,100,3.6
seedD,0.1,180,fully_random,0,100,4.0
seedD,0.1,180,same_orbit_init,35,100,3.4
seedD,0.2,30,fully_random,0,100,4.0
seedD,0.2,30,same_orbit_init,27,100,3.6
seedD,0.2,90,fully_random,0,100,3.7
seedD,0.2,90,same_orbit_init,20,100,3.5
seedD,0.2,150,fully_random,0,100,3.8
seedD,0.2,150,same_orbit_init,1,100,3.8
seedD,0.2,180,fully_random,0,100,3.8
seedD,0.2,180,same_orbit_init,11,100,3.8
seedD,0.5,30,fully_random,0,100,3.8
seedD,0.5,30,same_orbit_init,0,100,3.9
seedD,0.5,90,fully_random,0,100,4.0
seedD,0.5,90,same_orbit_init,0,100,3.9
seedD,0.5,150,fully_random,0,100,3.9
seedD,0.5,150,same_orbit_init,0,100,4.0
seedD,0.5,180,fully_random,0,100,3.9
seedD,0.5,180,same_orbit_init,0,100,4.3
seedD,0.7,30,fully_random,13,100,3.9
seedD,0.7,30,same_orbit_init,0,100,3.9
seedD,0.7,90,fully_random,13,100,4.0
seedD,0.7,90,same_orbit_init,0,100,3.6
seedD,0.7,150,fully_random,13,100,3.9
seedD,0.7,150,same_orbit_init,0,100,3.6
seedD,0.7,180,fully_random,13,100,3.6
seedD,0.7,180,same_orbit_init,0,100,3.7
