   sep_km     dI     dv   ax   orb |     sig_rng   sig_inpl  sig_plane   pl/rng   rng/rho
     50.0  0.000    1.0  nor  1.00 |      879.63      8.874     10.893   0.0124  1.76e-02
     50.0  0.000    1.0  nor  3.00 |      549.68      5.089      4.592   0.0084  1.10e-02
     50.0  0.000    5.0  pro  1.00 |      142.32     19.287      8.217   0.0577  2.85e-03
     50.0  0.000    5.0  pro  3.00 |       70.69      6.945      5.835   0.0825  1.41e-03
     50.0  0.000    5.0  nor  1.00 |      180.60      8.873     10.899   0.0603  3.61e-03
     50.0  0.000    5.0  nor  3.00 |      123.40      5.047      4.599   0.0373  2.47e-03
     50.0  0.000   25.0  pro  1.00 |       65.22     20.047      8.474   0.1299  1.30e-03
     50.0  0.000   25.0  pro  3.00 |       54.63      7.331      6.383   0.1168  1.09e-03
     50.0  0.000   25.0  nor  1.00 |       54.69      8.897     11.035   0.2018  1.09e-03
     50.0  0.000   25.0  nor  3.00 |       45.98      4.582      4.737   0.1030  9.20e-04
     50.0  0.010    0.0    -  1.00 |    35438.73      9.123      7.680   0.0002  7.09e-01
     50.0  0.010    0.0    -  3.00 |     6263.18      5.291      4.258   0.0007  1.25e-01
     50.0  0.010    1.0  pro  1.00 |      526.77     18.890      7.649   0.0145  1.05e-02
     50.0  0.010    1.0  pro  3.00 |      178.81      5.898      4.893   0.0274  3.58e-03
     50.0  0.010    1.0  nor  1.00 |      864.49      8.874     10.760   0.0124  1.73e-02
     50.0  0.010    1.0  nor  3.00 |      595.82      5.073      4.626   0.0078  1.19e-02
     50.0  0.010    5.0  pro  1.00 |      142.31     19.287      8.219   0.0578  2.85e-03
     50.0  0.010    5.0  pro  3.00 |       70.54      6.937      5.836   0.0827  1.41e-03
     50.0  0.010    5.0  nor  1.00 |      178.71      8.875     10.874   0.0608  3.57e-03
     50.0  0.010    5.0  nor  3.00 |      129.46      5.021      4.607   0.0356  2.59e-03
     50.0  0.010   25.0  pro  1.00 |       65.22     20.046      8.476   0.1300  1.30e-03
     50.0  0.010   25.0  pro  3.00 |       54.54      7.324      6.384   0.1171  1.09e-03
