LEO 500 km, rho0 = 5 km, i_t = 51.6 deg, sigma_beta = 1 mrad, 60 s cadence
box: 5 km / 1 m/s   plane box: 0.0417 deg pos (5.00 km) / 0.0075 deg vel

 v_tol      da_m   dI_deg    dv      axis  orb |     sig_rng    /box  sig_vrng   /vbox sig_plane  /plbox       gain
   0.1      60.1   0.0075   1.0       pro  3.0 |        5.52   0.001    0.0012   0.001     0.779  0.0002   3.44e+04
   0.1      60.1   0.0075   1.0       rad  1.0 |       17.21   0.003    0.0018   0.002     0.958  0.0002   8.15e+04
   0.1      60.1   0.0075   1.0       rad  3.0 |        9.82   0.002    0.0010   0.001     0.570  0.0001   1.09e+04
   0.1      60.1   0.0075   1.0       nor  1.0 |       12.50   0.003    0.0009   0.001     1.796  0.0004   1.54e+05
   0.1      60.1   0.0075   1.0       nor  3.0 |        7.01   0.001    0.0006   0.001     0.754  0.0002   2.13e+04
   0.1      60.1   0.0075   1.0  perp_los  1.0 |       11.71   0.002    0.0022   0.002     0.493  0.0001   1.76e+05
   0.1      60.1   0.0075   1.0  perp_los  3.0 |        3.33   0.001    0.0007   0.001     0.310  0.0001   9.44e+04
   0.1      60.1   0.0417   0.0         -  1.0 |     1675.64   0.335    0.0307   0.031     0.950  0.0002          1
   0.1      60.1   0.0417   0.0         -  3.0 |      613.52   0.123    0.0115   0.011     0.569  0.0001          1
   0.1      60.1   0.0417   1.0       pro  1.0 |       18.62   0.004    0.0013   0.001     1.317  0.0003    8.1e+03
   0.1      60.1   0.0417   1.0       pro  3.0 |        3.68   0.001    0.0012   0.001     0.922  0.0002   2.79e+04
   0.1      60.1   0.0417   1.0       rad  1.0 |       17.23   0.003    0.0019   0.002     1.142  0.0002   9.45e+03
   0.1      60.1   0.0417   1.0       rad  3.0 |        6.74   0.001    0.0007   0.001     0.649  0.0001   8.28e+03
   0.1      60.1   0.0417   1.0       nor  1.0 |       13.90   0.003    0.0009   0.001     2.149  0.0004   1.45e+04
   0.1      60.1   0.0417   1.0       nor  3.0 |        9.77   0.002    0.0005   0.000     0.988  0.0002   3.94e+03
   0.1      60.1   0.0417   1.0  perp_los  1.0 |       12.76   0.003    0.0023   0.002     0.748  0.0001   1.72e+04
   0.1      60.1   0.0417   1.0  perp_los  3.0 |        2.36   0.000    0.0005   0.000     0.412  0.0001   6.74e+04
   0.1      60.1   0.1000   0.0         -  1.0 |      824.09   0.165    0.0118   0.012     1.296  0.0003          1
   0.1      60.1   0.1000   0.0         -  3.0 |      381.40   0.076    0.0057   0.006     0.778  0.0002          1
   0.1      60.1   0.1000   1.0       pro  1.0 |       18.98   0.004    0.0015   0.002     1.732  0.0003   1.89e+03
   0.1      60.1   0.1000   1.0       pro  3.0 |        2.98   0.001    0.0013   0.001     1.202  0.0002   1.64e+04
   0.1      60.1   0.1000   1.0       rad  1.0 |       19.11   0.004    0.0022   0.002     1.501  0.0003   1.86e+03
   0.1      60.1   0.1000   1.0       rad  3.0 |        6.88   0.001    0.0008   0.001     0.833  0.0002   3.08e+03
   0.1      60.1   0.1000   1.0       nor  1.0 |       17.84   0.004    0.0011   0.001     2.814  0.0006   2.13e+03
   0.1      60.1   0.1000   1.0       nor  3.0 |       14.80   0.003    0.0005   0.001     1.391  0.0003        664
   0.1      60.1   0.1000   1.0  perp_los  1.0 |       15.56   0.003    0.0026   0.003     1.075  0.0002   2.81e+03
   0.1      60.1   0.1000   1.0  perp_los  3.0 |        2.82   0.001    0.0005   0.001     0.578  0.0001   1.83e+04
   0.1      60.1   0.2500   0.0         -  1.0 |      299.67   0.060    0.0036   0.004     1.954  0.0004          1
   0.1      60.1   0.2500   0.0         -  3.0 |      156.74   0.031    0.0017   0.002     1.169  0.0002          1
   0.1      60.1   0.2500   1.0       pro  1.0 |       22.58   0.005    0.0023   0.002     2.421  0.0005        176
   0.1      60.1   0.2500   1.0       pro  3.0 |        3.46   0.001    0.0016   0.002     1.701  0.0003   2.06e+03
   0.1      60.1   0.2500   1.0       rad  1.0 |       23.87   0.005    0.0033   0.003     2.195  0.0004        158
   0.1      60.1   0.2500   1.0       rad  3.0 |        9.73   0.002    0.0010   0.001     1.230  0.0002        260
   0.1      60.1   0.2500   1.0       nor  1.0 |       24.66   0.005    0.0015   0.002     3.805  0.0008        148
   0.1      60.1   0.2500   1.0       nor  3.0 |       22.97   0.005    0.0008   0.001     2.054  0.0004       46.6
   0.1      60.1   0.2500   1.0  perp_los  1.0 |       21.77   0.004    0.0029   0.003     1.633  0.0003        189
   0.1      60.1   0.2500   1.0  perp_los  3.0 |        4.20   0.001    0.0010   0.001     0.885  0.0002   1.39e+03
   0.1      60.1   1.0000   0.0         -  1.0 |       67.51   0.014    0.0293   0.029     3.421  0.0007          1
   0.1      60.1   1.0000   0.0         -  3.0 |       36.72   0.007    0.0160   0.016     2.148  0.0004          1
   0.1      60.1   1.0000   1.0       pro  1.0 |       35.37   0.007    0.0168   0.017     3.769  0.0008       3.64
   0.1      60.1   1.0000   1.0       pro  3.0 |        6.14   0.001    0.0023   0.002     2.936  0.0006       35.8
   0.1      60.1   1.0000   1.0       rad  1.0 |       32.87   0.007    0.0174   0.017     3.672  0.0007       4.22
   0.1      60.1   1.0000   1.0       rad  3.0 |       19.26   0.004    0.0053   0.005     2.281  0.0005       3.64
   0.1      60.1   1.0000   1.0       nor  1.0 |       34.84   0.007    0.0157   0.016     4.559  0.0009       3.75
   0.1      60.1   1.0000   1.0       nor  3.0 |       28.56   0.006    0.0124   0.012     2.694  0.0005       1.65
   0.1      60.1   1.0000   1.0  perp_los  1.0 |       39.19   0.008    0.0124   0.012     3.305  0.0007       2.97
   0.1      60.1   1.0000   1.0  perp_los  3.0 |        9.53   0.002    0.0076   0.008     1.239  0.0002       14.8

   0.5     300.7   0.0000   0.0         -  1.0 |     4593.26   0.919    0.4543   0.454     0.903  0.0002          1
   0.5     300.7   0.0000   0.0         -  3.0 |      633.54   0.127    0.0625   0.063     0.687  0.0001          1
   0.5     300.7   0.0000   1.0       pro  1.0 |       21.56   0.004    0.0017   0.002     1.096  0.0002   4.54e+04
   0.5     300.7   0.0000   1.0       pro  3.0 |        6.55   0.001    0.0015   0.002     0.893  0.0002   9.36e+03
   0.5     300.7   0.0000   1.0       rad  1.0 |       18.52   0.004    0.0012   0.001     1.059  0.0002   6.15e+04
   0.5     300.7   0.0000   1.0       rad  3.0 |       12.15   0.002    0.0020   0.002     0.749  0.0001   2.72e+03
   0.5     300.7   0.0000   1.0       nor  1.0 |       13.80   0.003    0.0017   0.002     1.837  0.0004   1.11e+05
   0.5     300.7   0.0000   1.0       nor  3.0 |        9.71   0.002    0.0011   0.001     0.872  0.0002   4.25e+03
   0.5     300.7   0.0000   1.0  perp_los  1.0 |       13.93   0.003    0.0034   0.003     0.628  0.0001   1.09e+05
   0.5     300.7   0.0000   1.0  perp_los  3.0 |        7.86   0.002    0.0007   0.001     0.537  0.0001    6.5e+03
   0.5     300.7   0.0075   0.0         -  1.0 |     3368.15   0.674    0.3330   0.333     0.913  0.0002          1
   0.5     300.7   0.0075   0.0         -  3.0 |      562.95   0.113    0.0556   0.056     0.691  0.0001          1
   0.5     300.7   0.0075   1.0       pro  1.0 |       21.49   0.004    0.0017   0.002     1.112  0.0002   2.46e+04
   0.5     300.7   0.0075   1.0       pro  3.0 |        6.33   0.001    0.0015   0.001     0.899  0.0002    7.9e+03
   0.5     300.7   0.0075   1.0       rad  1.0 |       18.47   0.004    0.0012   0.001     1.069  0.0002   3.32e+04
   0.5     300.7   0.0075   1.0       rad  3.0 |       11.71   0.002    0.0019   0.002     0.754  0.0002   2.31e+03
   0.5     300.7   0.0075   1.0       nor  1.0 |       13.62   0.003    0.0016   0.002     1.851  0.0004   6.12e+04
   0.5     300.7   0.0075   1.0       nor  3.0 |        8.75   0.002    0.0011   0.001     0.890  0.0002   4.14e+03
   0.5     300.7   0.0075   1.0  perp_los  1.0 |       13.94   0.003    0.0034   0.003     0.643  0.0001   5.84e+04
   0.5     300.7   0.0075   1.0  perp_los  3.0 |        7.36   0.001    0.0006   0.001     0.541  0.0001   5.85e+03
   0.5     300.7   0.0417   0.0         -  1.0 |     1453.69   0.291    0.1422   0.142     1.064  0.0002          1
   0.5     300.7   0.0417   0.0         -  3.0 |      411.34   0.082    0.0404   0.040     0.784  0.0002          1
   0.5     300.7   0.0417   1.0       pro  1.0 |       20.51   0.004    0.0016   0.002     1.408  0.0003   5.02e+03
